Date,HomeTeam,AwayTeam,FTHG,FTAG
11/12/09,Hertha,Leverkusen,2,2
12/12/09,Bochum,Bayern Munich,1,5
12/12/09,Freiburg,FC Koln,0,0
12/12/09,Hoffenheim,Ein Frankfurt,1,1
12/12/09,M'gladbach,Hannover,5,3
12/12/09,Nurnberg,Hamburg,0,4
12/12/09,Werder Bremen,Schalke 04,0,2
13/12/09,Mainz,Stuttgart,1,1
13/12/09,Wolfsburg,Dortmund,1,3
18/12/09,Schalke 04,Mainz,1,0
19/12/09,Bayern Munich,Hertha,5,2
19/12/09,Dortmund,Freiburg,1,0
19/12/09,Ein Frankfurt,Wolfsburg,2,2
19/12/09,Hannover,Bochum,2,3
19/12/09,Leverkusen,M'gladbach,3,2
19/12/09,Stuttgart,Hoffenheim,3,1
20/12/09,FC Koln,Nurnberg,3,0
20/12/09,Hamburg,Werder Bremen,2,1
15/01/10,Bayern Munich,Hoffenheim,2,0
16/01/10,Ein Frankfurt,Werder Bremen,1,0
16/01/10,Hamburg,Freiburg,2,0
16/01/10,Hannover,Hertha,0,3
16/01/10,Leverkusen,Mainz,4,2
16/01/10,M'gladbach,Bochum,1,2
16/01/10,Stuttgart,Wolfsburg,3,1
17/01/10,FC Koln,Dortmund,2,3
17/01/10,Schalke 04,Nurnberg,1,0
22/01/10,Freiburg,Stuttgart,0,1
23/01/10,Bochum,Schalke 04,2,2
23/01/10,Dortmund,Hamburg,1,0
23/01/10,Hertha,M'gladbach,0,0
23/01/10,Mainz,Hannover,1,0
23/01/10,Nurnberg,Ein Frankfurt,1,1
23/01/10,Werder Bremen,Bayern Munich,2,3
24/01/10,Hoffenheim,Leverkusen,0,3
24/01/10,Wolfsburg,FC Koln,2,3
29/01/10,Hamburg,Wolfsburg,1,1
30/01/10,Bayern Munich,Mainz,3,0
30/01/10,Ein Frankfurt,FC Koln,1,2
30/01/10,Hannover,Nurnberg,1,3
30/01/10,Hertha,Bochum,0,0
30/01/10,M'gladbach,Werder Bremen,4,3
30/01/10,Schalke 04,Hoffenheim,2,0
31/01/10,Leverkusen,Freiburg,3,1
31/01/10,Stuttgart,Dortmund,4,1
05/02/10,Werder Bremen,Hertha,2,1
06/02/10,Bochum,Leverkusen,1,1
06/02/10,FC Koln,Hamburg,3,3
06/02/10,Freiburg,Schalke 04,0,0
06/02/10,Hoffenheim,Hannover,2,1
06/02/10,Nurnberg,Stuttgart,1,2
06/02/10,Wolfsburg,Bayern Munich,1,3
07/02/10,Dortmund,Ein Frankfurt,2,3
07/02/10,Mainz,M'gladbach,1,0
12/02/10,M'gladbach,Nurnberg,2,1
13/02/10,Bayern Munich,Dortmund,3,1
13/02/10,Bochum,Hoffenheim,2,1
13/02/10,Hannover,Werder Bremen,1,5
13/02/10,Hertha,Mainz,1,1
13/02/10,Leverkusen,Wolfsburg,2,1
13/02/10,Stuttgart,Hamburg,1,3
14/02/10,Ein Frankfurt,Freiburg,2,1
14/02/10,Schalke 04,FC Koln,2,0
19/02/10,Hoffenheim,M'gladbach,2,2
20/02/10,Dortmund,Hannover,4,1
20/02/10,FC Koln,Stuttgart,1,5
20/02/10,Hamburg,Ein Frankfurt,0,0
20/02/10,Mainz,Bochum,0,0
20/02/10,Nurnberg,Bayern Munich,1,1
21/02/10,Freiburg,Hertha,0,3
21/02/10,Werder Bremen,Leverkusen,2,2
21/02/10,Wolfsburg,Schalke 04,2,1
26/02/10,Schalke 04,Dortmund,2,1
27/02/10,Bochum,Nurnberg,0,0
27/02/10,Hertha,Hoffenheim,0,2
27/02/10,Leverkusen,FC Koln,0,0
27/02/10,Mainz,Werder Bremen,1,2
27/02/10,M'gladbach,Freiburg,1,1
27/02/10,Stuttgart,Ein Frankfurt,2,1
28/02/10,Bayern Munich,Hamburg,1,0
28/02/10,Hannover,Wolfsburg,0,1
06/03/10,Dortmund,M'gladbach,3,0
06/03/10,Ein Frankfurt,Schalke 04,1,4
06/03/10,FC Koln,Bayern Munich,1,1
06/03/10,Freiburg,Hannover,1,2
06/03/10,Hamburg,Hertha,1,0
06/03/10,Werder Bremen,Stuttgart,2,2
06/03/10,Wolfsburg,Bochum,4,1
07/03/10,Hoffenheim,Mainz,0,1
07/03/10,Nurnberg,Leverkusen,3,2
12/03/10,Schalke 04,Stuttgart,2,1
13/03/10,Bayern Munich,Freiburg,2,1
13/03/10,Bochum,Dortmund,1,4
13/03/10,Hannover,Ein Frankfurt,2,1
13/03/10,Hertha,Nurnberg,1,2
13/03/10,Mainz,FC Koln,1,0
13/03/10,M'gladbach,Wolfsburg,0,4
14/03/10,Hoffenheim,Werder Bremen,0,1
14/03/10,Leverkusen,Hamburg,4,2
19/03/10,FC Koln,M'gladbach,1,1
20/03/10,Dortmund,Leverkusen,3,0
20/03/10,Ein Frankfurt,Bayern Munich,2,1
20/03/10,Freiburg,Mainz,1,0
20/03/10,Nurnberg,Hoffenheim,0,0
20/03/10,Stuttgart,Hannover,2,0
20/03/10,Werder Bremen,Bochum,3,2
21/03/10,Hamburg,Schalke 04,2,2
21/03/10,Wolfsburg,Hertha,1,5
26/03/10,Bochum,Ein Frankfurt,1,2
27/03/10,Bayern Munich,Stuttgart,1,2
27/03/10,Hannover,FC Koln,1,4
27/03/10,Hertha,Dortmund,0,0
27/03/10,Leverkusen,Schalke 04,0,2
27/03/10,Mainz,Wolfsburg,0,2
27/03/10,Werder Bremen,Nurnberg,4,2
28/03/10,Hoffenheim,Freiburg,1,1
28/03/10,M'gladbach,Hamburg,1,0
03/04/10,Dortmund,Werder Bremen,2,1
03/04/10,Ein Frankfurt,Leverkusen,3,2
03/04/10,FC Koln,Hertha,0,3
03/04/10,Freiburg,Bochum,1,1
03/04/10,Nurnberg,Mainz,2,0
03/04/10,Schalke 04,Bayern Munich,1,2
03/04/10,Stuttgart,M'gladbach,2,1
04/04/10,Hamburg,Hannover,0,0
04/04/10,Wolfsburg,Hoffenheim,4,0
09/04/10,M'gladbach,Ein Frankfurt,2,0
10/04/10,Hannover,Schalke 04,4,2
10/04/10,Hertha,Stuttgart,0,1
10/04/10,Hoffenheim,FC Koln,0,2
10/04/10,Leverkusen,Bayern Munich,1,1
10/04/10,Mainz,Dortmund,1,0
10/04/10,Werder Bremen,Freiburg,4,0
11/04/10,Bochum,Hamburg,1,2
11/04/10,Nurnberg,Wolfsburg,0,2
16/04/10,FC Koln,Bochum,2,0
17/04/10,Bayern Munich,Hannover,7,0
17/04/10,Freiburg,Nurnberg,2,1
17/04/10,Hamburg,Mainz,0,1
17/04/10,Schalke 04,M'gladbach,3,1
17/04/10,Stuttgart,Leverkusen,2,1
17/04/10,Wolfsburg,Werder Bremen,2,4
18/04/10,Dortmund,Hoffenheim,1,1
18/04/10,Ein Frankfurt,Hertha,2,2
23/04/10,Bochum,Stuttgart,0,2
24/04/10,Hertha,Schalke 04,0,1
24/04/10,Leverkusen,Hannover,3,0
24/04/10,Mainz,Ein Frankfurt,3,3
24/04/10,M'gladbach,Bayern Munich,1,1
24/04/10,Nurnberg,Dortmund,2,3
24/04/10,Werder Bremen,FC Koln,1,0
25/04/10,Freiburg,Wolfsburg,1,0
25/04/10,Hoffenheim,Hamburg,5,1
01/05/10,Bayern Munich,Bochum,3,1
01/05/10,Dortmund,Wolfsburg,1,1
01/05/10,Ein Frankfurt,Hoffenheim,1,2
01/05/10,FC Koln,Freiburg,2,2
01/05/10,Hamburg,Nurnberg,4,0
01/05/10,Hannover,M'gladbach,6,1
01/05/10,Leverkusen,Hertha,1,1
01/05/10,Schalke 04,Werder Bremen,0,2
01/05/10,Stuttgart,Mainz,2,2
08/05/10,Bochum,Hannover,0,3
08/05/10,Freiburg,Dortmund,3,1
08/05/10,Hertha,Bayern Munich,1,3
08/05/10,Hoffenheim,Stuttgart,1,1
08/05/10,Mainz,Schalke 04,0,0
08/05/10,M'gladbach,Leverkusen,1,1
08/05/10,Nurnberg,FC Koln,1,0
08/05/10,Werder Bremen,Hamburg,1,1
08/05/10,Wolfsburg,Ein Frankfurt,3,1
