Date,HomeTeam,AwayTeam,FTHG,FTAG
11/08/00,Dortmund,Hansa Rostock,1,0
12/08/00,Bayern Munich,Hertha,4,1
12/08/00,Freiburg,Stuttgart,4,0
12/08/00,Hamburg,Munich 1860,2,2
12/08/00,Kaiserslautern,Bochum,0,1
12/08/00,Leverkusen,Wolfsburg,2,0
12/08/00,Werder Bremen,Cottbus,3,1
13/08/00,Ein Frankfurt,Unterhaching,3,0
13/08/00,Schalke 04,FC Koln,2,1
18/08/00,Cottbus,Dortmund,1,4
19/08/00,Munich 1860,Werder Bremen,2,1
19/08/00,Bochum,Bayern Munich,0,3
19/08/00,Hertha,Hamburg,4,0
19/08/00,Stuttgart,Leverkusen,4,1
19/08/00,Unterhaching,Freiburg,1,1
19/08/00,Wolfsburg,Kaiserslautern,4,0
20/08/00,FC Koln,Ein Frankfurt,4,1
20/08/00,Hansa Rostock,Schalke 04,0,4
05/09/00,Freiburg,FC Koln,0,0
05/09/00,Kaiserslautern,Stuttgart,1,0
05/09/00,Leverkusen,Unterhaching,1,0
05/09/00,Schalke 04,Cottbus,3,0
06/09/00,Bayern Munich,Wolfsburg,3,1
06/09/00,Dortmund,Munich 1860,2,3
06/09/00,Ein Frankfurt,Hansa Rostock,4,0
06/09/00,Hamburg,Werder Bremen,2,1
06/09/00,Hertha,Bochum,4,0
08/09/00,Unterhaching,Kaiserslautern,0,0
09/09/00,FC Koln,Leverkusen,1,1
09/09/00,Munich 1860,Schalke 04,1,1
09/09/00,Bochum,Hamburg,0,4
09/09/00,Stuttgart,Bayern Munich,2,1
09/09/00,Werder Bremen,Dortmund,1,2
09/09/00,Wolfsburg,Hertha,2,1
10/09/00,Cottbus,Ein Frankfurt,2,0
10/09/00,Hansa Rostock,Freiburg,0,0
15/09/00,Kaiserslautern,FC Koln,3,1
16/09/00,Bayern Munich,Unterhaching,3,1
16/09/00,Bochum,Wolfsburg,2,1
16/09/00,Ein Frankfurt,Munich 1860,1,0
16/09/00,Freiburg,Cottbus,4,1
16/09/00,Hamburg,Dortmund,2,3
16/09/00,Leverkusen,Hansa Rostock,1,2
17/09/00,Hertha,Stuttgart,2,0
17/09/00,Schalke 04,Werder Bremen,1,1
22/09/00,Munich 1860,Freiburg,3,1
23/09/00,FC Koln,Bayern Munich,1,2
23/09/00,Cottbus,Leverkusen,1,2
23/09/00,Dortmund,Schalke 04,0,4
23/09/00,Stuttgart,Bochum,1,1
23/09/00,Werder Bremen,Ein Frankfurt,1,1
23/09/00,Wolfsburg,Hamburg,4,4
24/09/00,Hansa Rostock,Kaiserslautern,1,0
24/09/00,Unterhaching,Hertha,5,2
29/09/00,Ein Frankfurt,Dortmund,1,1
30/09/00,Bayern Munich,Hansa Rostock,0,1
30/09/00,Bochum,Unterhaching,3,0
30/09/00,Hamburg,Schalke 04,2,0
30/09/00,Hertha,FC Koln,4,2
30/09/00,Kaiserslautern,Cottbus,1,1
30/09/00,Leverkusen,Munich 1860,0,0
01/10/00,Freiburg,Werder Bremen,0,1
01/10/00,Wolfsburg,Stuttgart,2,2
13/10/00,Dortmund,Freiburg,1,0
14/10/00,FC Koln,Bochum,2,0
14/10/00,Munich 1860,Kaiserslautern,0,4
14/10/00,Cottbus,Bayern Munich,1,0
14/10/00,Schalke 04,Ein Frankfurt,4,0
14/10/00,Stuttgart,Hamburg,3,3
14/10/00,Werder Bremen,Leverkusen,3,3
15/10/00,Hansa Rostock,Hertha,0,2
15/10/00,Unterhaching,Wolfsburg,0,3
20/10/00,Kaiserslautern,Werder Bremen,2,0
21/10/00,Bayern Munich,Munich 1860,3,1
21/10/00,Hamburg,Ein Frankfurt,2,0
21/10/00,Hertha,Cottbus,3,1
21/10/00,Leverkusen,Dortmund,2,0
21/10/00,Stuttgart,Unterhaching,2,2
21/10/00,Wolfsburg,FC Koln,6,0
22/10/00,Bochum,Hansa Rostock,1,2
22/10/00,Freiburg,Schalke 04,3,1
27/10/00,Cottbus,Bochum,2,0
28/10/00,Dortmund,Kaiserslautern,1,2
28/10/00,Ein Frankfurt,Freiburg,3,0
28/10/00,Hansa Rostock,Wolfsburg,1,1
28/10/00,Schalke 04,Leverkusen,0,0
28/10/00,Unterhaching,Hamburg,2,1
28/10/00,Werder Bremen,Bayern Munich,1,1
29/10/00,FC Koln,Stuttgart,3,2
29/10/00,Munich 1860,Hertha,0,1
03/11/00,Leverkusen,Ein Frankfurt,1,0
04/11/00,Bayern Munich,Dortmund,6,2
04/11/00,Bochum,Munich 1860,1,1
04/11/00,Hamburg,Freiburg,5,0
04/11/00,Hertha,Werder Bremen,4,1
04/11/00,Kaiserslautern,Schalke 04,3,2
04/11/00,Stuttgart,Hansa Rostock,1,0
05/11/00,Unterhaching,FC Koln,0,0
05/11/00,Wolfsburg,Cottbus,1,1
10/11/00,Dortmund,Hertha,2,0
11/11/00,FC Koln,Hamburg,4,2
11/11/00,Munich 1860,Wolfsburg,2,2
11/11/00,Freiburg,Leverkusen,0,1
11/11/00,Hansa Rostock,Unterhaching,2,2
11/11/00,Schalke 04,Bayern Munich,3,2
11/11/00,Werder Bremen,Bochum,2,0
12/11/00,Cottbus,Stuttgart,2,1
12/11/00,Ein Frankfurt,Kaiserslautern,3,1
17/11/00,Stuttgart,Munich 1860,2,2
18/11/00,FC Koln,Hansa Rostock,5,2
18/11/00,Bayern Munich,Ein Frankfurt,1,2
18/11/00,Hamburg,Leverkusen,1,3
18/11/00,Hertha,Schalke 04,0,4
18/11/00,Kaiserslautern,Freiburg,0,2
18/11/00,Wolfsburg,Werder Bremen,1,1
19/11/00,Bochum,Dortmund,1,1
19/11/00,Unterhaching,Cottbus,2,1
24/11/00,Schalke 04,Bochum,2,1
25/11/00,Cottbus,FC Koln,0,2
25/11/00,Dortmund,Wolfsburg,2,1
25/11/00,Ein Frankfurt,Hertha,0,4
25/11/00,Freiburg,Bayern Munich,1,1
25/11/00,Hansa Rostock,Hamburg,1,0
26/11/00,Munich 1860,Unterhaching,0,2
26/11/00,Leverkusen,Kaiserslautern,4,2
26/11/00,Werder Bremen,Stuttgart,1,0
02/12/00,FC Koln,Munich 1860,4,0
02/12/00,Bayern Munich,Leverkusen,2,0
02/12/00,Bochum,Ein Frankfurt,2,1
02/12/00,Hertha,Freiburg,2,2
02/12/00,Stuttgart,Dortmund,0,2
02/12/00,Wolfsburg,Schalke 04,2,0
03/12/00,Cottbus,Hansa Rostock,1,0
03/12/00,Kaiserslautern,Hamburg,2,1
08/12/00,Ein Frankfurt,Wolfsburg,1,2
09/12/00,Munich 1860,Hansa Rostock,2,1
09/12/00,Dortmund,Unterhaching,3,0
09/12/00,Freiburg,Bochum,5,0
09/12/00,Kaiserslautern,Bayern Munich,0,0
09/12/00,Schalke 04,Stuttgart,2,1
10/12/00,Hamburg,Cottbus,2,1
10/12/00,Leverkusen,Hertha,4,0
10/12/00,Werder Bremen,FC Koln,2,1
12/12/00,Stuttgart,Ein Frankfurt,4,1
12/12/00,Unterhaching,Schalke 04,0,2
12/12/00,Wolfsburg,Freiburg,1,2
13/12/00,FC Koln,Dortmund,0,0
13/12/00,Bayern Munich,Hamburg,2,1
13/12/00,Bochum,Leverkusen,3,2
13/12/00,Cottbus,Munich 1860,2,3
13/12/00,Hansa Rostock,Werder Bremen,5,2
13/12/00,Hertha,Kaiserslautern,2,4
15/12/00,Unterhaching,Ein Frankfurt,2,0
16/12/00,FC Koln,Schalke 04,2,2
16/12/00,Munich 1860,Hamburg,2,1
