Date,HomeTeam,AwayTeam,FTHG,FTAG
16/08/2019,Bayern Munich,Hertha,2,2
17/08/2019,Dortmund,Augsburg,5,1
17/08/2019,Freiburg,Mainz,3,0
17/08/2019,Leverkusen,Paderborn,3,2
17/08/2019,Werder Bremen,Fortuna Dusseldorf,1,3
17/08/2019,Wolfsburg,FC Koln,2,1
17/08/2019,M'gladbach,Schalke 04,0,0
18/08/2019,Ein Frankfurt,Hoffenheim,1,0
18/08/2019,Union Berlin,RB Leipzig,0,4
23/08/2019,FC Koln,Dortmund,1,3
24/08/2019,Augsburg,Union Berlin,1,1
24/08/2019,Fortuna Dusseldorf,Leverkusen,1,3
24/08/2019,Hoffenheim,Werder Bremen,3,2
24/08/2019,Mainz,M'gladbach,1,3
24/08/2019,Paderborn,Freiburg,1,3
24/08/2019,Schalke 04,Bayern Munich,0,3
25/08/2019,RB Leipzig,Ein Frankfurt,2,1
25/08/2019,Hertha,Wolfsburg,0,3
30/08/2019,M'gladbach,RB Leipzig,1,3
31/08/2019,Bayern Munich,Mainz,6,1
31/08/2019,Freiburg,FC Koln,1,2
31/08/2019,Leverkusen,Hoffenheim,0,0
31/08/2019,Schalke 04,Hertha,3,0
31/08/2019,Wolfsburg,Paderborn,1,1
31/08/2019,Union Berlin,Dortmund,3,1
01/09/2019,Werder Bremen,Augsburg,3,2
01/09/2019,Ein Frankfurt,Fortuna Dusseldorf,2,1
13/09/2019,Fortuna Dusseldorf,Wolfsburg,1,1
14/09/2019,Augsburg,Ein Frankfurt,2,1
14/09/2019,Dortmund,Leverkusen,4,0
14/09/2019,FC Koln,M'gladbach,0,1
14/09/2019,Mainz,Hertha,2,1
14/09/2019,Union Berlin,Werder Bremen,1,2
14/09/2019,RB Leipzig,Bayern Munich,1,1
15/09/2019,Hoffenheim,Freiburg,0,3
15/09/2019,Paderborn,Schalke 04,1,5
20/09/2019,Schalke 04,Mainz,2,1
21/09/2019,Bayern Munich,FC Koln,4,0
21/09/2019,Freiburg,Augsburg,1,1
21/09/2019,Hertha,Paderborn,2,1
21/09/2019,Leverkusen,Union Berlin,2,0
21/09/2019,Werder Bremen,RB Leipzig,0,3
22/09/2019,M'gladbach,Fortuna Dusseldorf,2,1
22/09/2019,Ein Frankfurt,Dortmund,2,2
23/09/2019,Wolfsburg,Hoffenheim,1,1
27/09/2019,Union Berlin,Ein Frankfurt,1,2
28/09/2019,Augsburg,Leverkusen,0,3
28/09/2019,Hoffenheim,M'gladbach,0,3
28/09/2019,Mainz,Wolfsburg,0,1
28/09/2019,Paderborn,Bayern Munich,2,3
28/09/2019,RB Leipzig,Schalke 04,1,3
28/09/2019,Dortmund,Werder Bremen,2,2
29/09/2019,Fortuna Dusseldorf,Freiburg,1,2
29/09/2019,FC Koln,Hertha,0,4
04/10/2019,Hertha,Fortuna Dusseldorf,3,1
05/10/2019,Bayern Munich,Hoffenheim,1,2
05/10/2019,Freiburg,Dortmund,2,2
05/10/2019,Leverkusen,RB Leipzig,1,1
05/10/2019,Paderborn,Mainz,1,2
05/10/2019,Schalke 04,FC Koln,1,1
06/10/2019,M'gladbach,Augsburg,5,1
06/10/2019,Wolfsburg,Union Berlin,1,0
06/10/2019,Ein Frankfurt,Werder Bremen,2,2
18/10/2019,Ein Frankfurt,Leverkusen,3,0
19/10/2019,Augsburg,Bayern Munich,2,2
19/10/2019,Fortuna Dusseldorf,Mainz,1,0
19/10/2019,RB Leipzig,Wolfsburg,1,1
19/10/2019,Union Berlin,Freiburg,2,0
19/10/2019,Werder Bremen,Hertha,1,1
19/10/2019,Dortmund,M'gladbach,1,0
20/10/2019,FC Koln,Paderborn,3,0
20/10/2019,Hoffenheim,Schalke 04,2,0
25/10/2019,Mainz,FC Koln,3,1
