date,home_team,home_score,away_team,away_score,SOOT
1999-09-15,Linkoping,0,Brynas,3,
1999-09-16,Farjestad,2,Modo,3,SO
1999-09-16,Frolunda,5,Malmo,4,
1999-09-16,Vasteras,3,AIK,4,
1999-09-16,Lulea,5,Djurgarden,4,SO
1999-09-16,Leksand,3,HV 71,5,
1999-09-18,Malmo,1,Vasteras,4,
1999-09-18,Lulea,8,Frolunda,5,
1999-09-18,Brynas,1,Djurgarden,4,
1999-09-18,Modo,2,Linkoping,3,
1999-09-19,HV 71,3,Farjestad,1,
1999-09-19,AIK,6,Leksand,7,SO
1999-09-21,Brynas,1,Malmo,2,SO
1999-09-23,Lulea,2,Malmo,3,
1999-09-23,Leksand,4,Vasteras,0,
1999-09-23,Frolunda,4,Brynas,2,
1999-09-23,Farjestad,6,AIK,3,
1999-09-23,Djurgarden,1,Modo,2,
1999-09-25,Malmo,4,Leksand,1,
1999-09-25,HV 71,1,Djurgarden,2,SO
1999-09-25,Brynas,6,Lulea,3,
1999-09-26,AIK,2,Linkoping,0,
1999-09-26,Vasteras,3,Farjestad,1,
1999-09-26,Modo,6,Frolunda,2,
1999-09-28,Linkoping,2,Vasteras,3,OT
1999-09-28,Frolunda,3,HV 71,0,
1999-09-28,Farjestad,2,Leksand,1,
1999-09-28,Djurgarden,6,AIK,1,
1999-09-28,Lulea,1,Modo,4,
1999-09-30,Vasteras,1,Djurgarden,3,
1999-09-30,Modo,3,Brynas,1,
1999-09-30,Leksand,8,Linkoping,3,
1999-09-30,HV 71,5,Lulea,0,
1999-09-30,AIK,6,Frolunda,3,
1999-09-30,Malmo,3,Farjestad,2,
1999-10-02,Brynas,6,HV 71,2,
1999-10-02,Modo,6,Malmo,0,
1999-10-02,Lulea,5,AIK,3,
1999-10-02,Linkoping,3,Farjestad,5,
1999-10-03,Frolunda,3,Vasteras,0,
1999-10-03,Djurgarden,2,Leksand,5,
1999-10-05,Linkoping,2,HV 71,3,
1999-10-05,Djurgarden,7,Lulea,3,
1999-10-05,Brynas,6,Vasteras,0,
1999-10-07,Farjestad,0,Djurgarden,4,
1999-10-07,HV 71,1,Modo,3,
1999-10-07,AIK,4,Brynas,3,
1999-10-07,Malmo,6,Linkoping,2,
1999-10-07,Vasteras,4,Lulea,2,
1999-10-07,Leksand,1,Frolunda,2,SO
1999-10-09,Vasteras,1,HV 71,3,
1999-10-09,Linkoping,2,Lulea,3,SO
1999-10-09,Brynas,3,Farjestad,2,
1999-10-10,Modo,2,Leksand,1,SO
1999-10-10,Frolunda,2,Djurgarden,4,
1999-10-10,AIK,3,Malmo,1,
1999-10-12,Djurgarden,9,Linkoping,3,
1999-10-12,Frolunda,5,Farjestad,1,
1999-10-12,Lulea,1,Leksand,0,
1999-10-12,Modo,4,AIK,2,
1999-10-12,HV 71,1,Malmo,3,
1999-10-14,Vasteras,0,Modo,3,
1999-10-14,Malmo,5,Djurgarden,3,
