date,home_team,home_score,away_team,away_score,SOOT
1994-09-19,Lulea,4,Leksand,0,
1994-09-22,AIK,4,Malmo,4,
1994-09-22,Brynas,0,Farjestad,5,Awrd
1994-09-22,Vasteras,0,Modo,5,Awrd
1994-09-22,Rogle,2,Djurgarden,4,
1994-09-22,Frolunda,3,HV 71,6,
1994-09-25,Malmo,5,Vasteras,2,
1994-09-25,Leksand,6,Brynas,2,
1994-09-25,HV 71,2,AIK,8,
1994-09-25,Farjestad,4,Rogle,3,
1994-09-25,Modo,3,Lulea,3,
1994-09-26,Djurgarden,1,Frolunda,1,
1994-09-29,Vasteras,2,HV 71,1,
1994-09-29,Rogle,0,Brynas,5,Awrd
1994-09-29,Modo,2,Leksand,4,
1994-09-29,Lulea,3,Malmo,3,
1994-09-29,Frolunda,6,Farjestad,7,
1994-09-29,AIK,0,Djurgarden,3,
1994-10-02,Brynas,3,Frolunda,3,
1994-10-02,Djurgarden,4,Vasteras,1,
1994-10-02,Leksand,9,Rogle,2,
1994-10-02,Malmo,5,Modo,1,
1994-10-02,Farjestad,3,AIK,0,
1994-10-03,HV 71,3,Lulea,3,
1994-10-05,AIK,4,Brynas,6,
1994-10-06,Vasteras,2,Farjestad,3,
1994-10-06,Modo,4,HV 71,3,
1994-10-06,Malmo,5,Leksand,4,
1994-10-06,Lulea,2,Djurgarden,5,
1994-10-06,Frolunda,5,Rogle,1,
1994-10-09,Brynas,3,Vasteras,2,
1994-10-09,Djurgarden,5,Modo,2,
1994-10-09,HV 71,4,Malmo,1,
1994-10-09,Rogle,2,AIK,4,
1994-10-09,Farjestad,5,Lulea,3,
1994-10-10,Leksand,4,Frolunda,2,
1994-10-11,AIK,5,Modo,4,
1994-10-13,Vasteras,6,Rogle,1,
1994-10-13,Modo,4,Farjestad,4,
1994-10-13,Malmo,3,Djurgarden,3,
1994-10-13,Lulea,5,Brynas,3,
1994-10-13,HV 71,2,Leksand,1,
1994-10-13,AIK,3,Frolunda,2,
1994-10-16,Djurgarden,5,HV 71,1,
1994-10-16,Farjestad,2,Malmo,2,
1994-10-16,Frolunda,4,Vasteras,3,
1994-10-16,Rogle,5,Lulea,5,
1994-10-16,Leksand,4,AIK,3,
