date,home_team,home_score,away_team,away_score,SOOT
2017-09-16,Malmo,5,Rogle,0,
2017-09-16,Frolunda,3,Mora,2,OT
2017-09-16,HV 71,4,Djurgarden,2,
2017-09-16,Farjestad,3,Linkoping,2,SO
2017-09-16,Lulea,4,Orebro,3,SO
2017-09-19,Karlskrona,1,Skelleftea,2,
2017-09-19,Vaxjo,4,Brynas,3,SO
2017-09-21,Skelleftea,2,Farjestad,5,
2017-09-21,Orebro,2,Lulea,0,
2017-09-21,Mora,5,Rogle,1,
2017-09-21,Linkoping,4,Vaxjo,5,OT
2017-09-21,Frolunda,3,Karlskrona,0,
2017-09-21,Djurgarden,4,Malmo,3,OT
2017-09-21,Brynas,2,HV 71,4,
2017-09-23,Farjestad,7,Frolunda,4,
2017-09-23,Karlskrona,3,Mora,0,
2017-09-23,Lulea,2,Djurgarden,1,SO
2017-09-23,Rogle,2,Skelleftea,7,
2017-09-23,Malmo,5,Brynas,1,
2017-09-23,Vaxjo,2,Orebro,1,
2017-09-23,HV 71,0,Linkoping,2,
2017-09-26,Linkoping,2,Lulea,3,OT
2017-09-26,HV 71,3,Karlskrona,2,SO
2017-09-28,Brynas,1,Djurgarden,3,
2017-09-28,Karlskrona,4,Linkoping,2,
2017-09-28,Lulea,0,HV 71,3,
2017-09-28,Skelleftea,0,Vaxjo,1,
2017-09-30,Rogle,8,Malmo,7,OT
2017-09-30,Orebro,1,Brynas,2,
2017-09-30,Lulea,3,Linkoping,4,OT
2017-09-30,Djurgarden,4,Skelleftea,2,
2017-09-30,Vaxjo,3,Frolunda,1,
2017-09-30,Mora,2,Farjestad,5,
2017-09-30,Karlskrona,0,HV 71,1,
2017-10-01,Farjestad,4,Mora,1,
2017-10-05,Brynas,3,Karlskrona,1,
2017-10-05,Lulea,3,Frolunda,2,OT
2017-10-05,Vaxjo,5,Mora,2,
2017-10-05,Rogle,2,Djurgarden,6,
2017-10-05,Skelleftea,6,HV 71,2,
2017-10-05,Malmo,3,Farjestad,2,OT
2017-10-06,Linkoping,1,Orebro,4,
2017-10-07,Karlskrona,2,Rogle,1,SO
2017-10-07,Orebro,2,Linkoping,1,OT
2017-10-07,Frolunda,4,Lulea,3,
2017-10-07,Mora,5,HV 71,3,
2017-10-07,Farjestad,4,Brynas,1,
2017-10-07,Skelleftea,3,Malmo,0,
2017-10-08,Djurgarden,2,Vaxjo,1,
2017-10-09,Malmo,2,Orebro,3,OT
2017-10-12,Brynas,2,Skelleftea,8,
2017-10-12,Djurgarden,2,Farjestad,4,
2017-10-12,Orebro,4,Mora,1,
2017-10-12,Linkoping,4,Malmo,1,
2017-10-12,Lulea,3,Rogle,4,SO
2017-10-12,Frolunda,1,HV 71,3,
2017-10-13,Vaxjo,5,Karlskrona,0,
2017-10-14,Skelleftea,1,Brynas,2,
2017-10-14,Linkoping,2,Frolunda,3,
2017-10-14,Karlskrona,1,Vaxjo,3,
2017-10-14,HV 71,2,Farjestad,4,
2017-10-14,Djurgarden,6,Mora,0,
