date,home_team,home_score,away_team,away_score,SOOT
1996-09-17,Vasteras,5,Farjestad,5,
1996-09-17,Brynas,3,Frolunda,1,
1996-09-17,Djurgarden,6,HV 71,3,
1996-09-17,Malmo,5,Sodertalje,2,
1996-09-17,Lulea,0,Modo,0,
1996-09-17,Leksand,0,AIK,3,
1996-09-19,Modo,3,Malmo,2,
1996-09-19,HV 71,3,Vasteras,2,
1996-09-19,Frolunda,3,Djurgarden,1,
1996-09-19,Farjestad,2,Lulea,1,
1996-09-19,AIK,4,Brynas,0,
1996-09-19,Sodertalje,5,Leksand,3,
1996-09-22,Vasteras,3,Frolunda,3,
1996-09-22,Lulea,6,HV 71,4,
1996-09-22,Leksand,6,Malmo,4,
1996-09-22,Farjestad,6,Modo,3,
1996-09-22,Brynas,5,Sodertalje,2,
1996-09-23,Djurgarden,2,AIK,0,
1996-09-24,Malmo,4,Brynas,1,
1996-09-25,AIK,9,Vasteras,2,
1996-09-26,Frolunda,5,Lulea,4,
1996-09-26,HV 71,9,Farjestad,5,
1996-09-26,Sodertalje,2,Djurgarden,5,
1996-09-26,Modo,0,Leksand,3,
1996-09-28,Vasteras,2,Brynas,6,
1996-09-28,Sodertalje,0,Leksand,8,
1996-09-28,Modo,4,AIK,2,
1996-09-28,Lulea,2,Djurgarden,5,
1996-09-28,HV 71,6,Malmo,2,
1996-09-28,Farjestad,2,Frolunda,1,
1996-09-29,Brynas,2,Sodertalje,6,
1996-09-29,Farjestad,3,Malmo,1,
1996-09-29,Modo,3,Lulea,1,
1996-09-29,Leksand,6,Vasteras,1,
1996-09-29,HV 71,0,Frolunda,3,
1996-10-01,Lulea,5,Malmo,3,
1996-10-01,AIK,2,Djurgarden,1,
1996-10-03,Brynas,2,Leksand,4,
1996-10-03,Djurgarden,6,Malmo,4,
1996-10-03,HV 71,7,Modo,2,
1996-10-03,Lulea,1,AIK,2,
1996-10-03,Vasteras,4,Sodertalje,1,
1996-10-03,Farjestad,2,Frolunda,3,
1996-10-06,Sodertalje,1,Lulea,4,
1996-10-06,Modo,1,Brynas,3,
1996-10-06,Malmo,8,Vasteras,5,
1996-10-06,Leksand,1,Djurgarden,1,
1996-10-06,Frolunda,1,HV 71,2,
1996-10-06,AIK,2,Farjestad,0,
1996-10-08,Vasteras,3,Leksand,7,
1996-10-08,HV 71,3,AIK,3,
1996-10-08,Frolunda,1,Modo,4,
1996-10-08,Farjestad,4,Sodertalje,0,
1996-10-08,Djurgarden,2,Brynas,2,
1996-10-10,AIK,2,Frolunda,1,
1996-10-10,Brynas,8,Vasteras,4,
1996-10-10,Leksand,3,Lulea,2,
1996-10-10,Modo,1,Djurgarden,2,
1996-10-10,Sodertalje,5,HV 71,5,
1996-10-10,Malmo,7,Farjestad,1,
1996-10-13,Sodertalje,2,Modo,6,
1996-10-13,Malmo,5,AIK,2,
1996-10-13,Lulea,5,Vasteras,2,
1996-10-13,HV 71,3,Brynas,2,
1996-10-13,Frolunda,4,Leksand,2,
1996-10-13,Djurgarden,7,Farjestad,2,
1996-10-17,Vasteras,5,Djurgarden,8,
1996-10-17,Lulea,3,Brynas,3,
1996-10-17,HV 71,3,Malmo,3,
1996-10-17,Frolunda,3,Sodertalje,1,
1996-10-17,Farjestad,2,Leksand,2,
1996-10-17,AIK,1,Modo,5,
1996-10-20,Djurgarden,7,Lulea,4,
1996-10-20,Brynas,4,Farjestad,7,
1996-10-20,Leksand,3,HV 71,6,
1996-10-20,Sodertalje,1,AIK,3,
1996-10-20,Malmo,3,Frolunda,4,
1996-10-20,Modo,2,Vasteras,2,
1996-10-24,Sodertalje,2,Malmo,5,
1996-10-24,Modo,2,Lulea,1,
1996-10-24,HV 71,3,Djurgarden,5,
1996-10-24,Frolunda,2,Brynas,2,
1996-10-24,Farjestad,5,Vasteras,0,
1996-10-24,AIK,4,Leksand,2,
1996-10-26,Sodertalje,3,Vasteras,8,
1996-10-26,Lulea,1,AIK,6,
1996-10-26,HV 71,4,Farjestad,1,
1996-10-26,Frolunda,3,Malmo,3,
1996-10-26,Djurgarden,6,Modo,2,
1996-10-26,Brynas,4,Leksand,5,
1996-10-27,Leksand,4,Brynas,0,
1996-10-27,Farjestad,4,HV 71,1,
1996-10-27,Malmo,5,Frolunda,5,
1996-10-27,Lulea,2,Modo,0,
1996-10-27,Vasteras,2,Sodertalje,4,
1996-10-29,Djurgarden,6,AIK,4,
1996-10-31,Vasteras,1,HV 71,6,
1996-10-31,Malmo,2,Modo,4,
1996-10-31,Lulea,3,Farjestad,1,
1996-10-31,Leksand,5,Sodertalje,1,
1996-10-31,Djurgarden,0,Frolunda,1,
1996-10-31,Brynas,1,AIK,3,
1996-11-03,Sodertalje,1,Brynas,1,
1996-11-03,Modo,3,Farjestad,1,
1996-11-03,Malmo,1,Leksand,2,
1996-11-03,HV 71,3,Lulea,1,
1996-11-03,AIK,3,Djurgarden,1,
1996-11-05,Frolunda,2,Vasteras,2,
1996-11-12,Leksand,3,Modo,1,
1996-11-14,Brynas,4,Malmo,1,
1996-11-14,Djurgarden,5,Sodertalje,2,
1996-11-14,Lulea,2,Frolunda,2,
1996-11-14,Farjestad,2,HV 71,2,
1996-11-14,Vasteras,5,AIK,5,
1996-11-17,Sodertalje,4,Vasteras,4,
1996-11-17,Malmo,3,Djurgarden,3,
1996-11-17,Leksand,6,Brynas,4,
1996-11-17,Frolunda,1,Farjestad,4,
1996-11-17,AIK,3,Lulea,3,
