date,home_team,home_score,away_team,away_score,SOOT
2008-09-15,HV 71,6,Frolunda,2,
2008-09-18,Brynas,3,Farjestad,2,OT
2008-09-18,Djurgarden,2,Lulea,1,
2008-09-18,Timra,6,HV 71,5,
2008-09-18,Skelleftea,5,Rogle,4,OT
2008-09-18,Linkoping,4,Modo,2,
2008-09-18,Sodertalje,2,Frolunda,1,
2008-09-20,Modo,2,Sodertalje,2,OT
2008-09-20,Lulea,3,Skelleftea,2,
2008-09-20,Frolunda,1,Linkoping,2,
2008-09-20,Rogle,4,Farjestad,1,
2008-09-21,HV 71,1,Brynas,3,
2008-09-22,Timra,3,Frolunda,2,OT
2008-09-22,Skelleftea,4,Linkoping,5,
2008-09-22,Farjestad,2,Lulea,0,
2008-09-23,Brynas,1,Djurgarden,4,
2008-09-23,Rogle,1,Modo,3,
2008-09-23,Sodertalje,3,HV 71,3,OT
2008-09-25,Lulea,3,Rogle,4,OT
2008-09-25,Linkoping,3,Sodertalje,3,OT
2008-09-25,HV 71,0,Skelleftea,3,
2008-09-25,Frolunda,3,Modo,2,OT
2008-09-25,Djurgarden,2,Farjestad,5,
2008-09-25,Brynas,3,Timra,2,
2008-09-27,Farjestad,2,Frolunda,1,
2008-09-27,Linkoping,4,Timra,5,
2008-09-27,Rogle,3,Brynas,4,
2008-09-27,Modo,6,Djurgarden,3,
2008-09-27,Lulea,2,HV 71,3,
2008-09-27,Skelleftea,3,Sodertalje,1,
2008-09-29,HV 71,1,Linkoping,3,
2008-09-29,Frolunda,4,Rogle,1,
2008-09-29,Brynas,5,Modo,4,
2008-09-30,Timra,3,Lulea,1,
2008-09-30,Sodertalje,0,Farjestad,2,
2008-09-30,Djurgarden,3,Skelleftea,2,OT
2008-10-02,Skelleftea,3,Farjestad,0,
2008-10-02,Rogle,4,Sodertalje,1,
2008-10-02,Modo,4,Timra,3,
2008-10-02,Lulea,2,Brynas,4,
2008-10-02,Linkoping,3,Djurgarden,2,OT
2008-10-04,HV 71,3,Djurgarden,2,
2008-10-04,Brynas,2,Linkoping,0,
2008-10-04,Farjestad,1,Modo,3,
2008-10-04,Timra,4,Rogle,5,
