date,home_team,home_score,away_team,away_score,SOOT
2009-09-21,Linkoping,2,HV 71,6,
2009-09-21,Farjestad,3,Skelleftea,2,
2009-09-24,Sodertalje,2,Linkoping,1,
2009-09-24,Skelleftea,3,Lulea,1,
2009-09-24,Modo,2,Frolunda,4,
2009-09-24,HV 71,7,Djurgarden,6,
2009-09-24,Farjestad,2,Rogle,1,
2009-09-24,Timra,1,Brynas,1,
2009-09-26,Frolunda,3,Timra,1,
2009-09-26,Djurgarden,1,Modo,2,OT
2009-09-26,Brynas,1,Skelleftea,2,
2009-09-26,Lulea,8,Sodertalje,2,
2009-09-26,Rogle,2,HV 71,4,
2009-09-26,Linkoping,3,Farjestad,2,
2009-09-28,Lulea,2,Linkoping,0,
2009-09-28,HV 71,3,Modo,1,
2009-09-28,Farjestad,3,Timra,2,
2009-09-29,Sodertalje,2,Rogle,3,OT
2009-09-29,Skelleftea,1,Djurgarden,2,
2009-09-29,Brynas,1,Frolunda,2,
2009-10-01,Frolunda,1,Djurgarden,5,
2009-10-01,Timra,3,Sodertalje,1,
2009-10-01,Rogle,3,Lulea,0,
2009-10-01,Modo,1,Brynas,1,
2009-10-03,Sodertalje,5,Modo,0,
2009-10-03,Lulea,2,Farjestad,3,
2009-10-03,Linkoping,4,Rogle,2,
2009-10-03,HV 71,6,Timra,4,
2009-10-03,Djurgarden,4,Brynas,4,
2009-10-03,Skelleftea,5,Frolunda,2,
2009-10-05,Rogle,3,Timra,2,
2009-10-05,Frolunda,2,Lulea,6,
2009-10-06,Modo,6,Skelleftea,2,
2009-10-06,Farjestad,3,Sodertalje,1,
2009-10-06,Djurgarden,2,Linkoping,1,
2009-10-06,Brynas,2,HV 71,1,
2009-10-08,Linkoping,5,Frolunda,1,
2009-10-08,Lulea,4,Djurgarden,3,
2009-10-08,HV 71,8,Farjestad,0,
2009-10-08,Sodertalje,2,Brynas,3,
2009-10-08,Rogle,2,Skelleftea,4,
2009-10-08,Timra,4,Modo,5,OT
2009-10-10,Timra,5,Linkoping,2,
2009-10-10,Skelleftea,3,HV 71,2,
2009-10-10,Modo,2,Rogle,3,
2009-10-10,Farjestad,2,Djurgarden,1,
2009-10-10,Brynas,4,Lulea,0,
2009-10-13,Frolunda,2,Sodertalje,2,
2009-10-15,Djurgarden,1,Rogle,3,
2009-10-15,Frolunda,6,Farjestad,1,
2009-10-15,HV 71,4,Sodertalje,2,
2009-10-15,Lulea,3,Modo,1,
2009-10-15,Skelleftea,4,Timra,2,
2009-10-15,Linkoping,3,Brynas,0,
2009-10-17,Timra,2,Djurgarden,3,
2009-10-17,Modo,1,Linkoping,3,
2009-10-17,HV 71,5,Lulea,4,
2009-10-17,Farjestad,3,Brynas,2,
2009-10-17,Sodertalje,3,Skelleftea,2,OT
2009-10-17,Rogle,3,Frolunda,5,
2009-10-20,Djurgarden,3,HV 71,2,
2009-10-22,Lulea,3,Timra,2,OT
2009-10-22,Linkoping,1,Skelleftea,2,
2009-10-22,HV 71,4,Frolunda,1,
2009-10-22,Djurgarden,1,Sodertalje,2,
2009-10-22,Brynas,3,Rogle,2,OT
2009-10-22,Modo,3,Farjestad,6,
2009-10-24,Farjestad,1,Lulea,2,OT
2009-10-24,Rogle,1,Djurgarden,3,
2009-10-24,Brynas,2,Linkoping,2,
2009-10-24,Sodertalje,4,Frolunda,2,
2009-10-24,Timra,3,HV 71,4,OT
2009-10-24,Skelleftea,3,Modo,0,
2009-10-26,Lulea,2,Brynas,3,OT
2009-10-26,Linkoping,8,Sodertalje,1,
2009-10-27,Modo,3,Timra,2,OT
2009-10-27,HV 71,5,Rogle,3,
