date,home_team,home_score,away_team,away_score,SOOT
2004-09-20,Mora,1,Farjestad,1,
2004-09-20,Lulea,5,Timra,0,
2004-09-20,HV 71,1,Malmo,5,
2004-09-21,Brynas,3,Modo,3,
2004-09-21,Frolunda,2,Linkoping,1,
2004-09-21,Djurgarden,4,Sodertalje,2,
2004-09-23,Timra,4,Brynas,3,
2004-09-23,Sodertalje,4,Mora,1,
2004-09-23,Modo,6,Lulea,2,
2004-09-23,Linkoping,2,Malmo,1,
2004-09-23,HV 71,3,Frolunda,2,
2004-09-23,Farjestad,3,Djurgarden,2,
2004-09-27,Modo,2,Timra,2,
2004-09-27,Lulea,4,Brynas,2,
2004-09-27,Frolunda,8,Malmo,1,
2004-09-28,Linkoping,7,HV 71,3,
2004-09-28,Farjestad,2,Sodertalje,0,
2004-09-28,Djurgarden,4,Mora,2,
2004-09-30,Malmo,1,Mora,2,OT
2004-10-02,Brynas,4,HV 71,1,
2004-10-02,Farjestad,3,Modo,3,
2004-10-02,Timra,3,Lulea,2,
2004-10-02,Sodertalje,4,Djurgarden,0,
2004-10-03,Frolunda,4,Linkoping,0,
2004-10-04,Mora,3,Timra,2,
2004-10-04,Lulea,4,Farjestad,3,
2004-10-04,HV 71,4,Sodertalje,3,
2004-10-05,Modo,1,Frolunda,6,
2004-10-05,Linkoping,2,Brynas,2,
2004-10-05,Djurgarden,5,Malmo,1,
2004-10-07,Timra,7,Djurgarden,1,
2004-10-07,Sodertalje,0,Linkoping,3,
2004-10-07,Malmo,4,HV 71,3,
2004-10-07,Lulea,1,Modo,3,
2004-10-07,Farjestad,5,Mora,4,
2004-10-07,Brynas,1,Frolunda,2,
2004-10-09,Djurgarden,1,Farjestad,3,
2004-10-09,HV 71,1,Timra,2,
2004-10-09,Linkoping,5,Malmo,1,
2004-10-09,Modo,4,Brynas,1,
2004-10-09,Mora,5,Lulea,2,
2004-10-10,Frolunda,2,Sodertalje,0,
2004-10-11,Djurgarden,4,Mora,4,
2004-10-11,Linkoping,5,Farjestad,1,
2004-10-12,Sodertalje,2,Modo,1,
2004-10-14,Timra,5,Linkoping,2,
2004-10-14,Sodertalje,1,Brynas,4,
2004-10-14,Mora,2,Modo,3,OT
2004-10-14,Lulea,3,Djurgarden,2,
2004-10-14,Farjestad,2,HV 71,3,
