date,home_team,home_score,away_team,away_score,SOOT
1997-09-16,AIK,3,Djurgarden,5,
1997-09-18,Frolunda,2,Farjestad,0,
1997-09-18,Leksand,4,Brynas,3,
1997-09-18,Sodertalje,4,Vasteras,4,
1997-09-18,Malmo,3,HV 71,1,
1997-09-18,Lulea,3,Modo,1,
1997-09-20,Vasteras,1,Leksand,6,
1997-09-21,Sodertalje,3,HV 71,0,
1997-09-21,Modo,3,Malmo,1,
1997-09-21,Lulea,2,Frolunda,5,
1997-09-21,Farjestad,3,Djurgarden,1,
1997-09-21,AIK,4,Brynas,6,
1997-09-23,Djurgarden,5,Sodertalje,2,
1997-09-25,Vasteras,0,Farjestad,6,
1997-09-25,Malmo,9,Lulea,1,
1997-09-25,HV 71,3,Modo,3,
1997-09-25,Frolunda,2,AIK,2,
1997-09-25,Brynas,3,Leksand,5,
1997-09-27,Farjestad,1,Brynas,1,
1997-09-27,HV 71,3,Malmo,0,
1997-09-27,Modo,1,Djurgarden,5,
1997-09-27,Sodertalje,5,Vasteras,4,
1997-09-27,Leksand,1,Frolunda,4,
1997-09-28,Vasteras,3,Modo,1,
1997-09-28,Malmo,3,AIK,3,
1997-09-28,Lulea,4,Leksand,2,
1997-09-28,Frolunda,2,Farjestad,4,
1997-09-28,Djurgarden,5,HV 71,0,
1997-09-28,Brynas,5,Sodertalje,1,
1997-09-30,AIK,2,Lulea,1,
1997-10-02,Modo,1,Brynas,1,
1997-10-02,Leksand,4,AIK,2,
1997-10-02,HV 71,1,Vasteras,4,
1997-10-02,Farjestad,3,Lulea,2,
1997-10-02,Djurgarden,2,Malmo,2,
1997-10-02,Sodertalje,0,Frolunda,0,
1997-10-05,AIK,2,Farjestad,4,
1997-10-05,Brynas,1,HV 71,3,
1997-10-05,Malmo,2,Leksand,4,
1997-10-05,Lulea,0,Sodertalje,0,
1997-10-05,Vasteras,5,Djurgarden,2,
1997-10-05,Frolunda,4,Modo,5,
1997-10-09,Vasteras,2,Malmo,1,
1997-10-09,Sodertalje,4,AIK,5,
1997-10-09,Modo,4,Lulea,4,
1997-10-09,Leksand,3,Farjestad,3,
1997-10-09,HV 71,0,Frolunda,0,
1997-10-09,Djurgarden,2,Brynas,0,
1997-10-12,AIK,6,Modo,4,
1997-10-12,Brynas,6,Vasteras,1,
1997-10-12,Malmo,1,Farjestad,3,
1997-10-12,Leksand,5,Sodertalje,5,
1997-10-12,Lulea,5,HV 71,1,
1997-10-12,Frolunda,3,Djurgarden,1,
1997-10-16,Djurgarden,5,Leksand,3,
1997-10-16,Farjestad,3,HV 71,3,
1997-10-16,Vasteras,2,AIK,1,
1997-10-16,Lulea,1,Brynas,5,
1997-10-16,Modo,3,Sodertalje,5,
1997-10-16,Frolunda,4,Malmo,2,
1997-10-19,Vasteras,1,Frolunda,6,
1997-10-19,Sodertalje,2,Farjestad,3,
1997-10-19,Modo,2,Leksand,5,
1997-10-19,HV 71,1,AIK,0,
1997-10-19,Djurgarden,5,Lulea,1,
1997-10-19,Brynas,2,Malmo,1,
1997-10-21,Djurgarden,3,Farjestad,3,
1997-10-23,Djurgarden,2,AIK,1,
1997-10-23,Frolunda,4,Brynas,2,
1997-10-23,Farjestad,3,Modo,1,
1997-10-23,Lulea,2,Vasteras,0,
1997-10-23,Leksand,5,HV 71,3,
1997-10-23,Malmo,5,Sodertalje,2,
1997-10-25,Brynas,3,AIK,3,
1997-10-25,Malmo,2,Modo,1,
1997-10-25,Leksand,0,Vasteras,0,
1997-10-25,HV 71,2,Sodertalje,1,
1997-10-26,Sodertalje,2,Djurgarden,3,
1997-10-26,Modo,7,HV 71,1,
1997-10-26,Lulea,5,Malmo,3,
1997-10-26,Leksand,5,Brynas,4,
1997-10-26,Farjestad,3,Vasteras,3,
1997-10-26,AIK,1,Frolunda,0,
1997-10-28,AIK,1,Malmo,3,
1997-10-30,Brynas,3,Farjestad,4,
1997-10-30,Frolunda,2,Leksand,2,
1997-10-30,Djurgarden,3,Modo,2,
1997-10-30,Malmo,2,HV 71,3,
1997-10-30,Vasteras,1,Sodertalje,1,
1997-10-30,Lulea,1,AIK,1,
1997-11-01,Sodertalje,2,Brynas,3,
1997-11-01,Modo,1,Vasteras,2,
1997-11-01,Leksand,5,Lulea,6,
1997-11-01,HV 71,2,Djurgarden,2,
1997-11-01,Farjestad,5,Frolunda,2,
1997-11-02,AIK,1,Leksand,4,
1997-11-02,Brynas,2,Modo,0,
1997-11-02,Malmo,2,Djurgarden,3,
1997-11-02,Frolunda,4,Sodertalje,2,
1997-11-02,Vasteras,1,HV 71,2,
1997-11-02,Farjestad,5,Lulea,4,
1997-11-04,Frolunda,2,Lulea,3,
1997-11-13,Djurgarden,5,Vasteras,3,
1997-11-13,Farjestad,2,AIK,1,
1997-11-13,HV 71,2,Brynas,4,
1997-11-13,Modo,4,Frolunda,3,
1997-11-13,Leksand,3,Malmo,1,
1997-11-13,Sodertalje,2,Lulea,2,
1997-11-15,Malmo,10,Vasteras,2,
1997-11-15,Lulea,2,Modo,2,
1997-11-15,Frolunda,4,HV 71,4,
1997-11-15,Farjestad,7,Leksand,2,
1997-11-15,Brynas,0,Djurgarden,6,
1997-11-17,AIK,5,Sodertalje,2,
1997-11-18,Djurgarden,2,Leksand,1,
1997-11-20,Vasteras,5,Brynas,2,
1997-11-20,Sodertalje,1,Leksand,1,
1997-11-20,Modo,3,AIK,5,
1997-11-20,HV 71,3,Lulea,3,
1997-11-20,Farjestad,3,Malmo,3,
1997-11-20,Djurgarden,3,Frolunda,3,
1997-11-23,AIK,2,Vasteras,3,
1997-11-23,Brynas,0,Lulea,3,
1997-11-23,Leksand,5,Djurgarden,4,
1997-11-23,Sodertalje,2,Modo,4,
1997-11-23,HV 71,2,Farjestad,2,
1997-11-23,Malmo,2,Frolunda,2,
1997-11-27,Malmo,4,Brynas,2,
1997-11-27,Lulea,4,Djurgarden,4,
1997-11-27,Leksand,5,Modo,0,
1997-11-27,Frolunda,1,Vasteras,2,
1997-11-27,Farjestad,5,Sodertalje,1,
1997-11-27,AIK,3,HV 71,2,
1997-11-29,Brynas,4,Frolunda,4,
1997-11-29,Vasteras,3,Lulea,2,
1997-11-29,Sodertalje,1,Malmo,2,
1997-11-29,Modo,3,Farjestad,2,
1997-11-29,HV 71,4,Leksand,3,
1997-11-30,Vasteras,1,Frolunda,1,
1997-11-30,Modo,4,Malmo,2,
1997-11-30,Brynas,4,HV 71,2,
1997-11-30,Sodertalje,2,AIK,0,
1997-11-30,Lulea,1,Farjestad,4,
1997-12-02,AIK,3,Djurgarden,1,
1997-12-04,Leksand,6,Vasteras,2,
1997-12-04,HV 71,3,Modo,0,
1997-12-04,Frolunda,6,Sodertalje,1,
1997-12-04,Farjestad,5,Djurgarden,1,
1997-12-04,AIK,1,Brynas,2,
1997-12-04,Malmo,2,Lulea,2,
1997-12-07,Vasteras,2,Farjestad,1,
1997-12-07,Modo,4,AIK,0,
1997-12-07,Lulea,1,HV 71,5,
1997-12-07,Leksand,2,Frolunda,1,
1997-12-07,Djurgarden,5,Malmo,1,
1997-12-07,Brynas,4,Sodertalje,1,
1997-12-09,Djurgarden,7,AIK,1,
1997-12-11,AIK,0,Lulea,2,
1997-12-11,Farjestad,5,Leksand,3,
1997-12-11,Frolunda,9,Brynas,2,
1997-12-11,Malmo,5,Vasteras,4,
1997-12-11,Sodertalje,4,Modo,2,
1997-12-11,HV 71,5,Djurgarden,1,
1997-12-13,Vasteras,2,HV 71,2,
1997-12-13,Modo,1,Brynas,2,
1997-12-13,Lulea,4,Sodertalje,2,
1997-12-13,Leksand,5,Malmo,4,
1997-12-13,Farjestad,1,Frolunda,4,
1998-01-08,Vasteras,1,Sodertalje,2,
1998-01-08,Modo,2,Lulea,2,
1998-01-08,HV 71,7,Malmo,5,
1998-01-08,Farjestad,3,Frolunda,3,
1998-01-08,Brynas,8,Leksand,2,
1998-01-08,AIK,1,Djurgarden,4,
1998-01-11,Brynas,3,Lulea,1,
