Date,HomeTeam,AwayTeam,FTHG,FTAG
01/08/14,Fortuna Dusseldorf,Braunschweig,2,2
02/08/14,Bochum,Greuther Furth,1,1
02/08/14,RB Leipzig,Aalen,0,0
02/08/14,St Pauli,Ingolstadt,1,1
03/08/14,Darmstadt,Sandhausen,1,0
03/08/14,Heidenheim,Frankfurt FSV,2,1
03/08/14,Karlsruhe,Union Berlin,0,0
03/08/14,Nurnberg,Erzgebirge Aue,1,0
04/08/14,Kaiserslautern,Munich 1860,3,2
08/08/14,Aalen,St Pauli,2,0
08/08/14,Frankfurt FSV,Karlsruhe,2,3
08/08/14,Union Berlin,Fortuna Dusseldorf,1,1
09/08/14,Braunschweig,Heidenheim,3,0
09/08/14,Erzgebirge Aue,Bochum,1,5
10/08/14,Ingolstadt,Darmstadt,2,2
10/08/14,Munich 1860,RB Leipzig,0,3
10/08/14,Sandhausen,Kaiserslautern,1,1
11/08/14,Greuther Furth,Nurnberg,5,1
22/08/14,Heidenheim,Munich 1860,2,2
22/08/14,RB Leipzig,Erzgebirge Aue,1,0
22/08/14,St Pauli,Sandhausen,2,1
23/08/14,Fortuna Dusseldorf,Karlsruhe,0,2
23/08/14,Nurnberg,Frankfurt FSV,0,1
24/08/14,Darmstadt,Aalen,2,0
24/08/14,Ingolstadt,Greuther Furth,2,0
24/08/14,Kaiserslautern,Braunschweig,2,1
25/08/14,Bochum,Union Berlin,1,1
29/08/14,Aalen,Kaiserslautern,2,2
29/08/14,Frankfurt FSV,RB Leipzig,0,0
29/08/14,Union Berlin,Nurnberg,0,4
30/08/14,Erzgebirge Aue,Fortuna Dusseldorf,0,3
30/08/14,Karlsruhe,Heidenheim,1,1
31/08/14,Braunschweig,Bochum,1,2
31/08/14,Munich 1860,Darmstadt,1,1
31/08/14,Sandhausen,Ingolstadt,0,3
01/09/14,Greuther Furth,St Pauli,3,0
12/09/14,Bochum,Karlsruhe,1,1
12/09/14,Ingolstadt,Aalen,4,1
12/09/14,Kaiserslautern,Frankfurt FSV,1,0
13/09/14,Darmstadt,Erzgebirge Aue,2,0
13/09/14,RB Leipzig,Braunschweig,3,1
14/09/14,Heidenheim,Union Berlin,3,1
14/09/14,Sandhausen,Greuther Furth,1,0
