Date,HomeTeam,AwayTeam,FTHG,FTAG
03/01/2021,Hamburg,Regensburg,3,1
03/01/2021,Hannover,Sandhausen,4,0
03/01/2021,Holstein Kiel,Osnabruck,1,2
04/01/2021,Fortuna Dusseldorf,Paderborn,2,1
06/01/2021,Wurzburger Kickers,St Pauli,1,1
08/01/2021,Karlsruhe,Greuther Furth,3,2
08/01/2021,Sandhausen,Heidenheim,4,0
09/01/2021,Nurnberg,Hamburg,1,1
09/01/2021,Osnabruck,Wurzburger Kickers,2,3
09/01/2021,St Pauli,Holstein Kiel,1,1
10/01/2021,Darmstadt,Hannover,1,2
10/01/2021,Paderborn,Erzgebirge Aue,2,1
10/01/2021,Regensburg,Bochum,0,2
11/01/2021,Braunschweig,Fortuna Dusseldorf,0,0
15/01/2021,Greuther Furth,Paderborn,1,1
15/01/2021,Wurzburger Kickers,Braunschweig,0,0
16/01/2021,Bochum,Nurnberg,3,1
16/01/2021,Erzgebirge Aue,Fortuna Dusseldorf,0,3
16/01/2021,Hannover,St Pauli,2,3
17/01/2021,Heidenheim,Darmstadt,3,0
17/01/2021,Holstein Kiel,Karlsruhe,2,3
17/01/2021,Regensburg,Sandhausen,3,1
18/01/2021,Hamburg,Osnabruck,5,0
22/01/2021,Fortuna Dusseldorf,Greuther Furth,3,3
22/01/2021,Osnabruck,Erzgebirge Aue,0,1
23/01/2021,Braunschweig,Hamburg,2,4
23/01/2021,Karlsruhe,Heidenheim,1,1
23/01/2021,Paderborn,Wurzburger Kickers,1,0
24/01/2021,Darmstadt,Holstein Kiel,0,2
24/01/2021,Nurnberg,Hannover,2,5
24/01/2021,Sandhausen,Bochum,1,1
24/01/2021,St Pauli,Regensburg,2,0
26/01/2021,Erzgebirge Aue,Wurzburger Kickers,2,1
26/01/2021,Braunschweig,Heidenheim,1,0
26/01/2021,Fortuna Dusseldorf,Hamburg,0,0
26/01/2021,Osnabruck,Greuther Furth,0,1
27/01/2021,Darmstadt,Sandhausen,2,1
27/01/2021,Karlsruhe,Hannover,1,0
27/01/2021,Nurnberg,Regensburg,0,1
27/01/2021,Paderborn,Holstein Kiel,1,1
28/01/2021,St Pauli,Bochum,2,3
29/01/2021,Greuther Furth,Erzgebirge Aue,3,0
29/01/2021,Wurzburger Kickers,Fortuna Dusseldorf,2,1
30/01/2021,Hamburg,Paderborn,3,1
30/01/2021,Holstein Kiel,Braunschweig,3,1
30/01/2021,Regensburg,Darmstadt,1,1
31/01/2021,Bochum,Karlsruhe,1,2
31/01/2021,Heidenheim,St Pauli,3,4
31/01/2021,Sandhausen,Nurnberg,2,0
01/02/2021,Hannover,Osnabruck,1,0
05/02/2021,Erzgebirge Aue,Hamburg,3,3
05/02/2021,St Pauli,Sandhausen,2,1
06/02/2021,Braunschweig,Hannover,1,2
06/02/2021,Darmstadt,Nurnberg,1,2
06/02/2021,Osnabruck,Bochum,1,2
07/02/2021,Greuther Furth,Wurzburger Kickers,4,1
07/02/2021,Karlsruhe,Regensburg,0,0
08/02/2021,Fortuna Dusseldorf,Holstein Kiel,0,2
12/02/2021,Hannover,Paderborn,0,0
12/02/2021,Holstein Kiel,Wurzburger Kickers,1,0
13/02/2021,Hamburg,Greuther Furth,0,0
13/02/2021,Heidenheim,Erzgebirge Aue,2,0
13/02/2021,Regensburg,Fortuna Dusseldorf,1,1
13/02/2021,Sandhausen,Karlsruhe,2,3
14/02/2021,Bochum,Braunschweig,2,0
14/02/2021,Darmstadt,Osnabruck,1,0
14/02/2021,Nurnberg,St Pauli,1,2
19/02/2021,Braunschweig,Regensburg,2,0
19/02/2021,Erzgebirge Aue,Bochum,1,0
20/02/2021,Osnabruck,Heidenheim,1,2
20/02/2021,Paderborn,Sandhausen,2,1
20/02/2021,St Pauli,Darmstadt,3,2
21/02/2021,Fortuna Dusseldorf,Hannover,3,2
21/02/2021,Karlsruhe,Nurnberg,0,1
21/02/2021,Wurzburger Kickers,Hamburg,3,2
22/02/2021,Greuther Furth,Holstein Kiel,2,1
23/02/2021,Paderborn,Heidenheim,2,2
26/02/2021,Darmstadt,Karlsruhe,0,1
26/02/2021,Regensburg,Paderborn,1,0
27/02/2021,Bochum,Wurzburger Kickers,3,0
27/02/2021,Hannover,Greuther Furth,2,2
27/02/2021,Holstein Kiel,Erzgebirge Aue,1,0
28/02/2021,Heidenheim,Fortuna Dusseldorf,3,2
28/02/2021,Nurnberg,Braunschweig,0,0
28/02/2021,Sandhausen,Osnabruck,3,0
01/03/2021,St Pauli,Hamburg,1,0
05/03/2021,Paderborn,Darmstadt,2,3
05/03/2021,Wurzburger Kickers,Heidenheim,1,2
06/03/2021,Erzgebirge Aue,Hannover,1,1
06/03/2021,Greuther Furth,Bochum,1,2
06/03/2021,Karlsruhe,St Pauli,0,0
07/03/2021,Braunschweig,Sandhausen,1,0
07/03/2021,Fortuna Dusseldorf,Nurnberg,3,1
08/03/2021,Hamburg,Holstein Kiel,1,1
12/03/2021,Bochum,Hamburg,0,2
13/03/2021,Darmstadt,Erzgebirge Aue,4,1
13/03/2021,Sandhausen,Fortuna Dusseldorf,0,0
14/03/2021,Karlsruhe,Braunschweig,0,0
14/03/2021,Nurnberg,Osnabruck,1,1
15/03/2021,St Pauli,Paderborn,0,2
17/03/2021,Regensburg,Greuther Furth,1,2
19/03/2021,Paderborn,Karlsruhe,2,2
20/03/2021,Braunschweig,Darmstadt,1,1
20/03/2021,Erzgebirge Aue,Sandhausen,2,0
20/03/2021,Hamburg,Heidenheim,2,0
21/03/2021,Greuther Furth,Nurnberg,2,2
21/03/2021,Osnabruck,St Pauli,1,2
21/03/2021,Wurzburger Kickers,Regensburg,1,1
22/03/2021,Fortuna Dusseldorf,Bochum,0,3
03/04/2021,Bochum,Holstein Kiel,2,1
03/04/2021,Heidenheim,Greuther Furth,0,1
03/04/2021,Karlsruhe,Osnabruck,0,1
04/04/2021,Darmstadt,Fortuna Dusseldorf,1,2
04/04/2021,Hannover,Hamburg,3,3
04/04/2021,Nurnberg,Paderborn,2,1
04/04/2021,Regensburg,Erzgebirge Aue,1,1
