date,home_team,home_score,away_team,away_score
2012-12-09,Huachipato,4,U. Espanola,1
2012-12-05,U. Espanola,3,Huachipato,1
2012-12-02,Rangers,1,Huachipato,1
2012-12-02,Colo Colo,0,U. Espanola,2
2012-11-29,Huachipato,1,Rangers,0
2012-11-28,U. Espanola,3,Colo Colo,1
2012-11-25,Deportes Iquique,0,Rangers,1
2012-11-25,U. De Chile,1,U. Espanola,4
2012-11-25,U. De Concepcion,1,Everton,3
2012-11-24,Colo Colo,4,A. Italiano,5
2012-11-24,Palestino,1,Huachipato,2
2012-11-24,Cobresal,3,Barnechea,0
2012-11-21,Rangers,1,Deportes Iquique,0
2012-11-21,U. Espanola,0,U. De Chile,0
2012-11-20,Huachipato,1,Palestino,1
2012-11-20,A. Italiano,0,Colo Colo,2
2012-11-18,Barnechea,3,Cobresal,1
2012-11-18,Everton,1,U. De Concepcion,0
2012-11-14,O'Higgins,1,Cobresal,2
2012-11-14,Rangers,2,Antofagasta,2
2012-11-14,S. Wanderers,2,Union La Calera,0
2012-11-14,San Felipe,1,Deportes Iquique,2
2012-11-14,U. De Chile,3,U. De Concepcion,1
2012-11-11,U. Espanola,2,Cobreloa,1
2012-11-11,U. Catolica,2,U. De Concepcion,2
2012-11-10,Colo Colo,5,A. Italiano,1
2012-11-10,La Serena,1,Palestino,1
2012-11-10,Huachipato,0,U. De Chile,3
2012-11-04,Union La Calera,0,Huachipato,2
2012-11-04,Cobreloa,2,S. Wanderers,4
2012-11-04,U. De Chile,0,U. Catolica,0
2012-11-03,A. Italiano,5,O'Higgins,1
2012-11-03,Deportes Iquique,2,U. Espanola,4
2012-11-03,Cobresal,2,La Serena,2
2012-11-03,Palestino,1,San Felipe,2
2012-11-03,Antofagasta,1,Colo Colo,2
2012-11-02,U. De Concepcion,1,Rangers,0
2012-10-27,La Serena,0,Union La Calera,1
2012-10-27,U. Espanola,2,Antofagasta,1
2012-10-27,Cobresal,2,U. Catolica,2
2012-10-27,Palestino,2,Cobreloa,1
2012-10-27,Rangers,1,O'Higgins,2
2012-10-26,Huachipato,1,A. Italiano,1
2012-10-26,San Felipe,2,Colo Colo,1
2012-10-24,S. Wanderers,2,Deportes Iquique,1
2012-10-21,A. Italiano,2,Union La Calera,1
2012-10-21,Cobreloa,2,San Felipe,1
2012-10-21,Colo Colo,1,U. De Chile,0
2012-10-21,Antofagasta,2,La Serena,1
2012-10-21,Rangers,2,Cobresal,0
2012-10-20,O'Higgins,1,S. Wanderers,1
2012-10-20,U. Catolica,0,Huachipato,2
2012-10-20,Deportes Iquique,2,Palestino,1
2012-10-20,U. De Concepcion,2,U. Espanola,1
2012-10-08,San Felipe,1,A. Italiano,3
2012-10-07,Colo Colo,2,Rangers,2
2012-10-07,Cobreloa,3,Cobresal,0
2012-10-07,Union La Calera,1,Deportes Iquique,1
2012-10-07,Antofagasta,2,U. De Chile,4
2012-10-06,La Serena,1,U. Catolica,3
2012-10-06,Huachipato,2,U. De Concepcion,0
2012-10-06,Palestino,2,O'Higgins,1
2012-10-05,U. Espanola,2,S. Wanderers,2
2012-09-30,S. Wanderers,2,Palestino,3
2012-09-30,Deportes Iquique,1,Cobreloa,1
2012-09-30,U. Catolica,0,Colo Colo,2
2012-09-29,A. Italiano,3,La Serena,2
2012-09-29,Rangers,1,U. Espanola,0
2012-09-29,Cobresal,3,Antofagasta,1
2012-09-29,U. De Concepcion,1,San Felipe,1
2012-09-29,U. De Chile,0,Union La Calera,0
2012-09-28,O'Higgins,2,Huachipato,4
2012-09-23,Colo Colo,3,U. Espanola,0
2012-09-23,Cobreloa,4,U. Catolica,3
2012-09-23,Union La Calera,2,Rangers,2
2012-09-22,San Felipe,1,O'Higgins,1
2012-09-22,A. Italiano,1,Antofagasta,2
2012-09-22,Huachipato,1,Cobresal,1
2012-09-22,S. Wanderers,2,U. De Chile,2
2012-09-22,Palestino,1,U. De Concepcion,0
2012-09-21,La Serena,2,Deportes Iquique,3
2012-09-16,U. Espanola,0,Union La Calera,0
2012-09-16,Colo Colo,3,Huachipato,0
