date,home_team,home_score,away_team,away_score
2009-12-09,U. Catolica,2,Colo Colo,4
2009-12-05,Colo Colo,2,U. Catolica,2
2009-12-02,La Serena,0,Colo Colo,3
2009-12-02,U. Catolica,5,S. Morning,3
2009-11-29,Colo Colo,1,La Serena,0
2009-11-28,S. Morning,0,U. Catolica,3
2009-11-25,Colo Colo,4,U. De Concepcion,3
2009-11-25,A. Italiano,2,S. Morning,1
2009-11-24,U. Catolica,0,Everton,0
2009-11-24,La Serena,2,U. Espanola,1
2009-11-22,S. Morning,4,A. Italiano,2
2009-11-22,U. De Concepcion,1,Colo Colo,2
2009-11-21,Everton,0,U. Catolica,2
2009-11-21,U. Espanola,1,La Serena,1
2009-11-08,A. Italiano,0,Cobresal,0
2009-11-08,Cobreloa,1,Rangers,0
2009-11-08,Curico Unido,2,Everton,2
2009-11-08,Huachipato,1,U. De Chile,0
2009-11-08,La Serena,2,Deportes Iquique,1
2009-11-08,Nublense,1,U. Espanola,1
2009-11-07,U. Catolica,4,U. De Concepcion,1
2009-11-07,Colo Colo,1,Palestino,2
2009-11-06,S. Morning,1,O'Higgins,1
2009-11-01,U. Espanola,3,Curico Unido,0
2009-11-01,Everton,1,A. Italiano,2
2009-11-01,Rangers,3,S. Morning,1
2009-11-01,U. De Concepcion,1,Nublense,1
2009-10-31,Deportes Iquique,2,Cobreloa,1
2009-10-31,U. De Chile,2,U. Catolica,3
2009-10-31,Palestino,1,Huachipato,3
2009-10-31,Cobresal,0,Colo Colo,2
2009-10-30,O'Higgins,1,La Serena,3
2009-10-25,U. Catolica,3,S. Morning,0
2009-10-25,Curico Unido,0,O'Higgins,1
2009-10-25,Nublense,3,Huachipato,0
2009-10-25,La Serena,3,U. De Chile,0
2009-10-24,Deportes Iquique,1,Cobresal,1
2009-10-24,Colo Colo,2,Cobreloa,1
2009-10-24,Palestino,0,Everton,1
2009-10-24,U. De Concepcion,1,U. Espanola,2
2009-10-23,A. Italiano,1,Rangers,0
2009-10-18,U. De Chile,1,U. De Concepcion,1
2009-10-18,Cobreloa,0,A. Italiano,1
2009-10-18,Cobresal,2,Everton,0
2009-10-18,Curico Unido,3,Nublense,0
2009-10-18,Huachipato,0,Colo Colo,2
2009-10-18,Rangers,1,Palestino,0
2009-10-17,O'Higgins,2,Deportes Iquique,2
2009-10-17,U. Espanola,4,U. Catolica,3
2009-10-16,S. Morning,1,La Serena,2
2009-10-12,Curico Unido,1,S. Morning,1
2009-10-11,U. De Chile,1,Cobresal,1
2009-10-09,U. Espanola,3,Rangers,3
2009-10-04,U. Espanola,0,S. Morning,1
2009-10-04,Everton,0,Cobreloa,3
2009-10-04,Nublense,1,Palestino,0
2009-10-04,U. De Concepcion,3,Curico Unido,1
2009-10-03,A. Italiano,1,O'Higgins,1
2009-10-03,La Serena,3,Cobresal,2
2009-10-03,Colo Colo,1,U. De Chile,0
2009-10-02,Deportes Iquique,2,Huachipato,2
2009-10-02,U. Catolica,5,Rangers,1
2009-09-27,Colo Colo,3,Nublense,1
2009-09-27,La Serena,4,A. Italiano,2
2009-09-27,Cobreloa,0,Curico Unido,0
2009-09-27,Cobresal,3,U. De Concepcion,0
2009-09-27,Huachipato,1,Everton,2
2009-09-27,Rangers,5,Deportes Iquique,3
2009-09-27,O'Higgins,2,U. Espanola,0
2009-09-26,S. Morning,3,U. De Chile,1
2009-09-26,Palestino,1,U. Catolica,1
2009-09-24,Everton,3,Colo Colo,2
2009-09-23,A. Italiano,0,U. Catolica,4
2009-09-23,Cobreloa,2,Huachipato,0
2009-09-23,Palestino,1,La Serena,0
2009-09-23,U. De Concepcion,2,Deportes Iquique,0
2009-09-22,Nublense,1,O'Higgins,0
2009-09-20,Cobresal,0,Palestino,1
2009-09-20,Deportes Iquique,1,Colo Colo,1
2009-09-20,S. Morning,2,Everton,1
2009-09-19,Rangers,2,Nublense,0
2009-09-19,U. De Concepcion,1,Cobreloa,0
2009-09-18,Huachipato,2,A. Italiano,2
2009-09-18,U. Catolica,7,Curico Unido,0
2009-09-17,U. Espanola,1,La Serena,4
2009-09-17,O'Higgins,1,U. De Chile,1
2009-09-13,Colo Colo,1,U. Espanola,1
2009-09-13,Cobreloa,5,O'Higgins,1
2009-09-13,Curico Unido,2,Cobresal,1
2009-09-13,A. Italiano,2,Deportes Iquique,0
2009-09-12,Everton,1,U. Catolica,1
2009-09-12,La Serena,0,U. De Concepcion,1
2009-09-12,Huachipato,0,Rangers,3
2009-09-12,Nublense,0,U. De Chile,2
2009-09-12,Palestino,0,S. Morning,1
2009-09-06,U. Espanola,2,A. Italiano,4
2009-09-06,Everton,1,O'Higgins,1
2009-09-06,Rangers,1,U. De Concepcion,1
2009-08-30,Cobresal,3,S. Morning,1
2009-08-30,Deportes Iquique,1,Nublense,3
2009-08-30,O'Higgins,2,Huachipato,1
2009-08-30,U. De Chile,3,A. Italiano,2
2009-08-30,Rangers,0,Curico Unido,0
2009-08-29,U. Espanola,2,Cobreloa,0
2009-08-29,U. Catolica,2,Colo Colo,1
2009-08-29,U. De Concepcion,2,Palestino,0
2009-08-28,Everton,0,La Serena,1
2009-08-23,U. De Chile,1,Everton,1
2009-08-23,Cobreloa,0,U. Catolica,2
2009-08-23,S. Morning,3,Deportes Iquique,2
2009-08-23,Nublense,1,La Serena,0
2009-08-22,Huachipato,2,Cobresal,1
2009-08-22,O'Higgins,2,Colo Colo,2
2009-08-22,Palestino,3,U. Espanola,3
2009-08-21,A. Italiano,1,Curico Unido,1
2009-08-16,U. Catolica,3,Huachipato,1
2009-08-16,Cobresal,0,Nublense,0
2009-08-16,La Serena,4,Cobreloa,2
2009-08-16,Colo Colo,3,Rangers,0
2009-08-16,Curico Unido,2,Palestino,1
2009-08-15,Deportes Iquique,0,U. De Chile,2
2009-08-15,U. De Concepcion,2,S. Morning,1
2009-08-09,A. Italiano,2,U. De Concepcion,1
2009-08-09,Cobresal,2,Rangers,0
