date,home_team,home_score,away_team,away_score
2011-08-24,San Felipe,2,A. Italiano,2
2011-08-24,Cobresal,2,U. Espanola,2
2011-08-24,U. De Concepcion,3,Deportes Iquique,1
2011-08-24,S. Wanderers,2,Huachipato,1
2011-08-23,U. Catolica,2,O'Higgins,0
2011-08-23,Cobreloa,2,Nublense,0
2011-08-22,La Serena,0,Union La Calera,0
2011-08-21,Colo Colo,2,San Felipe,2
2011-08-21,Deportes Iquique,4,S. Morning,2
2011-08-21,U. Espanola,0,U. De Chile,1
2011-08-20,O'Higgins,1,Nublense,1
2011-08-20,Huachipato,1,U. Catolica,1
2011-08-20,Cobreloa,1,U. De Concepcion,1
2011-08-20,Palestino,1,S. Wanderers,1
2011-08-19,A. Italiano,2,La Serena,1
2011-08-19,Union La Calera,0,Cobresal,1
2011-08-14,U. De Chile,3,Cobreloa,1
2011-08-14,Nublense,2,Huachipato,4
2011-08-14,S. Morning,4,La Serena,1
2011-08-14,U. De Concepcion,3,Colo Colo,0
2011-08-13,U. Catolica,4,Union La Calera,0
2011-08-13,S. Wanderers,1,U. Espanola,1
2011-08-13,Cobresal,3,A. Italiano,2
2011-08-13,Palestino,2,O'Higgins,2
2011-08-12,San Felipe,2,Deportes Iquique,1
2011-08-07,Colo Colo,3,S. Wanderers,1
2011-08-07,Deportes Iquique,2,Cobreloa,4
2011-08-07,La Serena,2,U. De Concepcion,0
2011-08-07,O'Higgins,2,S. Morning,1
2011-08-06,San Felipe,1,Union La Calera,1
2011-08-06,A. Italiano,0,U. Catolica,0
2011-08-06,Huachipato,1,Cobresal,0
2011-08-05,U. Espanola,0,Palestino,0
2011-08-03,U. De Chile,2,D. Concepcion,0
2011-07-31,U. De Concepcion,1,Huachipato,1
2011-07-31,Cobreloa,0,U. Espanola,0
2011-07-31,S. Wanderers,0,Nublense,1
2011-07-31,Union La Calera,2,S. Morning,0
2011-07-30,U. De Chile,3,La Serena,0
2011-07-30,U. Catolica,4,Deportes Iquique,1
2011-07-30,Palestino,0,A. Italiano,0
2011-07-29,O'Higgins,3,San Felipe,0
2011-07-27,D. Concepcion,2,U. De Chile,2
2011-06-12,U. Catolica,1,U. De Chile,4
