date,home_team,home_score,away_team,away_score
2010-12-19,A. Italiano,1,U. Espanola,1
2010-12-18,U. De Concepcion,3,Curico Unido,2
2010-12-18,S. Morning,3,Antofagasta,1
2010-12-15,U. Espanola,2,A. Italiano,1
2010-12-12,A. Italiano,2,Huachipato,0
2010-12-12,Antofagasta,2,S. Morning,1
2010-12-12,Curico Unido,0,U. De Concepcion,2
2010-12-12,U. De Chile,1,U. Espanola,4
2010-12-09,U. Espanola,0,U. De Chile,0
2010-12-08,Huachipato,2,A. Italiano,1
2010-12-05,Colo Colo,4,U. De Concepcion,2
2010-12-05,Huachipato,0,Palestino,0
2010-12-05,Nublense,2,San Felipe,0
2010-12-05,S. Wanderers,1,S. Morning,1
2010-12-05,San Luis,2,Cobreloa,1
2010-12-05,U. Catolica,5,Everton,0
2010-12-04,U. Espanola,2,Cobresal,0
2010-12-04,La Serena,4,O'Higgins,2
2010-12-03,A. Italiano,1,U. De Chile,2
2010-11-28,U. De Chile,1,Nublense,2
2010-11-28,Cobresal,0,La Serena,2
2010-11-28,O'Higgins,2,Colo Colo,1
2010-11-28,Palestino,3,San Luis,2
2010-11-28,S. Morning,0,Huachipato,3
2010-11-27,Everton,1,A. Italiano,2
2010-11-27,U. De Concepcion,1,S. Wanderers,2
2010-11-27,Cobreloa,2,U. Catolica,3
2010-11-26,San Felipe,2,U. Espanola,4
2010-11-21,A. Italiano,1,S. Morning,0
2010-11-21,Huachipato,2,Cobreloa,0
2010-11-21,U. Espanola,1,O'Higgins,1
2010-11-21,La Serena,0,Palestino,0
2010-11-21,Nublense,2,U. De Concepcion,2
2010-11-21,U. Catolica,4,U. De Chile,2
2010-11-20,Colo Colo,1,Cobresal,0
2010-11-20,Everton,3,San Felipe,0
2010-11-19,San Luis,3,S. Wanderers,4
2010-11-14,O'Higgins,0,Everton,0
2010-11-14,Cobreloa,3,U. Espanola,1
2010-11-14,Cobresal,0,San Felipe,0
2010-11-14,Palestino,2,A. Italiano,5
2010-11-14,S. Wanderers,2,Nublense,2
2010-11-13,Colo Colo,0,S. Morning,1
2010-11-13,U. De Concepcion,1,La Serena,0
2010-11-13,San Luis,0,U. De Chile,3
2010-11-12,U. Catolica,2,Huachipato,0
2010-11-07,Huachipato,2,O'Higgins,1
2010-11-07,Nublense,3,Cobresal,1
2010-11-07,S. Morning,2,San Luis,0
2010-11-07,U. De Chile,2,Colo Colo,2
2010-11-06,Everton,1,Palestino,1
2010-11-06,U. Espanola,3,S. Wanderers,0
2010-11-06,La Serena,1,Cobreloa,0
2010-11-06,San Felipe,1,U. Catolica,3
2010-11-05,A. Italiano,4,U. De Concepcion,1
2010-10-31,Colo Colo,0,Huachipato,0
2010-10-31,Palestino,1,San Felipe,0
