Date,HomeTeam,AwayTeam,FTHG,FTAG
17/08/2019,Lugo,Extremadura UD,0,0
17/08/2019,Santander,Malaga,0,1
17/08/2019,Almeria,Albacete,3,0
17/08/2019,Elche,Fuenlabrada,0,2
17/08/2019,Vallecano,Mirandes,2,2
17/08/2019,Zaragoza,Tenerife,2,0
18/08/2019,La Coruna,Oviedo,3,2
18/08/2019,Numancia,Alcorcon,0,1
18/08/2019,Girona,Sp Gijon,1,1
18/08/2019,Cadiz,Ponferradina,3,1
18/08/2019,Las Palmas,Huesca,0,1
23/08/2019,Albacete,Girona,1,0
24/08/2019,Oviedo,Lugo,1,1
24/08/2019,Santander,Almeria,1,1
24/08/2019,Mirandes,Cadiz,1,2
24/08/2019,Alcorcon,Elche,1,2
24/08/2019,Malaga,Las Palmas,1,1
25/08/2019,Ponferradina,Zaragoza,1,1
25/08/2019,Sp Gijon,Vallecano,1,1
25/08/2019,Huesca,La Coruna,3,1
25/08/2019,Tenerife,Numancia,3,2
25/08/2019,Extremadura UD,Fuenlabrada,1,2
30/08/2019,Zaragoza,Elche,1,0
31/08/2019,Fuenlabrada,Oviedo,2,1
31/08/2019,Numancia,Mirandes,2,0
31/08/2019,Almeria,Huesca,1,0
31/08/2019,Las Palmas,Santander,2,2
01/09/2019,Lugo,Alcorcon,2,4
01/09/2019,Sp Gijon,Albacete,2,0
01/09/2019,Vallecano,La Coruna,3,1
01/09/2019,Girona,Malaga,1,0
01/09/2019,Ponferradina,Tenerife,4,0
01/09/2019,Cadiz,Extremadura UD,2,1
06/09/2019,Santander,Cadiz,1,2
07/09/2019,La Coruna,Albacete,0,1
07/09/2019,Malaga,Almeria,0,1
07/09/2019,Extremadura UD,Numancia,0,0
07/09/2019,Fuenlabrada,Ponferradina,1,1
07/09/2019,Tenerife,Las Palmas,0,0
08/09/2019,Huesca,Sp Gijon,1,0
08/09/2019,Girona,Vallecano,3,1
08/09/2019,Elche,Lugo,1,1
08/09/2019,Mirandes,Oviedo,2,1
08/09/2019,Alcorcon,Zaragoza,0,3
13/09/2019,Vallecano,Santander,2,0
14/09/2019,Mirandes,Malaga,1,1
14/09/2019,Numancia,Huesca,1,0
14/09/2019,Las Palmas,Almeria,0,3
14/09/2019,Cadiz,Girona,2,0
14/09/2019,Ponferradina,Alcorcon,1,1
15/09/2019,Albacete,Tenerife,0,4
15/09/2019,Oviedo,Elche,0,2
15/09/2019,Zaragoza,Extremadura UD,3,1
15/09/2019,Lugo,Fuenlabrada,2,0
15/09/2019,Sp Gijon,La Coruna,1,1
17/09/2019,Almeria,Girona,3,1
17/09/2019,Malaga,Vallecano,1,1
17/09/2019,Santander,Mirandes,4,0
17/09/2019,Alcorcon,Cadiz,3,0
18/09/2019,Huesca,Albacete,0,1
18/09/2019,Lugo,Ponferradina,2,2
18/09/2019,La Coruna,Numancia,3,3
19/09/2019,Elche,Tenerife,1,1
19/09/2019,Oviedo,Extremadura UD,1,1
19/09/2019,Las Palmas,Sp Gijon,1,0
20/09/2019,Mirandes,Alcorcon,2,2
21/09/2019,Cadiz,La Coruna,0,0
21/09/2019,Zaragoza,Lugo,0,0
21/09/2019,Vallecano,Almeria,1,1
21/09/2019,Albacete,Malaga,1,0
22/09/2019,Ponferradina,Oviedo,2,1
22/09/2019,Girona,Las Palmas,1,0
22/09/2019,Numancia,Elche,1,1
22/09/2019,Sp Gijon,Santander,1,1
22/09/2019,Extremadura UD,Huesca,0,1
22/09/2019,Tenerife,Fuenlabrada,0,1
27/09/2019,Las Palmas,Albacete,3,2
28/09/2019,Fuenlabrada,Vallecano,2,2
28/09/2019,Alcorcon,Extremadura UD,0,2
28/09/2019,Huesca,Girona,1,0
28/09/2019,Elche,Ponferradina,1,0
28/09/2019,Santander,Numancia,0,0
29/09/2019,Malaga,Sp Gijon,0,0
29/09/2019,Almeria,Cadiz,1,2
29/09/2019,Oviedo,Zaragoza,2,2
29/09/2019,La Coruna,Mirandes,1,1
29/09/2019,Lugo,Tenerife,1,4
01/10/2019,Albacete,Santander,0,0
01/10/2019,Extremadura UD,Elche,2,0
01/10/2019,Numancia,Fuenlabrada,1,0
01/10/2019,Vallecano,Alcorcon,1,1
02/10/2019,Cadiz,Huesca,1,0
02/10/2019,Mirandes,Lugo,1,1
02/10/2019,Ponferradina,Las Palmas,0,2
02/10/2019,Tenerife,Oviedo,0,1
03/10/2019,Sp Gijon,Almeria,4,2
03/10/2019,Zaragoza,Malaga,2,2
03/10/2019,Girona,La Coruna,3,1
04/10/2019,Alcorcon,Albacete,0,1
05/10/2019,Lugo,Las Palmas,0,2
05/10/2019,Elche,Vallecano,1,1
05/10/2019,Ponferradina,Mirandes,2,0
05/10/2019,Tenerife,Extremadura UD,1,2
06/10/2019,Fuenlabrada,Sp Gijon,2,0
06/10/2019,Oviedo,Numancia,1,1
06/10/2019,Zaragoza,Cadiz,0,2
06/10/2019,La Coruna,Almeria,0,0
06/10/2019,Huesca,Malaga,2,0
06/10/2019,Santander,Girona,0,3
11/10/2019,Vallecano,Tenerife,2,1
12/10/2019,Girona,Elche,0,2
12/10/2019,Almeria,Lugo,0,0
12/10/2019,Sp Gijon,Alcorcon,1,3
12/10/2019,Extremadura UD,Ponferradina,1,1
12/10/2019,Malaga,Cadiz,1,2
13/10/2019,Mirandes,Fuenlabrada,2,1
13/10/2019,Numancia,Zaragoza,0,1
13/10/2019,Albacete,Oviedo,1,2
13/10/2019,Huesca,Santander,1,1
13/10/2019,Las Palmas,La Coruna,3,0
16/10/2019,Fuenlabrada,Zaragoza,2,1
18/10/2019,Cadiz,Las Palmas,2,0
19/10/2019,Alcorcon,Almeria,2,2
19/10/2019,Ponferradina,Numancia,1,1
19/10/2019,Elche,Sp Gijon,0,1
19/10/2019,Lugo,Huesca,3,2
19/10/2019,Extremadura UD,Vallecano,0,3
20/10/2019,Fuenlabrada,Albacete,0,1
20/10/2019,La Coruna,Malaga,0,2
20/10/2019,Oviedo,Girona,4,2
20/10/2019,Tenerife,Santander,3,3
20/10/2019,Zaragoza,Mirandes,1,2
25/10/2019,Albacete,Cadiz,1,0
26/10/2019,Vallecano,Ponferradina,1,3
26/10/2019,Mirandes,Tenerife,0,0
26/10/2019,Santander,La Coruna,1,1
26/10/2019,Malaga,Oviedo,2,1
26/10/2019,Numancia,Lugo,3,1
27/10/2019,Girona,Alcorcon,0,0
27/10/2019,Sp Gijon,Zaragoza,4,0
27/10/2019,Huesca,Elche,2,0
27/10/2019,Las Palmas,Fuenlabrada,1,3
27/10/2019,Almeria,Extremadura UD,3,2
01/11/2019,Numancia,Albacete,1,0
01/11/2019,Cadiz,Sp Gijon,3,1
01/11/2019,Ponferradina,Malaga,1,0
01/11/2019,Oviedo,Almeria,0,0
02/11/2019,Fuenlabrada,La Coruna,1,1
02/11/2019,Alcorcon,Santander,1,0
02/11/2019,Tenerife,Huesca,0,0
03/11/2019,Extremadura UD,Girona,1,3
03/11/2019,Lugo,Vallecano,1,0
03/11/2019,Zaragoza,Las Palmas,3,0
03/11/2019,Elche,Mirandes,4,2
08/11/2019,Girona,Tenerife,1,0
09/11/2019,Huesca,Oviedo,3,1
09/11/2019,Mirandes,Extremadura UD,2,0
09/11/2019,Albacete,Lugo,0,1
09/11/2019,Sp Gijon,Numancia,0,1
09/11/2019,Las Palmas,Alcorcon,1,1
10/11/2019,La Coruna,Elche,1,3
10/11/2019,Almeria,Zaragoza,1,1
10/11/2019,Malaga,Fuenlabrada,0,0
10/11/2019,Santander,Ponferradina,2,2
10/11/2019,Vallecano,Cadiz,1,1
16/11/2019,Fuenlabrada,Huesca,3,2
16/11/2019,Extremadura UD,La Coruna,2,0
16/11/2019,Elche,Almeria,1,1
16/11/2019,Numancia,Vallecano,2,2
16/11/2019,Zaragoza,Albacete,0,1
17/11/2019,Ponferradina,Girona,1,1
17/11/2019,Alcorcon,Malaga,1,0
17/11/2019,Oviedo,Sp Gijon,0,0
17/11/2019,Lugo,Santander,1,1
17/11/2019,Mirandes,Las Palmas,2,1
17/11/2019,Tenerife,Cadiz,1,1
22/11/2019,Sp Gijon,Tenerife,0,2
23/11/2019,Vallecano,Zaragoza,0,1
