date,home_team,home_score,away_team,away_score
2016-10-02 12:00:00,Trentino,3,Vibo Valentia,0
2016-10-02 12:00:00,Piacenza,1,Perugia,3
2016-10-02 12:00:00,Padova,3,Ravenna,0
2016-10-02 12:00:00,Monza,0,Lube Civitanova,3
2016-10-02 12:00:00,Molfetta,1,Milano,3
2016-10-02 12:00:00,Modena,3,Sora,0
2016-10-02 12:00:00,Cisterna,0,Verona,3
2016-10-07 14:30:00,Ravenna,3,Cisterna,2
2016-10-09 12:00:00,Vibo Valentia,0,Monza,3
2016-10-09 12:00:00,Sora,0,Trentino,3
2016-10-09 12:00:00,Perugia,3,Padova,1
2016-10-09 12:00:00,Milano,1,Modena,3
2016-10-09 12:00:00,Lube Civitanova,3,Piacenza,0
2016-10-12 14:30:00,Verona,3,Molfetta,0
2016-10-14 14:30:00,Padova,2,Trentino,3
2016-10-16 12:00:00,Vibo Valentia,1,Molfetta,3
2016-10-16 12:00:00,Sora,0,Perugia,3
2016-10-16 12:00:00,Ravenna,2,Modena,3
2016-10-16 12:00:00,Piacenza,3,Verona,2
2016-10-16 12:00:00,Monza,3,Milano,0
2016-10-16 12:00:00,Cisterna,1,Lube Civitanova,3
2016-10-19 14:30:00,Verona,3,Monza,2
2016-10-19 14:30:00,Molfetta,2,Piacenza,3
2016-10-19 14:30:00,Modena,3,Padova,0
2016-10-19 14:30:00,Milano,2,Vibo Valentia,3
2016-10-19 14:30:00,Lube Civitanova,3,Sora,1
2016-10-20 14:30:00,Perugia,3,Ravenna,2
2016-10-23 12:00:00,Vibo Valentia,2,Perugia,3
2016-10-23 12:00:00,Sora,3,Monza,0
2016-10-23 12:00:00,Ravenna,1,Verona,3
2016-10-23 12:00:00,Padova,3,Molfetta,0
2016-10-23 12:00:00,Cisterna,0,Modena,3
2016-10-23 12:10:00,Milano,0,Lube Civitanova,3
2016-10-27 14:30:00,Trentino,3,Cisterna,0
2016-10-28 12:45:00,Modena,3,Vibo Valentia,0
2016-10-29 12:00:00,Monza,3,Cisterna,0
2016-10-29 12:00:00,Lube Civitanova,3,Padova,2
2016-10-29 12:15:00,Trentino,3,Perugia,1
2016-10-29 14:30:00,Verona,3,Sora,1
2016-10-29 14:30:00,Piacenza,3,Milano,2
2016-10-29 14:30:00,Molfetta,1,Ravenna,3
2016-11-01 12:15:00,Perugia,1,Modena,3
2016-11-01 13:00:00,Vibo Valentia,0,Lube Civitanova,3
2016-11-01 13:00:00,Sora,0,Piacenza,3
2016-11-01 13:00:00,Ravenna,1,Trentino,3
2016-11-01 13:00:00,Padova,3,Monza,0
2016-11-01 13:00:00,Milano,0,Verona,3
2016-11-01 13:00:00,Cisterna,3,Molfetta,1
2016-11-06 12:00:00,Trentino,3,Milano,0
2016-11-06 12:00:00,Piacenza,3,Cisterna,1
2016-11-06 12:00:00,Padova,1,Vibo Valentia,3
2016-11-06 12:00:00,Monza,3,Ravenna,2
2016-11-06 12:00:00,Molfetta,3,Sora,0
2016-11-06 12:00:00,Modena,3,Verona,0
2016-11-06 12:10:00,Lube Civitanova,3,Perugia,2
2016-11-09 14:30:00,Vibo Valentia,3,Piacenza,1
2016-11-09 14:30:00,Verona,0,Trentino,3
2016-11-09 14:30:00,Ravenna,1,Lube Civitanova,3
2016-11-09 14:30:00,Perugia,3,Molfetta,2
2016-11-09 14:30:00,Modena,1,Monza,3
2016-11-09 14:30:00,Milano,3,Padova,1
2016-11-09 14:30:00,Cisterna,3,Sora,2
2016-11-13 12:00:00,Verona,2,Vibo Valentia,3
2016-11-13 12:00:00,Trentino,3,Lube Civitanova,1
2016-11-13 12:00:00,Sora,3,Milano,0
2016-11-13 12:00:00,Piacenza,3,Ravenna,0
2016-11-13 12:00:00,Monza,0,Perugia,3
2016-11-13 12:00:00,Molfetta,3,Modena,1
2016-11-13 12:00:00,Cisterna,2,Padova,3
2016-11-17 14:30:00,Piacenza,3,Trentino,1
2016-11-18 14:30:00,Monza,3,Molfetta,1
2016-11-20 11:30:00,Vibo Valentia,2,Sora,3
2016-11-20 12:00:00,Ravenna,3,Milano,0
2016-11-20 12:00:00,Padova,0,Piacenza,3
2016-11-20 12:00:00,Modena,3,Trentino,2
2016-11-20 12:00:00,Lube Civitanova,3,Verona,0
