date,home_team,home_score,away_team,away_score
2014-02-09 14:30:00,Verona,2,Ravenna,3
2014-02-16 11:30:00,Cuneo,2,Piacenza,3
2014-02-16 12:00:00,Trentino,0,Modena,3
2014-02-16 12:00:00,Ravenna,3,Citta Di Castello,1
2014-02-16 12:00:00,Perugia,3,Molfetta,1
2014-02-16 12:00:00,Lube Civitanova,3,Vibo Valentia,0
2014-02-16 12:00:00,Cisterna,2,Verona,3
2014-02-19 14:30:00,Verona,1,Modena,3
2014-02-19 14:30:00,Piacenza,3,Trentino,0
2014-02-19 14:30:00,Cuneo,2,Lube Civitanova,3
2014-02-19 14:30:00,Citta Di Castello,3,Vibo Valentia,2
2014-02-19 14:30:00,Cisterna,1,Perugia,3
2014-02-22 14:30:00,Piacenza,3,Cisterna,0
2014-02-23 12:00:00,Vibo Valentia,0,Perugia,3
2014-02-23 12:00:00,Verona,2,Molfetta,3
2014-02-23 12:00:00,Ravenna,3,Cuneo,0
2014-02-23 12:00:00,Citta Di Castello,2,Trentino,3
2014-02-23 12:30:00,Modena,0,Lube Civitanova,3
2014-02-26 14:30:00,Ravenna,1,Piacenza,3
2014-03-01 11:30:00,Perugia,3,Ravenna,0
2014-03-02 11:30:00,Molfetta,1,Piacenza,3
2014-03-02 12:00:00,Trentino,3,Vibo Valentia,1
2014-03-02 12:00:00,Lube Civitanova,3,Verona,0
2014-03-02 12:00:00,Cuneo,3,Citta Di Castello,0
2014-03-08 14:30:00,Ravenna,2,Molfetta,3
2014-03-11 15:30:00,Modena,3,Cisterna,1
2014-03-15 13:00:00,Citta Di Castello,3,Cisterna,0
2014-03-16 12:30:00,Trentino,1,Perugia,3
2014-03-16 13:00:00,Vibo Valentia,0,Cuneo,3
2014-03-16 13:00:00,Ravenna,3,Lube Civitanova,2
2014-03-16 13:00:00,Piacenza,3,Verona,0
2014-03-16 13:00:00,Modena,3,Molfetta,0
2014-03-23 12:30:00,Lube Civitanova,3,Piacenza,0
2014-03-23 13:00:00,Verona,0,Trentino,3
2014-03-23 13:00:00,Perugia,2,Citta Di Castello,3
2014-03-23 13:00:00,Molfetta,3,Vibo Valentia,0
2014-03-23 13:00:00,Cuneo,0,Modena,3
2014-03-23 13:00:00,Cisterna,3,Ravenna,0
