date,home_team,home_score,away_team,away_score
2011-09-25 11:45:00,Trentino,3,Monza,0
2011-09-25 12:00:00,San Giustino,2,Vibo Valentia,3
2011-09-25 12:00:00,Padova,3,Piacenza,0
2011-09-25 12:00:00,Modena,3,Roma,1
2011-09-25 12:00:00,Lube Civitanova,3,Ravenna,1
2011-09-25 12:00:00,Cuneo,3,Verona,0
2011-09-25 12:00:00,Belluno,1,Cisterna,3
2011-09-28 14:30:00,Padova,0,Trentino,3
2011-10-01 11:00:00,Cisterna,2,San Giustino,3
2011-10-02 12:00:00,Vibo Valentia,2,Cuneo,3
2011-10-02 12:00:00,Verona,3,Belluno,2
2011-10-02 12:00:00,Ravenna,0,Modena,3
2011-10-02 12:00:00,Piacenza,2,Trentino,3
2011-10-02 12:00:00,Monza,3,Padova,1
2011-10-02 14:30:00,Roma,0,Lube Civitanova,3
2011-10-08 11:30:00,Lube Civitanova,3,Piacenza,1
2011-10-09 11:30:00,Belluno,2,Vibo Valentia,3
2011-10-09 12:00:00,San Giustino,3,Ravenna,2
2011-10-09 12:00:00,Modena,3,Monza,0
2011-10-09 12:00:00,Cuneo,3,Roma,0
2011-10-09 12:00:00,Cisterna,3,Verona,0
2011-10-15 11:30:00,Cuneo,3,Cisterna,2
2011-10-16 11:30:00,Verona,3,Padova,2
2011-10-16 12:00:00,Vibo Valentia,0,Roma,3
2011-10-16 12:00:00,Ravenna,1,Monza,3
2011-10-16 12:00:00,Modena,3,Piacenza,0
2011-10-16 12:00:00,Belluno,3,San Giustino,0
2011-10-17 14:00:00,Trentino,2,Lube Civitanova,3
2011-10-22 11:30:00,Ravenna,1,Verona,3
2011-10-23 11:30:00,Padova,2,Modena,3
2011-10-23 12:00:00,Trentino,3,San Giustino,0
2011-10-23 12:00:00,Roma,3,Belluno,2
2011-10-23 12:00:00,Piacenza,3,Vibo Valentia,2
2011-10-23 12:00:00,Monza,3,Cisterna,1
2011-10-23 12:00:00,Lube Civitanova,3,Cuneo,2
2011-10-29 11:30:00,Modena,0,Trentino,3
2011-10-29 14:30:00,Cuneo,3,Ravenna,0
2011-10-30 12:30:00,San Giustino,0,Roma,3
2011-10-30 13:00:00,Vibo Valentia,3,Lube Civitanova,1
2011-10-30 13:00:00,Verona,2,Monza,3
2011-10-30 13:00:00,Cisterna,3,Piacenza,2
2011-10-30 13:00:00,Belluno,3,Padova,0
2011-11-05 12:30:00,Monza,0,Belluno,3
2011-11-05 15:30:00,Trentino,3,Ravenna,0
2011-11-05 15:30:00,San Giustino,1,Cuneo,3
2011-11-05 15:30:00,Roma,3,Cisterna,2
2011-11-05 15:30:00,Piacenza,3,Verona,0
2011-11-05 15:30:00,Padova,0,Vibo Valentia,3
2011-11-05 15:30:00,Lube Civitanova,3,Modena,1
