Date,HomeTeam,AwayTeam,FTHG,FTAG,round
28/07/1989,1. FC Kaiserslautern,Bor. Mönchengladbach,2,1,1
28/07/1989,Bayer 05 Uerdingen,FC 08 Homburg,3,0,1
29/07/1989,FC St. Pauli,Werder Bremen,0,0,1
29/07/1989,Bayer Leverkusen,Borussia Dortmund,1,0,1
29/07/1989,Bayern München,1. FC Nürnberg,3,2,1
29/07/1989,VfB Stuttgart,Karlsruher SC,2,0,1
29/07/1989,VfL Bochum,1. FC Köln,0,1,1
29/07/1989,Eintracht Frankfurt,Waldhof Mannheim,3,1,1
29/07/1989,Fortuna Düsseldorf,Hamburger SV,1,1,1
04/08/1989,Borussia Dortmund,FC St. Pauli,3,1,2
04/08/1989,Hamburger SV,Eintracht Frankfurt,1,1,2
05/08/1989,Karlsruher SC,Bayer 05 Uerdingen,0,0,2
05/08/1989,FC 08 Homburg,1. FC Kaiserslautern,2,2,2
05/08/1989,Bor. Mönchengladbach,Bayern München,0,0,2
05/08/1989,1. FC Nürnberg,Bayer Leverkusen,2,2,2
05/08/1989,Werder Bremen,Fortuna Düsseldorf,2,2,2
05/08/1989,Waldhof Mannheim,VfL Bochum,3,2,2
09/08/1989,1. FC Köln,VfB Stuttgart,0,0,2
08/08/1989,Fortuna Düsseldorf,Eintracht Frankfurt,1,2,3
09/08/1989,Bayern München,FC 08 Homburg,1,0,3
11/08/1989,1. FC Kaiserslautern,Karlsruher SC,5,1,3
12/08/1989,FC St. Pauli,1. FC Nürnberg,0,1,3
12/08/1989,Bayer Leverkusen,Bor. Mönchengladbach,0,0,3
12/08/1989,Bayer 05 Uerdingen,1. FC Köln,2,3,3
12/08/1989,VfB Stuttgart,Waldhof Mannheim,1,0,3
12/08/1989,VfL Bochum,Hamburger SV,3,1,3
12/08/1989,Werder Bremen,Borussia Dortmund,2,0,3
15/08/1989,FC 08 Homburg,Bayer Leverkusen,2,1,4
15/08/1989,Bor. Mönchengladbach,FC St. Pauli,4,1,4
15/08/1989,1. FC Nürnberg,Werder Bremen,1,1,4
15/08/1989,Waldhof Mannheim,Bayer 05 Uerdingen,1,1,4
16/08/1989,Hamburger SV,VfB Stuttgart,1,0,4
16/08/1989,1. FC Köln,1. FC Kaiserslautern,4,1,4
16/08/1989,Karlsruher SC,Bayern München,3,3,4
16/08/1989,Borussia Dortmund,Fortuna Düsseldorf,1,0,4
16/08/1989,Eintracht Frankfurt,VfL Bochum,4,0,4
22/08/1989,FC St. Pauli,FC 08 Homburg,1,1,5
22/08/1989,Borussia Dortmund,1. FC Nürnberg,2,1,5
22/08/1989,Werder Bremen,Bor. Mönchengladbach,0,0,5
23/08/1989,Bayer Leverkusen,Karlsruher SC,1,1,5
23/08/1989,Bayern München,1. FC Köln,5,1,5
23/08/1989,1. FC Kaiserslautern,Waldhof Mannheim,2,3,5
23/08/1989,Bayer 05 Uerdingen,Hamburger SV,5,2,5
23/08/1989,VfB Stuttgart,Eintracht Frankfurt,1,1,5
23/08/1989,Fortuna Düsseldorf,VfL Bochum,2,2,5
26/08/1989,Hamburger SV,1. FC Kaiserslautern,3,0,6
26/08/1989,1. FC Köln,Bayer Leverkusen,1,1,6
26/08/1989,Karlsruher SC,FC St. Pauli,0,0,6
26/08/1989,FC 08 Homburg,Werder Bremen,1,1,6
26/08/1989,Bor. Mönchengladbach,Borussia Dortmund,0,0,6
26/08/1989,1. FC Nürnberg,Fortuna Düsseldorf,3,0,6
26/08/1989,VfL Bochum,VfB Stuttgart,2,0,6
26/08/1989,Eintracht Frankfurt,Bayer 05 Uerdingen,2,1,6
26/08/1989,Waldhof Mannheim,Bayern München,1,0,6
31/08/1989,Bayern München,Hamburger SV,4,0,7
01/09/1989,Bayer 05 Uerdingen,VfL Bochum,3,1,7
01/09/1989,Werder Bremen,Karlsruher SC,4,0,7
02/09/1989,FC St. Pauli,1. FC Köln,1,1,7
02/09/1989,Bayer Leverkusen,Waldhof Mannheim,3,0,7
02/09/1989,1. FC Kaiserslautern,Eintracht Frankfurt,2,1,7
02/09/1989,1. FC Nürnberg,Bor. Mönchengladbach,2,0,7
02/09/1989,Borussia Dortmund,FC 08 Homburg,3,0,7
02/09/1989,Fortuna Düsseldorf,VfB Stuttgart,4,2,7
