Date,HomeTeam,AwayTeam,FTHG,FTAG,round
14/08/1965,Eintracht Braunschweig,Borussia Dortmund,4,0,1
14/08/1965,1. FC Köln,Hannover 96,0,1,1
14/08/1965,Borussia Neunkirchen,Bor. Mönchengladbach,1,1,1
14/08/1965,Tasmania 1900 Berlin,Karlsruher SC,2,0,1
14/08/1965,Frankfurter SG Eintracht,Hamburger SV,2,0,1
14/08/1965,Werder Bremen,1. FC Nürnberg,1,0,1
14/08/1965,Meidericher SV,1. FC Kaiserslautern,2,2,1
14/08/1965,TSV 1860 München,Bayern München,1,0,1
14/08/1965,VfB Stuttgart,FC Schalke 04,1,0,1
21/08/1965,VfB Stuttgart,Meidericher SV,2,0,2
21/08/1965,Hannover 96,Werder Bremen,2,1,2
21/08/1965,1. FC Kaiserslautern,1. FC Köln,3,2,2
21/08/1965,Bor. Mönchengladbach,Tasmania 1900 Berlin,5,0,2
21/08/1965,Hamburger SV,Eintracht Braunschweig,2,1,2
21/08/1965,FC Schalke 04,Karlsruher SC,0,0,2
21/08/1965,Bayern München,Frankfurter SG Eintracht,2,0,2
21/08/1965,Borussia Dortmund,Borussia Neunkirchen,1,0,2
21/08/1965,1. FC Nürnberg,TSV 1860 München,1,4,2
27/08/1965,Meidericher SV,FC Schalke 04,5,1,3
28/08/1965,Tasmania 1900 Berlin,Borussia Dortmund,0,2,3
28/08/1965,Karlsruher SC,Bor. Mönchengladbach,3,3,3
28/08/1965,Borussia Neunkirchen,Hamburger SV,1,1,3
28/08/1965,Werder Bremen,1. FC Kaiserslautern,4,1,3
28/08/1965,1. FC Köln,VfB Stuttgart,3,1,3
28/08/1965,Eintracht Braunschweig,Bayern München,2,4,3
28/08/1965,TSV 1860 München,Hannover 96,5,0,3
03/09/1965,Frankfurter SG Eintracht,1. FC Nürnberg,1,2,3
04/09/1965,Bayern München,Borussia Neunkirchen,6,0,4
04/09/1965,VfB Stuttgart,Werder Bremen,0,2,4
04/09/1965,1. FC Kaiserslautern,TSV 1860 München,3,0,4
04/09/1965,Borussia Dortmund,Karlsruher SC,4,1,4
04/09/1965,Hannover 96,Frankfurter SG Eintracht,4,1,4
04/09/1965,FC Schalke 04,Bor. Mönchengladbach,0,0,4
04/09/1965,Hamburger SV,Tasmania 1900 Berlin,5,1,4
04/09/1965,Meidericher SV,1. FC Köln,2,3,4
04/09/1965,1. FC Nürnberg,Eintracht Braunschweig,1,1,4
11/09/1965,Borussia Neunkirchen,1. FC Nürnberg,2,1,5
11/09/1965,Karlsruher SC,Hamburger SV,1,4,5
11/09/1965,Bor. Mönchengladbach,Borussia Dortmund,4,5,5
11/09/1965,Tasmania 1900 Berlin,Bayern München,0,2,5
11/09/1965,1. FC Köln,FC Schalke 04,2,1,5
11/09/1965,Frankfurter SG Eintracht,1. FC Kaiserslautern,6,0,5
11/09/1965,Eintracht Braunschweig,Hannover 96,2,1,5
11/09/1965,Werder Bremen,Meidericher SV,2,0,5
17/09/1965,TSV 1860 München,VfB Stuttgart,0,0,5
18/09/1965,1. FC Kaiserslautern,Eintracht Braunschweig,1,1,6
18/09/1965,Bayern München,Karlsruher SC,5,1,6
18/09/1965,1. FC Köln,Werder Bremen,2,0,6
18/09/1965,Hannover 96,Borussia Neunkirchen,6,0,6
18/09/1965,FC Schalke 04,Borussia Dortmund,2,3,6
18/09/1965,VfB Stuttgart,Frankfurter SG Eintracht,0,0,6
18/09/1965,Hamburger SV,Bor. Mönchengladbach,5,0,6
18/09/1965,Meidericher SV,TSV 1860 München,2,3,6
18/09/1965,1. FC Nürnberg,Tasmania 1900 Berlin,7,2,6
02/10/1965,Bor. Mönchengladbach,Bayern München,1,2,7
02/10/1965,TSV 1860 München,1. FC Köln,2,1,7
02/10/1965,Borussia Dortmund,Hamburger SV,2,2,7
02/10/1965,Werder Bremen,FC Schalke 04,2,0,7
02/10/1965,Tasmania 1900 Berlin,Hannover 96,1,5,7
02/10/1965,Borussia Neunkirchen,1. FC Kaiserslautern,1,4,7
02/10/1965,Frankfurter SG Eintracht,Meidericher SV,2,0,7
02/10/1965,Eintracht Braunschweig,VfB Stuttgart,1,1,7
