Date,HomeTeam,AwayTeam,FTHG,FTAG,round
02/08/1991,MSV Duisburg,VfB Stuttgart,1,0,1
02/08/1991,VfL Bochum,1. FC Köln,2,2,1
02/08/1991,Bayer Leverkusen,Bor. Mönchengladbach,1,0,1
03/08/1991,Dynamo Dresden,1. FC Kaiserslautern,0,1,1
03/08/1991,FC Schalke 04,Hamburger SV,0,0,1
03/08/1991,Fortuna Düsseldorf,Eintracht Frankfurt,1,2,1
03/08/1991,Hansa Rostock,1. FC Nürnberg,4,0,1
03/08/1991,Werder Bremen,Bayern München,1,1,1
03/08/1991,Karlsruher SC,Borussia Dortmund,2,2,1
03/08/1991,Stuttgarter Kickers,SG Wattenscheid 09,3,0,1
09/08/1991,SG Wattenscheid 09,Bayer Leverkusen,3,0,2
09/08/1991,Bor. Mönchengladbach,MSV Duisburg,0,0,2
09/08/1991,Hamburger SV,Dynamo Dresden,2,0,2
10/08/1991,Borussia Dortmund,Werder Bremen,2,1,2
10/08/1991,Bayern München,Hansa Rostock,1,2,2
10/08/1991,1. FC Nürnberg,Fortuna Düsseldorf,3,1,2
10/08/1991,Eintracht Frankfurt,FC Schalke 04,5,0,2
10/08/1991,1. FC Kaiserslautern,VfL Bochum,1,1,2
10/08/1991,1. FC Köln,Stuttgarter Kickers,0,0,2
10/08/1991,VfB Stuttgart,Karlsruher SC,1,0,2
13/08/1991,MSV Duisburg,SG Wattenscheid 09,0,0,3
13/08/1991,VfL Bochum,Hamburger SV,2,3,3
13/08/1991,Dynamo Dresden,Eintracht Frankfurt,2,1,3
13/08/1991,Karlsruher SC,Bor. Mönchengladbach,2,0,3
14/08/1991,FC Schalke 04,1. FC Nürnberg,1,0,3
14/08/1991,Fortuna Düsseldorf,Bayern München,0,1,3
14/08/1991,Hansa Rostock,Borussia Dortmund,5,1,3
14/08/1991,Werder Bremen,VfB Stuttgart,1,1,3
14/08/1991,1. FC Köln,1. FC Kaiserslautern,1,1,3
14/08/1991,Stuttgarter Kickers,Bayer Leverkusen,0,1,3
20/08/1991,Bor. Mönchengladbach,Werder Bremen,0,2,4
20/08/1991,Borussia Dortmund,Fortuna Düsseldorf,3,1,4
20/08/1991,Bayern München,FC Schalke 04,3,2,4
20/08/1991,1. FC Nürnberg,Dynamo Dresden,1,1,4
21/08/1991,SG Wattenscheid 09,Karlsruher SC,1,1,4
21/08/1991,Eintracht Frankfurt,VfL Bochum,2,1,4
21/08/1991,Hamburger SV,1. FC Köln,1,1,4
21/08/1991,1. FC Kaiserslautern,Stuttgarter Kickers,4,3,4
21/08/1991,Bayer Leverkusen,MSV Duisburg,2,1,4
21/08/1991,VfB Stuttgart,Hansa Rostock,3,0,4
23/08/1991,Dynamo Dresden,Bayern München,0,2,5
24/08/1991,FC Schalke 04,Borussia Dortmund,5,2,5
24/08/1991,Fortuna Düsseldorf,VfB Stuttgart,0,3,5
24/08/1991,Hansa Rostock,Bor. Mönchengladbach,2,1,5
24/08/1991,Werder Bremen,SG Wattenscheid 09,2,2,5
24/08/1991,Karlsruher SC,Bayer Leverkusen,0,0,5
24/08/1991,1. FC Kaiserslautern,Hamburger SV,0,0,5
24/08/1991,1. FC Köln,Eintracht Frankfurt,1,1,5
25/08/1991,VfL Bochum,1. FC Nürnberg,0,3,5
09/10/1991,Stuttgarter Kickers,MSV Duisburg,0,1,5
27/08/1991,SG Wattenscheid 09,Hansa Rostock,0,0,6
27/08/1991,MSV Duisburg,Karlsruher SC,6,2,6
27/08/1991,Bor. Mönchengladbach,Fortuna Düsseldorf,3,1,6
27/08/1991,Bayer Leverkusen,Werder Bremen,0,0,6
27/08/1991,VfB Stuttgart,FC Schalke 04,1,0,6
28/08/1991,Borussia Dortmund,Dynamo Dresden,4,0,6
28/08/1991,Bayern München,VfL Bochum,0,2,6
