Date,HomeTeam,AwayTeam,FTHG,FTAG,round
14/08/1971,Bayern München,Fortuna Düsseldorf,3,1,1
14/08/1971,1. FC Köln,Werder Bremen,0,0,1
14/08/1971,MSV Duisburg,Borussia Dortmund,2,1,1
14/08/1971,VfL Bochum,Eintracht Braunschweig,1,0,1
14/08/1971,Arminia Bielefeld,Rot-Weiß Oberhausen,0,1,1
14/08/1971,Hamburger SV,Eintracht Frankfurt,5,1,1
14/08/1971,VfB Stuttgart,Hertha BSC,3,0,1
14/08/1971,Hannover 96,FC Schalke 04,1,5,1
14/08/1971,1. FC Kaiserslautern,Bor. Mönchengladbach,1,0,1
21/08/1971,Borussia Dortmund,Hamburger SV,1,1,2
21/08/1971,Werder Bremen,1. FC Kaiserslautern,2,2,2
21/08/1971,Fortuna Düsseldorf,Hannover 96,2,0,2
21/08/1971,Hertha BSC,Bayern München,2,2,2
21/08/1971,Eintracht Braunschweig,VfB Stuttgart,1,1,2
21/08/1971,Rot-Weiß Oberhausen,VfL Bochum,2,3,2
21/08/1971,FC Schalke 04,MSV Duisburg,2,0,2
21/08/1971,Eintracht Frankfurt,1. FC Köln,2,2,2
21/08/1971,Bor. Mönchengladbach,Arminia Bielefeld,5,1,2
28/08/1971,Eintracht Frankfurt,Werder Bremen,4,0,3
28/08/1971,VfL Bochum,Bor. Mönchengladbach,0,2,3
28/08/1971,Hannover 96,Hertha BSC,1,1,3
28/08/1971,Arminia Bielefeld,1. FC Kaiserslautern,1,1,3
28/08/1971,MSV Duisburg,Fortuna Düsseldorf,0,0,3
28/08/1971,VfB Stuttgart,Rot-Weiß Oberhausen,1,1,3
28/08/1971,Bayern München,Eintracht Braunschweig,4,1,3
28/08/1971,Hamburger SV,FC Schalke 04,0,1,3
28/08/1971,1. FC Köln,Borussia Dortmund,2,1,3
01/09/1971,Rot-Weiß Oberhausen,Bayern München,1,1,4
01/09/1971,Borussia Dortmund,Eintracht Frankfurt,3,1,4
01/09/1971,Bor. Mönchengladbach,VfB Stuttgart,0,0,4
01/09/1971,Eintracht Braunschweig,Hannover 96,3,0,4
01/09/1971,Werder Bremen,Arminia Bielefeld,4,0,4
01/09/1971,1. FC Kaiserslautern,VfL Bochum,4,1,4
01/09/1971,Hertha BSC,MSV Duisburg,1,0,4
01/09/1971,Fortuna Düsseldorf,Hamburger SV,0,0,4
01/09/1971,FC Schalke 04,1. FC Köln,6,2,4
04/09/1971,Bayern München,Bor. Mönchengladbach,2,0,5
04/09/1971,1. FC Köln,Fortuna Düsseldorf,1,2,5
04/09/1971,MSV Duisburg,Eintracht Braunschweig,0,0,5
04/09/1971,VfB Stuttgart,1. FC Kaiserslautern,3,1,5
04/09/1971,Eintracht Frankfurt,FC Schalke 04,2,0,5
04/09/1971,VfL Bochum,Arminia Bielefeld,2,1,5
04/09/1971,Borussia Dortmund,Werder Bremen,1,5,5
04/09/1971,Hamburger SV,Hertha BSC,1,2,5
04/09/1971,Hannover 96,Rot-Weiß Oberhausen,1,0,5
11/09/1971,Bor. Mönchengladbach,Hannover 96,3,0,6
11/09/1971,Eintracht Braunschweig,Hamburger SV,1,1,6
11/09/1971,Rot-Weiß Oberhausen,MSV Duisburg,0,1,6
11/09/1971,Hertha BSC,1. FC Köln,1,1,6
11/09/1971,Werder Bremen,VfL Bochum,2,0,6
11/09/1971,Arminia Bielefeld,VfB Stuttgart,1,0,6
11/09/1971,FC Schalke 04,Borussia Dortmund,1,0,6
11/09/1971,1. FC Kaiserslautern,Bayern München,0,2,6
11/09/1971,Fortuna Düsseldorf,Eintracht Frankfurt,1,0,6
18/09/1971,Hamburger SV,Rot-Weiß Oberhausen,3,0,7
18/09/1971,MSV Duisburg,Bor. Mönchengladbach,1,5,7
18/09/1971,1. FC Köln,Eintracht Braunschweig,2,0,7
18/09/1971,Hannover 96,1. FC Kaiserslautern,1,2,7
18/09/1971,Eintracht Frankfurt,Hertha BSC,1,1,7
18/09/1971,FC Schalke 04,Werder Bremen,2,0,7
18/09/1971,VfB Stuttgart,VfL Bochum,3,2,7
18/09/1971,Borussia Dortmund,Fortuna Düsseldorf,1,0,7
18/09/1971,Bayern München,Arminia Bielefeld,1,1,7
25/09/1971,1. FC Kaiserslautern,MSV Duisburg,1,0,8
25/09/1971,Bor. Mönchengladbach,Hamburger SV,1,0,8
25/09/1971,VfL Bochum,Bayern München,0,2,8
25/09/1971,Rot-Weiß Oberhausen,1. FC Köln,1,1,8
25/09/1971,Eintracht Braunschweig,Eintracht Frankfurt,2,0,8
25/09/1971,Arminia Bielefeld,Hannover 96,1,0,8
25/09/1971,Hertha BSC,Borussia Dortmund,2,1,8
25/09/1971,Werder Bremen,VfB Stuttgart,2,3,8
25/09/1971,Fortuna Düsseldorf,FC Schalke 04,0,2,8
02/10/1971,FC Schalke 04,Hertha BSC,4,0,9
02/10/1971,1. FC Köln,Bor. Mönchengladbach,4,3,9
