Date,HomeTeam,AwayTeam,FTHG,FTAG,round
09/08/1985,FC Schalke 04,Werder Bremen,0,1,1
10/08/1985,Fortuna Düsseldorf,Waldhof Mannheim,4,1,1
10/08/1985,1. FC Nürnberg,VfL Bochum,0,1,1
10/08/1985,1. FC Köln,Eintracht Frankfurt,1,1,1
10/08/1985,Hamburger SV,1. FC Kaiserslautern,4,1,1
10/08/1985,1. FC Saarbrücken,Borussia Dortmund,1,1,1
10/08/1985,Hannover 96,Bayer Leverkusen,1,1,1
10/08/1985,VfB Stuttgart,Bor. Mönchengladbach,0,0,1
10/08/1985,Bayer 05 Uerdingen,Bayern München,1,0,1
16/08/1985,Werder Bremen,Hannover 96,8,2,2
16/08/1985,Borussia Dortmund,Hamburger SV,1,1,2
16/08/1985,Waldhof Mannheim,Bayer 05 Uerdingen,2,0,2
17/08/1985,Bayern München,VfB Stuttgart,4,1,2
17/08/1985,Bayer Leverkusen,1. FC Saarbrücken,2,0,2
17/08/1985,1. FC Kaiserslautern,1. FC Köln,1,0,2
17/08/1985,Eintracht Frankfurt,1. FC Nürnberg,1,1,2
17/08/1985,VfL Bochum,Fortuna Düsseldorf,5,3,2
17/08/1985,Bor. Mönchengladbach,FC Schalke 04,4,0,2
20/08/1985,Fortuna Düsseldorf,Eintracht Frankfurt,0,1,3
20/08/1985,Waldhof Mannheim,VfL Bochum,4,1,3
21/08/1985,1. FC Nürnberg,1. FC Kaiserslautern,3,1,3
21/08/1985,1. FC Köln,Borussia Dortmund,2,0,3
21/08/1985,1. FC Saarbrücken,Werder Bremen,1,1,3
21/08/1985,Hannover 96,Bor. Mönchengladbach,2,3,3
21/08/1985,FC Schalke 04,Bayern München,0,1,3
21/08/1985,Bayer 05 Uerdingen,VfB Stuttgart,1,4,3
08/10/1985,Hamburger SV,Bayer Leverkusen,1,3,3
31/08/1985,Werder Bremen,Hamburger SV,2,0,4
31/08/1985,Bayer Leverkusen,1. FC Köln,1,1,4
31/08/1985,Borussia Dortmund,1. FC Nürnberg,1,4,4
31/08/1985,1. FC Kaiserslautern,Fortuna Düsseldorf,2,0,4
31/08/1985,Eintracht Frankfurt,Waldhof Mannheim,0,0,4
31/08/1985,VfL Bochum,Bayer 05 Uerdingen,1,2,4
31/08/1985,VfB Stuttgart,FC Schalke 04,0,1,4
31/08/1985,Bor. Mönchengladbach,1. FC Saarbrücken,2,0,4
08/10/1985,Bayern München,Hannover 96,6,0,4
03/09/1985,1. FC Saarbrücken,Bayern München,1,1,5
03/09/1985,VfL Bochum,Eintracht Frankfurt,2,1,5
03/09/1985,Waldhof Mannheim,1. FC Kaiserslautern,1,1,5
03/09/1985,Bayer 05 Uerdingen,FC Schalke 04,3,2,5
04/09/1985,Fortuna Düsseldorf,Borussia Dortmund,4,2,5
04/09/1985,1. FC Nürnberg,Bayer Leverkusen,3,2,5
04/09/1985,1. FC Köln,Werder Bremen,3,3,5
04/09/1985,Hamburger SV,Bor. Mönchengladbach,4,1,5
04/09/1985,Hannover 96,VfB Stuttgart,1,3,5
06/09/1985,1. FC Kaiserslautern,VfL Bochum,2,0,6
07/09/1985,Bayern München,Hamburger SV,2,0,6
07/09/1985,Werder Bremen,1. FC Nürnberg,2,1,6
07/09/1985,Bayer Leverkusen,Fortuna Düsseldorf,3,1,6
07/09/1985,Borussia Dortmund,Waldhof Mannheim,0,0,6
07/09/1985,Eintracht Frankfurt,Bayer 05 Uerdingen,1,1,6
07/09/1985,FC Schalke 04,Hannover 96,2,2,6
07/09/1985,VfB Stuttgart,1. FC Saarbrücken,3,1,6
07/09/1985,Bor. Mönchengladbach,1. FC Köln,1,1,6
13/09/1985,1. FC Saarbrücken,FC Schalke 04,3,2,7
13/09/1985,Fortuna Düsseldorf,Werder Bremen,1,4,7
13/09/1985,Eintracht Frankfurt,1. FC Kaiserslautern,1,1,7
14/09/1985,1. FC Nürnberg,Bor. Mönchengladbach,2,4,7
14/09/1985,1. FC Köln,Bayern München,1,1,7
14/09/1985,Hamburger SV,VfB Stuttgart,2,0,7
14/09/1985,VfL Bochum,Borussia Dortmund,6,1,7
14/09/1985,Waldhof Mannheim,Bayer Leverkusen,1,0,7
14/09/1985,Bayer 05 Uerdingen,Hannover 96,3,3,7
20/09/1985,Bayer Leverkusen,VfL Bochum,4,2,8
20/09/1985,Borussia Dortmund,Eintracht Frankfurt,4,2,8
21/09/1985,Bayern München,1. FC Nürnberg,2,1,8
21/09/1985,Werder Bremen,Waldhof Mannheim,2,2,8
21/09/1985,1. FC Kaiserslautern,Bayer 05 Uerdingen,5,1,8
21/09/1985,Hannover 96,1. FC Saarbrücken,2,0,8
21/09/1985,FC Schalke 04,Hamburger SV,1,0,8
21/09/1985,VfB Stuttgart,1. FC Köln,5,0,8
21/09/1985,Bor. Mönchengladbach,Fortuna Düsseldorf,5,1,8
27/09/1985,Bayer 05 Uerdingen,1. FC Saarbrücken,2,1,9
28/09/1985,Fortuna Düsseldorf,Bayern München,4,0,9
28/09/1985,1. FC Nürnberg,VfB Stuttgart,0,1,9
28/09/1985,1. FC Köln,FC Schalke 04,4,2,9
28/09/1985,Hamburger SV,Hannover 96,3,0,9
28/09/1985,1. FC Kaiserslautern,Borussia Dortmund,2,0,9
28/09/1985,Eintracht Frankfurt,Bayer Leverkusen,1,0,9
28/09/1985,VfL Bochum,Werder Bremen,2,3,9
28/09/1985,Waldhof Mannheim,Bor. Mönchengladbach,3,1,9
04/10/1985,Bayer Leverkusen,1. FC Kaiserslautern,3,2,10
05/10/1985,Bayern München,Waldhof Mannheim,3,1,10
05/10/1985,Werder Bremen,Eintracht Frankfurt,4,0,10
05/10/1985,Borussia Dortmund,Bayer 05 Uerdingen,5,2,10
05/10/1985,1. FC Saarbrücken,Hamburger SV,2,2,10
05/10/1985,Hannover 96,1. FC Köln,3,1,10
05/10/1985,FC Schalke 04,1. FC Nürnberg,2,0,10
05/10/1985,VfB Stuttgart,Fortuna Düsseldorf,5,0,10
05/10/1985,Bor. Mönchengladbach,VfL Bochum,2,0,10
09/10/1985,Waldhof Mannheim,VfB Stuttgart,5,3,11
10/10/1985,Fortuna Düsseldorf,FC Schalke 04,1,1,11
11/10/1985,1. FC Nürnberg,Hannover 96,3,3,11
11/10/1985,1. FC Köln,1. FC Saarbrücken,3,1,11
11/10/1985,1. FC Kaiserslautern,Werder Bremen,3,0,11
11/10/1985,Eintracht Frankfurt,Bor. Mönchengladbach,1,1,11
11/10/1985,VfL Bochum,Bayern München,3,0,11
11/10/1985,Bayer 05 Uerdingen,Hamburger SV,0,3,11
12/10/1985,Borussia Dortmund,Bayer Leverkusen,1,1,11
25/10/1985,1. FC Saarbrücken,1. FC Nürnberg,3,0,12
26/10/1985,Bayer Leverkusen,Bayer 05 Uerdingen,2,2,12
26/10/1985,Bayern München,Eintracht Frankfurt,3,0,12
26/10/1985,Werder Bremen,Borussia Dortmund,4,2,12
