Date,HomeTeam,AwayTeam,FTHG,FTAG,round
16/09/1972,Bor. Mönchengladbach,MSV Duisburg,4,3,1
16/09/1972,Rot-Weiß Oberhausen,Bayern München,0,5,1
16/09/1972,Eintracht Frankfurt,Hamburger SV,2,1,1
16/09/1972,Eintracht Braunschweig,VfL Bochum,0,2,1
16/09/1972,FC Schalke 04,Hannover 96,3,1,1
16/09/1972,Hertha BSC,Fortuna Düsseldorf,2,3,1
16/09/1972,Wuppertaler SV,1. FC Kaiserslautern,2,0,1
16/09/1972,VfB Stuttgart,1. FC Köln,3,1,1
16/09/1972,Werder Bremen,Kickers Offenbach,0,0,1
20/09/1972,VfL Bochum,Hertha BSC,2,1,2
20/09/1972,1. FC Köln,Rot-Weiß Oberhausen,3,1,2
20/09/1972,Bayern München,Werder Bremen,2,1,2
20/09/1972,1. FC Kaiserslautern,FC Schalke 04,2,0,2
20/09/1972,Hamburger SV,Bor. Mönchengladbach,1,3,2
20/09/1972,Kickers Offenbach,Eintracht Braunschweig,1,0,2
20/09/1972,Hannover 96,Eintracht Frankfurt,2,1,2
20/09/1972,Fortuna Düsseldorf,Wuppertaler SV,2,1,2
20/09/1972,MSV Duisburg,VfB Stuttgart,0,1,2
23/09/1972,Eintracht Frankfurt,1. FC Kaiserslautern,3,1,3
23/09/1972,Wuppertaler SV,VfL Bochum,3,0,3
23/09/1972,FC Schalke 04,Fortuna Düsseldorf,3,1,3
23/09/1972,Bor. Mönchengladbach,Hannover 96,3,1,3
23/09/1972,Werder Bremen,Rot-Weiß Oberhausen,1,0,3
23/09/1972,Hertha BSC,Kickers Offenbach,2,5,3
23/09/1972,Eintracht Braunschweig,Bayern München,0,2,3
23/09/1972,VfB Stuttgart,Hamburger SV,2,1,3
23/09/1972,MSV Duisburg,1. FC Köln,1,1,3
29/09/1972,Rot-Weiß Oberhausen,Eintracht Braunschweig,0,1,4
30/09/1972,Fortuna Düsseldorf,Eintracht Frankfurt,2,2,4
30/09/1972,1. FC Köln,Werder Bremen,1,0,4
30/09/1972,VfL Bochum,FC Schalke 04,2,0,4
30/09/1972,Kickers Offenbach,Wuppertaler SV,3,1,4
30/09/1972,1. FC Kaiserslautern,Bor. Mönchengladbach,3,1,4
30/09/1972,Hannover 96,VfB Stuttgart,3,1,4
30/09/1972,Bayern München,Hertha BSC,4,0,4
30/09/1972,Hamburger SV,MSV Duisburg,1,2,4
03/10/1972,Eintracht Frankfurt,VfL Bochum,4,1,5
04/10/1972,Hamburger SV,1. FC Köln,0,0,5
04/10/1972,Wuppertaler SV,Bayern München,1,1,5
04/10/1972,Bor. Mönchengladbach,Fortuna Düsseldorf,2,3,5
04/10/1972,Hertha BSC,Rot-Weiß Oberhausen,3,1,5
04/10/1972,MSV Duisburg,Hannover 96,3,1,5
04/10/1972,Eintracht Braunschweig,Werder Bremen,1,0,5
04/10/1972,FC Schalke 04,Kickers Offenbach,6,1,5
04/10/1972,VfB Stuttgart,1. FC Kaiserslautern,3,1,5
07/10/1972,1. FC Köln,Eintracht Braunschweig,4,3,6
07/10/1972,Werder Bremen,Hertha BSC,1,1,6
07/10/1972,1. FC Kaiserslautern,MSV Duisburg,0,0,6
07/10/1972,Rot-Weiß Oberhausen,Wuppertaler SV,2,1,6
07/10/1972,VfL Bochum,Bor. Mönchengladbach,3,0,6
07/10/1972,Kickers Offenbach,Eintracht Frankfurt,3,2,6
07/10/1972,Fortuna Düsseldorf,VfB Stuttgart,6,1,6
07/10/1972,Bayern München,FC Schalke 04,5,0,6
07/10/1972,Hannover 96,Hamburger SV,3,2,6
14/10/1972,Eintracht Frankfurt,Bayern München,2,1,7
14/10/1972,MSV Duisburg,Fortuna Düsseldorf,0,0,7
14/10/1972,VfB Stuttgart,VfL Bochum,4,0,7
14/10/1972,Bor. Mönchengladbach,Kickers Offenbach,3,2,7
14/10/1972,FC Schalke 04,Rot-Weiß Oberhausen,3,0,7
14/10/1972,Wuppertaler SV,Werder Bremen,1,1,7
14/10/1972,Hamburger SV,1. FC Kaiserslautern,2,2,7
14/10/1972,Hertha BSC,Eintracht Braunschweig,3,0,7
14/10/1972,Hannover 96,1. FC Köln,0,0,7
21/10/1972,Kickers Offenbach,VfB Stuttgart,1,3,8
21/10/1972,Rot-Weiß Oberhausen,Eintracht Frankfurt,1,0,8
21/10/1972,Bayern München,Bor. Mönchengladbach,3,0,8
21/10/1972,VfL Bochum,MSV Duisburg,2,1,8
21/10/1972,Werder Bremen,FC Schalke 04,2,0,8
21/10/1972,1. FC Kaiserslautern,Hannover 96,2,1,8
21/10/1972,1. FC Köln,Hertha BSC,4,0,8
21/10/1972,Fortuna Düsseldorf,Hamburger SV,2,2,8
