Date,HomeTeam,AwayTeam,FTHG,FTAG,round
11/08/1979,Werder Bremen,Bayer 05 Uerdingen,1,0,1
11/08/1979,1. FC Köln,TSV 1860 München,2,1,1
11/08/1979,Eintracht Frankfurt,Borussia Dortmund,0,1,1
11/08/1979,1. FC Kaiserslautern,Fortuna Düsseldorf,4,0,1
11/08/1979,MSV Duisburg,VfB Stuttgart,1,1,1
11/08/1979,Hertha BSC,Eintracht Braunschweig,0,0,1
11/08/1979,Bayern München,SV Bayer 04 Leverkusen,3,1,1
11/08/1979,Bor. Mönchengladbach,FC Schalke 04,1,1,1
11/08/1979,VfL Bochum,Hamburger SV,0,3,1
18/08/1979,Hamburger SV,Bor. Mönchengladbach,3,0,2
18/08/1979,SV Bayer 04 Leverkusen,Hertha BSC,2,1,2
18/08/1979,Eintracht Braunschweig,MSV Duisburg,2,0,2
18/08/1979,VfB Stuttgart,1. FC Kaiserslautern,3,1,2
18/08/1979,Fortuna Düsseldorf,Eintracht Frankfurt,1,3,2
18/08/1979,Borussia Dortmund,1. FC Köln,3,1,2
18/08/1979,TSV 1860 München,Werder Bremen,4,1,2
18/08/1979,Bayer 05 Uerdingen,VfL Bochum,1,0,2
18/08/1979,FC Schalke 04,Bayern München,1,1,2
28/08/1979,Werder Bremen,Borussia Dortmund,2,1,3
28/08/1979,Eintracht Frankfurt,VfB Stuttgart,2,0,3
28/08/1979,1. FC Kaiserslautern,Eintracht Braunschweig,2,0,3
28/08/1979,MSV Duisburg,SV Bayer 04 Leverkusen,5,0,3
28/08/1979,Hertha BSC,FC Schalke 04,0,2,3
28/08/1979,Bayern München,Hamburger SV,1,1,3
28/08/1979,VfL Bochum,Bor. Mönchengladbach,0,0,3
29/08/1979,1. FC Köln,Fortuna Düsseldorf,1,1,3
29/08/1979,Bayer 05 Uerdingen,TSV 1860 München,1,0,3
01/09/1979,Hamburger SV,Hertha BSC,5,1,4
01/09/1979,SV Bayer 04 Leverkusen,1. FC Kaiserslautern,3,1,4
01/09/1979,Eintracht Braunschweig,Eintracht Frankfurt,2,3,4
01/09/1979,VfB Stuttgart,1. FC Köln,3,0,4
01/09/1979,Fortuna Düsseldorf,Werder Bremen,4,1,4
01/09/1979,Borussia Dortmund,Bayer 05 Uerdingen,3,1,4
01/09/1979,TSV 1860 München,VfL Bochum,1,0,4
01/09/1979,FC Schalke 04,MSV Duisburg,1,2,4
05/09/1979,Bor. Mönchengladbach,Bayern München,2,1,4
07/09/1979,MSV Duisburg,Hamburger SV,3,0,5
08/09/1979,Werder Bremen,VfB Stuttgart,2,3,5
08/09/1979,1. FC Köln,Eintracht Braunschweig,8,0,5
08/09/1979,Eintracht Frankfurt,SV Bayer 04 Leverkusen,3,0,5
08/09/1979,1. FC Kaiserslautern,FC Schalke 04,2,2,5
08/09/1979,Hertha BSC,Bor. Mönchengladbach,3,1,5
08/09/1979,TSV 1860 München,Borussia Dortmund,0,2,5
08/09/1979,Bayer 05 Uerdingen,Fortuna Düsseldorf,3,1,5
08/09/1979,VfL Bochum,Bayern München,0,1,5
15/09/1979,Hamburger SV,1. FC Kaiserslautern,1,0,6
15/09/1979,SV Bayer 04 Leverkusen,1. FC Köln,1,1,6
15/09/1979,Eintracht Braunschweig,Werder Bremen,1,2,6
15/09/1979,VfB Stuttgart,Bayer 05 Uerdingen,2,0,6
15/09/1979,Fortuna Düsseldorf,TSV 1860 München,4,0,6
15/09/1979,Borussia Dortmund,VfL Bochum,2,2,6
15/09/1979,Bayern München,Hertha BSC,1,1,6
15/09/1979,Bor. Mönchengladbach,MSV Duisburg,6,0,6
15/09/1979,FC Schalke 04,Eintracht Frankfurt,1,0,6
21/09/1979,Werder Bremen,SV Bayer 04 Leverkusen,1,1,7
22/09/1979,1. FC Köln,FC Schalke 04,3,1,7
22/09/1979,Eintracht Frankfurt,Hamburger SV,3,2,7
22/09/1979,1. FC Kaiserslautern,Bor. Mönchengladbach,4,2,7
22/09/1979,MSV Duisburg,Bayern München,1,2,7
22/09/1979,Borussia Dortmund,Fortuna Düsseldorf,5,3,7
22/09/1979,TSV 1860 München,VfB Stuttgart,1,1,7
22/09/1979,Bayer 05 Uerdingen,Eintracht Braunschweig,2,1,7
22/09/1979,VfL Bochum,Hertha BSC,2,1,7
05/10/1979,SV Bayer 04 Leverkusen,Bayer 05 Uerdingen,1,1,8
05/10/1979,Hertha BSC,MSV Duisburg,0,1,8
06/10/1979,Hamburger SV,1. FC Köln,3,0,8
06/10/1979,Eintracht Braunschweig,TSV 1860 München,0,0,8
06/10/1979,VfB Stuttgart,Borussia Dortmund,1,2,8
06/10/1979,Fortuna Düsseldorf,VfL Bochum,1,4,8
06/10/1979,Bayern München,1. FC Kaiserslautern,2,0,8
06/10/1979,Bor. Mönchengladbach,Eintracht Frankfurt,4,1,8
06/10/1979,FC Schalke 04,Werder Bremen,3,0,8
19/10/1979,Borussia Dortmund,Eintracht Braunschweig,2,0,9
20/10/1979,Werder Bremen,Hamburger SV,1,1,9
20/10/1979,1. FC Köln,Bor. Mönchengladbach,4,4,9
20/10/1979,Eintracht Frankfurt,Bayern München,3,2,9
20/10/1979,1. FC Kaiserslautern,Hertha BSC,4,0,9
20/10/1979,Fortuna Düsseldorf,VfB Stuttgart,6,2,9
20/10/1979,TSV 1860 München,SV Bayer 04 Leverkusen,2,2,9
20/10/1979,Bayer 05 Uerdingen,FC Schalke 04,1,4,9
20/10/1979,VfL Bochum,MSV Duisburg,3,0,9
26/10/1979,SV Bayer 04 Leverkusen,Borussia Dortmund,2,1,10
27/10/1979,Hamburger SV,Bayer 05 Uerdingen,2,2,10
27/10/1979,Eintracht Braunschweig,Fortuna Düsseldorf,2,3,10
27/10/1979,VfB Stuttgart,VfL Bochum,1,3,10
27/10/1979,MSV Duisburg,1. FC Kaiserslautern,1,1,10
27/10/1979,Hertha BSC,Eintracht Frankfurt,1,0,10
27/10/1979,Bayern München,1. FC Köln,1,2,10
27/10/1979,Bor. Mönchengladbach,Werder Bremen,2,1,10
27/10/1979,FC Schalke 04,TSV 1860 München,3,0,10
02/11/1979,VfL Bochum,1. FC Kaiserslautern,0,0,11
03/11/1979,Werder Bremen,Bayern München,1,4,11
03/11/1979,1. FC Köln,Hertha BSC,2,2,11
03/11/1979,Eintracht Frankfurt,MSV Duisburg,6,0,11
03/11/1979,VfB Stuttgart,Eintracht Braunschweig,2,0,11
03/11/1979,Fortuna Düsseldorf,SV Bayer 04 Leverkusen,1,1,11
03/11/1979,Borussia Dortmund,FC Schalke 04,2,1,11
03/11/1979,TSV 1860 München,Hamburger SV,0,2,11
03/11/1979,Bayer 05 Uerdingen,Bor. Mönchengladbach,0,1,11
10/11/1979,SV Bayer 04 Leverkusen,VfB Stuttgart,1,3,12
10/11/1979,Hamburger SV,Borussia Dortmund,4,0,12
10/11/1979,Eintracht Braunschweig,VfL Bochum,3,0,12
10/11/1979,1. FC Kaiserslautern,Eintracht Frankfurt,0,1,12
10/11/1979,MSV Duisburg,1. FC Köln,0,2,12
10/11/1979,Hertha BSC,Werder Bremen,0,0,12
10/11/1979,Bayern München,Bayer 05 Uerdingen,3,0,12
10/11/1979,Bor. Mönchengladbach,TSV 1860 München,1,1,12
10/11/1979,FC Schalke 04,Fortuna Düsseldorf,2,2,12
16/11/1979,Werder Bremen,MSV Duisburg,2,1,13
16/11/1979,Borussia Dortmund,Bor. Mönchengladbach,1,1,13
17/11/1979,1. FC Köln,1. FC Kaiserslautern,2,0,13
17/11/1979,Eintracht Braunschweig,SV Bayer 04 Leverkusen,3,1,13
17/11/1979,VfB Stuttgart,FC Schalke 04,0,0,13
17/11/1979,Fortuna Düsseldorf,Hamburger SV,1,1,13
17/11/1979,TSV 1860 München,Bayern München,1,2,13
17/11/1979,Bayer 05 Uerdingen,Hertha BSC,3,1,13
17/11/1979,VfL Bochum,Eintracht Frankfurt,1,0,13
