Date,HomeTeam,AwayTeam,FTHG,FTAG,round
15/08/1970,Rot-Weiss Essen,Hannover 96,2,0,1
15/08/1970,Werder Bremen,1. FC Köln,1,1,1
15/08/1970,VfB Stuttgart,Bayern München,1,1,1
15/08/1970,Hertha BSC,1. FC Kaiserslautern,5,3,1
15/08/1970,Bor. Mönchengladbach,Kickers Offenbach,2,0,1
15/08/1970,MSV Duisburg,Rot-Weiß Oberhausen,2,2,1
15/08/1970,Borussia Dortmund,Arminia Bielefeld,3,0,1
15/08/1970,Eintracht Braunschweig,FC Schalke 04,3,3,1
15/08/1970,Eintracht Frankfurt,Hamburger SV,0,0,1
22/08/1970,1. FC Köln,Eintracht Braunschweig,3,1,2
22/08/1970,FC Schalke 04,MSV Duisburg,1,0,2
22/08/1970,Arminia Bielefeld,Rot-Weiss Essen,0,0,2
22/08/1970,Rot-Weiß Oberhausen,VfB Stuttgart,1,2,2
22/08/1970,1. FC Kaiserslautern,Borussia Dortmund,1,0,2
22/08/1970,Hamburger SV,Bor. Mönchengladbach,2,2,2
22/08/1970,Kickers Offenbach,Werder Bremen,2,1,2
22/08/1970,Bayern München,Hertha BSC,1,0,2
22/08/1970,Hannover 96,Eintracht Frankfurt,1,2,2
28/08/1970,Borussia Dortmund,Bayern München,0,0,3
28/08/1970,Eintracht Frankfurt,Arminia Bielefeld,1,1,3
28/08/1970,Eintracht Braunschweig,Werder Bremen,1,0,3
28/08/1970,Bor. Mönchengladbach,Hannover 96,0,0,3
28/08/1970,Rot-Weiss Essen,1. FC Kaiserslautern,4,0,3
28/08/1970,VfB Stuttgart,FC Schalke 04,1,1,3
28/08/1970,Hertha BSC,Rot-Weiß Oberhausen,3,1,3
28/10/1970,Hamburger SV,Kickers Offenbach,3,2,3
28/10/1970,MSV Duisburg,1. FC Köln,0,0,3
04/09/1970,1. FC Kaiserslautern,Eintracht Frankfurt,2,0,4
04/09/1970,Kickers Offenbach,Eintracht Braunschweig,0,2,4
05/09/1970,Werder Bremen,MSV Duisburg,0,2,4
05/09/1970,Hannover 96,Hamburger SV,0,3,4
05/09/1970,Bayern München,Rot-Weiss Essen,2,2,4
05/09/1970,Arminia Bielefeld,Bor. Mönchengladbach,0,2,4
05/09/1970,1. FC Köln,VfB Stuttgart,2,1,4
05/09/1970,FC Schalke 04,Hertha BSC,0,1,4
05/09/1970,Rot-Weiß Oberhausen,Borussia Dortmund,0,1,4
11/09/1970,VfB Stuttgart,Werder Bremen,3,0,5
11/09/1970,MSV Duisburg,Eintracht Braunschweig,0,0,5
12/09/1970,Hannover 96,Kickers Offenbach,1,1,5
12/09/1970,Hamburger SV,Arminia Bielefeld,3,2,5
12/09/1970,Hertha BSC,1. FC Köln,3,2,5
12/09/1970,Eintracht Frankfurt,Bayern München,0,1,5
12/09/1970,Rot-Weiss Essen,Rot-Weiß Oberhausen,3,3,5
12/09/1970,Borussia Dortmund,FC Schalke 04,1,2,5
12/09/1970,Bor. Mönchengladbach,1. FC Kaiserslautern,5,0,5
19/09/1970,1. FC Köln,Borussia Dortmund,2,2,6
19/09/1970,Bayern München,Bor. Mönchengladbach,2,2,6
19/09/1970,FC Schalke 04,Rot-Weiss Essen,4,1,6
19/09/1970,Rot-Weiß Oberhausen,Eintracht Frankfurt,0,0,6
19/09/1970,Werder Bremen,Hertha BSC,0,0,6
19/09/1970,Kickers Offenbach,MSV Duisburg,2,0,6
19/09/1970,1. FC Kaiserslautern,Hamburger SV,2,0,6
19/09/1970,Eintracht Braunschweig,VfB Stuttgart,4,0,6
