Date,HomeTeam,AwayTeam,FTHG,FTAG,round
22/07/1988,Borussia Dortmund,VfB Stuttgart,1,2,1
22/07/1988,Waldhof Mannheim,Bayer Leverkusen,1,1,1
23/07/1988,1. FC Köln,Bayer 05 Uerdingen,1,1,1
23/07/1988,FC St. Pauli,1. FC Nürnberg,0,1,1
23/07/1988,Stuttgarter Kickers,VfL Bochum,1,2,1
23/07/1988,Bayern München,Eintracht Frankfurt,3,0,1
23/07/1988,Hannover 96,Karlsruher SC,2,3,1
23/07/1988,Werder Bremen,Hamburger SV,2,1,1
23/07/1988,Bor. Mönchengladbach,1. FC Kaiserslautern,4,1,1
29/07/1988,Hamburger SV,Borussia Dortmund,0,0,2
29/07/1988,VfB Stuttgart,Hannover 96,2,1,2
30/07/1988,Bayer Leverkusen,Bor. Mönchengladbach,3,1,2
30/07/1988,Karlsruher SC,Bayern München,2,2,2
30/07/1988,Eintracht Frankfurt,Stuttgarter Kickers,1,2,2
30/07/1988,VfL Bochum,FC St. Pauli,0,0,2
30/07/1988,1. FC Nürnberg,1. FC Köln,0,2,2
30/07/1988,Bayer 05 Uerdingen,Waldhof Mannheim,0,0,2
30/07/1988,1. FC Kaiserslautern,Werder Bremen,0,0,2
12/08/1988,Borussia Dortmund,1. FC Kaiserslautern,1,1,3
13/08/1988,FC St. Pauli,Eintracht Frankfurt,2,0,3
13/08/1988,Stuttgarter Kickers,Karlsruher SC,1,3,3
13/08/1988,Hannover 96,Hamburger SV,2,3,3
13/08/1988,Werder Bremen,Bayer Leverkusen,3,1,3
13/08/1988,Bayer 05 Uerdingen,1. FC Nürnberg,3,2,3
13/08/1988,Waldhof Mannheim,Bor. Mönchengladbach,4,1,3
16/08/1988,1. FC Köln,VfL Bochum,1,0,3
15/11/1988,Bayern München,VfB Stuttgart,3,3,3
19/08/1988,Karlsruher SC,FC St. Pauli,3,1,4
19/08/1988,Eintracht Frankfurt,1. FC Köln,1,0,4
20/08/1988,Bayer Leverkusen,Borussia Dortmund,2,0,4
20/08/1988,Hamburger SV,Bayern München,0,1,4
20/08/1988,VfB Stuttgart,Stuttgarter Kickers,4,0,4
20/08/1988,VfL Bochum,Bayer 05 Uerdingen,1,1,4
20/08/1988,1. FC Nürnberg,Waldhof Mannheim,1,0,4
20/08/1988,Bor. Mönchengladbach,Werder Bremen,4,1,4
20/08/1988,1. FC Kaiserslautern,Hannover 96,0,0,4
26/08/1988,FC St. Pauli,VfB Stuttgart,2,1,5
26/08/1988,Bayer 05 Uerdingen,Eintracht Frankfurt,4,1,5
27/08/1988,1. FC Köln,Karlsruher SC,6,1,5
27/08/1988,Stuttgarter Kickers,Hamburger SV,2,0,5
27/08/1988,Bayern München,1. FC Kaiserslautern,5,1,5
27/08/1988,Hannover 96,Bayer Leverkusen,2,2,5
27/08/1988,Borussia Dortmund,Bor. Mönchengladbach,0,0,5
27/08/1988,1. FC Nürnberg,VfL Bochum,3,1,5
27/08/1988,Waldhof Mannheim,Werder Bremen,1,1,5
02/09/1988,Bor. Mönchengladbach,Hannover 96,2,0,6
03/09/1988,Bayer Leverkusen,Bayern München,1,1,6
03/09/1988,Hamburger SV,FC St. Pauli,1,1,6
03/09/1988,VfB Stuttgart,1. FC Köln,2,0,6
03/09/1988,Karlsruher SC,Bayer 05 Uerdingen,0,1,6
03/09/1988,Eintracht Frankfurt,1. FC Nürnberg,1,0,6
03/09/1988,VfL Bochum,Waldhof Mannheim,2,2,6
03/09/1988,1. FC Kaiserslautern,Stuttgarter Kickers,6,0,6
29/11/1988,Werder Bremen,Borussia Dortmund,2,0,6
09/09/1988,FC St. Pauli,1. FC Kaiserslautern,1,1,7
10/09/1988,1. FC Köln,Hamburger SV,1,2,7
10/09/1988,Stuttgarter Kickers,Bayer Leverkusen,1,3,7
10/09/1988,Bayern München,Bor. Mönchengladbach,3,0,7
10/09/1988,Hannover 96,Werder Bremen,2,2,7
10/09/1988,VfL Bochum,Eintracht Frankfurt,1,0,7
10/09/1988,1. FC Nürnberg,Karlsruher SC,1,3,7
10/09/1988,Bayer 05 Uerdingen,VfB Stuttgart,0,0,7
