Date,HomeTeam,AwayTeam,FTHG,FTAG,round
18/08/1967,MSV Duisburg,Borussia Dortmund,2,2,1
19/08/1967,TSV 1860 München,Eintracht Braunschweig,1,0,1
19/08/1967,FC Schalke 04,Bor. Mönchengladbach,3,4,1
19/08/1967,VfB Stuttgart,Frankfurter SG Eintracht,4,0,1
19/08/1967,Alemannia Aachen,Bayern München,0,4,1
19/08/1967,1. FC Nürnberg,Karlsruher SC,2,0,1
19/08/1967,Hannover 96,1. FC Köln,3,0,1
19/08/1967,1. FC Kaiserslautern,Borussia Neunkirchen,2,1,1
19/08/1967,Werder Bremen,Hamburger SV,1,4,1
26/08/1967,Frankfurter SG Eintracht,Werder Bremen,5,3,2
26/08/1967,Karlsruher SC,MSV Duisburg,0,2,2
26/08/1967,Borussia Neunkirchen,1. FC Nürnberg,2,2,2
26/08/1967,Eintracht Braunschweig,FC Schalke 04,1,0,2
26/08/1967,Hamburger SV,1. FC Kaiserslautern,1,1,2
26/08/1967,1. FC Köln,TSV 1860 München,1,0,2
26/08/1967,Bayern München,Hannover 96,1,0,2
26/08/1967,Bor. Mönchengladbach,VfB Stuttgart,1,1,2
26/08/1967,Borussia Dortmund,Alemannia Aachen,1,0,2
02/09/1967,MSV Duisburg,Borussia Neunkirchen,3,1,3
02/09/1967,VfB Stuttgart,Eintracht Braunschweig,0,0,3
02/09/1967,Hannover 96,Borussia Dortmund,2,2,3
02/09/1967,Werder Bremen,Bor. Mönchengladbach,0,4,3
02/09/1967,1. FC Kaiserslautern,Frankfurter SG Eintracht,1,1,3
02/09/1967,1. FC Nürnberg,Hamburger SV,4,0,3
02/09/1967,Alemannia Aachen,Karlsruher SC,2,1,3
02/09/1967,FC Schalke 04,TSV 1860 München,0,0,3
02/09/1967,Bayern München,1. FC Köln,0,3,3
09/09/1967,Borussia Neunkirchen,Alemannia Aachen,0,1,4
09/09/1967,Eintracht Braunschweig,Werder Bremen,0,3,4
09/09/1967,1. FC Köln,FC Schalke 04,7,0,4
09/09/1967,TSV 1860 München,VfB Stuttgart,3,3,4
09/09/1967,Frankfurter SG Eintracht,1. FC Nürnberg,1,2,4
09/09/1967,Hamburger SV,MSV Duisburg,1,3,4
09/09/1967,Bor. Mönchengladbach,1. FC Kaiserslautern,8,2,4
09/09/1967,Karlsruher SC,Hannover 96,3,1,4
09/09/1967,Borussia Dortmund,Bayern München,6,3,4
13/09/1967,Borussia Dortmund,1. FC Köln,2,0,5
13/09/1967,1. FC Kaiserslautern,Eintracht Braunschweig,2,2,5
13/09/1967,Hannover 96,Borussia Neunkirchen,2,0,5
13/09/1967,1. FC Nürnberg,Bor. Mönchengladbach,1,0,5
13/09/1967,MSV Duisburg,Frankfurter SG Eintracht,0,1,5
13/09/1967,Alemannia Aachen,Hamburger SV,2,0,5
13/09/1967,Werder Bremen,TSV 1860 München,2,2,5
13/09/1967,Bayern München,Karlsruher SC,3,0,5
13/09/1967,VfB Stuttgart,FC Schalke 04,2,0,5
16/09/1967,Bor. Mönchengladbach,MSV Duisburg,1,1,6
16/09/1967,1. FC Köln,VfB Stuttgart,2,2,6
16/09/1967,Karlsruher SC,Borussia Dortmund,2,0,6
16/09/1967,FC Schalke 04,Werder Bremen,0,2,6
16/09/1967,Borussia Neunkirchen,Bayern München,1,1,6
16/09/1967,TSV 1860 München,1. FC Kaiserslautern,0,3,6
16/09/1967,Frankfurter SG Eintracht,Alemannia Aachen,1,1,6
16/09/1967,Hamburger SV,Hannover 96,2,3,6
16/09/1967,Eintracht Braunschweig,1. FC Nürnberg,0,3,6
22/09/1967,MSV Duisburg,Eintracht Braunschweig,2,3,7
23/09/1967,Borussia Dortmund,Borussia Neunkirchen,6,0,7
23/09/1967,Karlsruher SC,1. FC Köln,0,1,7
23/09/1967,Werder Bremen,VfB Stuttgart,3,1,7
23/09/1967,1. FC Kaiserslautern,FC Schalke 04,1,0,7
23/09/1967,Bayern München,Hamburger SV,1,0,7
23/09/1967,1. FC Nürnberg,TSV 1860 München,1,1,7
23/09/1967,Alemannia Aachen,Bor. Mönchengladbach,0,0,7
23/09/1967,Hannover 96,Frankfurter SG Eintracht,2,1,7
30/09/1967,TSV 1860 München,MSV Duisburg,0,1,8
30/09/1967,1. FC Köln,Werder Bremen,1,4,8
30/09/1967,Borussia Neunkirchen,Karlsruher SC,3,2,8
30/09/1967,Hamburger SV,Borussia Dortmund,3,2,8
30/09/1967,FC Schalke 04,1. FC Nürnberg,0,0,8
30/09/1967,Frankfurter SG Eintracht,Bayern München,2,3,8
30/09/1967,Bor. Mönchengladbach,Hannover 96,5,1,8
30/09/1967,Eintracht Braunschweig,Alemannia Aachen,2,0,8
06/10/1967,VfB Stuttgart,1. FC Kaiserslautern,0,1,8
14/10/1967,Bayern München,Bor. Mönchengladbach,3,1,9
14/10/1967,MSV Duisburg,FC Schalke 04,1,1,9
14/10/1967,Hannover 96,Eintracht Braunschweig,1,1,9
14/10/1967,Borussia Dortmund,Frankfurter SG Eintracht,2,1,9
14/10/1967,1. FC Nürnberg,VfB Stuttgart,5,1,9
14/10/1967,Karlsruher SC,Hamburger SV,2,1,9
14/10/1967,1. FC Kaiserslautern,Werder Bremen,2,2,9
14/10/1967,Borussia Neunkirchen,1. FC Köln,2,1,9
14/10/1967,Alemannia Aachen,TSV 1860 München,3,3,9
21/10/1967,Werder Bremen,1. FC Nürnberg,0,4,10
21/10/1967,TSV 1860 München,Hannover 96,3,1,10
21/10/1967,Eintracht Braunschweig,Bayern München,1,0,10
21/10/1967,1. FC Köln,1. FC Kaiserslautern,5,0,10
21/10/1967,Hamburger SV,Borussia Neunkirchen,0,0,10
21/10/1967,Frankfurter SG Eintracht,Karlsruher SC,2,0,10
21/10/1967,VfB Stuttgart,MSV Duisburg,3,0,10
21/10/1967,Bor. Mönchengladbach,Borussia Dortmund,2,2,10
21/10/1967,FC Schalke 04,Alemannia Aachen,2,1,10
28/10/1967,Bayern München,TSV 1860 München,2,2,11
28/10/1967,Borussia Dortmund,Eintracht Braunschweig,0,1,11
28/10/1967,Hannover 96,FC Schalke 04,2,1,11
28/10/1967,Karlsruher SC,Bor. Mönchengladbach,3,2,11
28/10/1967,MSV Duisburg,Werder Bremen,1,1,11
28/10/1967,Borussia Neunkirchen,Frankfurter SG Eintracht,2,2,11
28/10/1967,1. FC Nürnberg,1. FC Kaiserslautern,4,1,11
28/10/1967,Hamburger SV,1. FC Köln,3,1,11
28/10/1967,Alemannia Aachen,VfB Stuttgart,3,2,11
04/11/1967,FC Schalke 04,Bayern München,0,1,12
04/11/1967,Frankfurter SG Eintracht,Hamburger SV,1,1,12
04/11/1967,Eintracht Braunschweig,Karlsruher SC,1,0,12
04/11/1967,Bor. Mönchengladbach,Borussia Neunkirchen,10,0,12
04/11/1967,VfB Stuttgart,Hannover 96,2,0,12
04/11/1967,1. FC Kaiserslautern,MSV Duisburg,0,1,12
04/11/1967,TSV 1860 München,Borussia Dortmund,3,0,12
04/11/1967,Werder Bremen,Alemannia Aachen,0,1,12
04/11/1967,1. FC Köln,1. FC Nürnberg,3,3,12
11/11/1967,Borussia Neunkirchen,Eintracht Braunschweig,1,2,13
11/11/1967,Hamburger SV,Bor. Mönchengladbach,2,3,13
11/11/1967,Borussia Dortmund,FC Schalke 04,2,1,13
11/11/1967,Bayern München,VfB Stuttgart,3,1,13
11/11/1967,Karlsruher SC,TSV 1860 München,0,3,13
11/11/1967,Alemannia Aachen,1. FC Kaiserslautern,1,1,13
11/11/1967,MSV Duisburg,1. FC Nürnberg,2,0,13
11/11/1967,Hannover 96,Werder Bremen,4,2,13
11/11/1967,Frankfurter SG Eintracht,1. FC Köln,1,2,13
