Date,HomeTeam,AwayTeam,FTHG,FTAG,round
20/08/1966,1. FC Köln,TSV 1860 München,2,0,1
20/08/1966,Borussia Dortmund,Fortuna Düsseldorf,1,2,1
20/08/1966,Eintracht Braunschweig,Werder Bremen,2,0,1
20/08/1966,Hamburger SV,Hannover 96,2,1,1
20/08/1966,VfB Stuttgart,1. FC Nürnberg,1,0,1
20/08/1966,1. FC Kaiserslautern,Karlsruher SC,3,1,1
20/08/1966,Meidericher SV,Rot-Weiss Essen,2,0,1
20/08/1966,FC Schalke 04,Bor. Mönchengladbach,0,0,1
20/08/1966,Bayern München,Frankfurter SG Eintracht,1,2,1
27/08/1966,TSV 1860 München,Eintracht Braunschweig,2,1,2
27/08/1966,Fortuna Düsseldorf,Bayern München,0,0,2
27/08/1966,Hannover 96,Borussia Dortmund,2,0,2
27/08/1966,Werder Bremen,VfB Stuttgart,1,2,2
27/08/1966,1. FC Nürnberg,Meidericher SV,3,1,2
27/08/1966,Bor. Mönchengladbach,1. FC Kaiserslautern,1,1,2
27/08/1966,Rot-Weiss Essen,FC Schalke 04,4,1,2
27/08/1966,Frankfurter SG Eintracht,1. FC Köln,4,0,2
27/08/1966,Karlsruher SC,Hamburger SV,1,1,2
03/09/1966,VfB Stuttgart,TSV 1860 München,2,0,3
03/09/1966,Bayern München,Hannover 96,0,0,3
03/09/1966,Meidericher SV,Werder Bremen,1,0,3
03/09/1966,Hamburger SV,Bor. Mönchengladbach,2,0,3
03/09/1966,FC Schalke 04,1. FC Nürnberg,1,0,3
03/09/1966,1. FC Kaiserslautern,Rot-Weiss Essen,5,2,3
03/09/1966,Borussia Dortmund,Karlsruher SC,2,1,3
03/09/1966,Eintracht Braunschweig,1. FC Köln,1,0,3
03/09/1966,Fortuna Düsseldorf,Frankfurter SG Eintracht,2,4,3
07/09/1966,Frankfurter SG Eintracht,Eintracht Braunschweig,0,1,4
10/09/1966,TSV 1860 München,Meidericher SV,3,3,4
10/09/1966,Karlsruher SC,Bayern München,1,6,4
10/09/1966,Rot-Weiss Essen,Hamburger SV,1,1,4
10/09/1966,Werder Bremen,FC Schalke 04,2,1,4
10/09/1966,Bor. Mönchengladbach,Borussia Dortmund,4,0,4
10/09/1966,1. FC Köln,VfB Stuttgart,3,1,4
10/09/1966,Hannover 96,Fortuna Düsseldorf,0,2,4
10/09/1966,1. FC Nürnberg,1. FC Kaiserslautern,1,2,4
17/09/1966,FC Schalke 04,TSV 1860 München,1,0,5
17/09/1966,Bayern München,Bor. Mönchengladbach,4,3,5
17/09/1966,1. FC Kaiserslautern,Werder Bremen,2,0,5
17/09/1966,Hamburger SV,1. FC Nürnberg,0,1,5
17/09/1966,Borussia Dortmund,Rot-Weiss Essen,0,0,5
17/09/1966,Meidericher SV,1. FC Köln,1,0,5
17/09/1966,Fortuna Düsseldorf,Karlsruher SC,1,0,5
17/09/1966,VfB Stuttgart,Eintracht Braunschweig,1,2,5
17/09/1966,Hannover 96,Frankfurter SG Eintracht,2,1,5
24/09/1966,TSV 1860 München,1. FC Kaiserslautern,3,0,6
24/09/1966,Rot-Weiss Essen,Bayern München,3,1,6
24/09/1966,Werder Bremen,Hamburger SV,5,1,6
24/09/1966,1. FC Nürnberg,Borussia Dortmund,2,0,6
24/09/1966,1. FC Köln,FC Schalke 04,2,1,6
24/09/1966,Bor. Mönchengladbach,Fortuna Düsseldorf,3,1,6
