Date,HomeTeam,AwayTeam,FTHG,FTAG,round
16/08/1969,Alemannia Aachen,TSV 1860 München,0,0,1
16/08/1969,FC Schalke 04,Bor. Mönchengladbach,2,0,1
16/08/1969,Hertha BSC,MSV Duisburg,1,0,1
16/08/1969,Rot-Weiß Oberhausen,Eintracht Frankfurt,3,1,1
16/08/1969,VfB Stuttgart,Werder Bremen,1,1,1
16/08/1969,Hamburger SV,1. FC Kaiserslautern,2,1,1
16/08/1969,1. FC Köln,Eintracht Braunschweig,3,2,1
16/08/1969,Hannover 96,Borussia Dortmund,4,2,1
16/08/1969,Bayern München,Rot-Weiss Essen,4,0,1
22/08/1969,Eintracht Frankfurt,FC Schalke 04,2,1,2
23/08/1969,Rot-Weiss Essen,Alemannia Aachen,2,0,2
23/08/1969,TSV 1860 München,Hertha BSC,2,0,2
23/08/1969,Bor. Mönchengladbach,Bayern München,2,1,2
23/08/1969,1. FC Kaiserslautern,Rot-Weiß Oberhausen,0,0,2
23/08/1969,MSV Duisburg,VfB Stuttgart,1,1,2
23/08/1969,Eintracht Braunschweig,Hannover 96,1,1,2
23/08/1969,Borussia Dortmund,Hamburger SV,2,1,2
23/08/1969,Werder Bremen,1. FC Köln,2,1,2
27/08/1969,Bayern München,Eintracht Frankfurt,2,1,3
29/08/1969,1. FC Köln,MSV Duisburg,6,2,3
30/08/1969,VfB Stuttgart,TSV 1860 München,3,1,3
30/08/1969,Rot-Weiß Oberhausen,Borussia Dortmund,2,1,3
30/08/1969,Hannover 96,Werder Bremen,3,2,3
30/08/1969,Hamburger SV,Eintracht Braunschweig,3,3,3
30/08/1969,Bor. Mönchengladbach,Rot-Weiss Essen,2,1,3
30/08/1969,FC Schalke 04,1. FC Kaiserslautern,4,2,3
30/08/1969,Hertha BSC,Alemannia Aachen,2,1,3
05/09/1969,Eintracht Frankfurt,Bor. Mönchengladbach,1,2,4
05/09/1969,MSV Duisburg,Hannover 96,1,0,4
06/09/1969,1. FC Kaiserslautern,Bayern München,0,0,4
06/09/1969,TSV 1860 München,1. FC Köln,1,0,4
06/09/1969,Rot-Weiss Essen,Hertha BSC,5,2,4
06/09/1969,Eintracht Braunschweig,Rot-Weiß Oberhausen,0,4,4
06/09/1969,Werder Bremen,Hamburger SV,1,1,4
06/09/1969,Alemannia Aachen,VfB Stuttgart,4,2,4
06/09/1969,Borussia Dortmund,FC Schalke 04,1,1,4
12/09/1969,Eintracht Frankfurt,Rot-Weiss Essen,2,1,5
12/09/1969,Bor. Mönchengladbach,1. FC Kaiserslautern,1,1,5
12/09/1969,Bayern München,Borussia Dortmund,3,0,5
13/09/1969,Hamburger SV,MSV Duisburg,4,1,5
13/09/1969,Rot-Weiß Oberhausen,Werder Bremen,3,1,5
13/09/1969,FC Schalke 04,Eintracht Braunschweig,1,1,5
13/09/1969,1. FC Köln,Alemannia Aachen,3,0,5
13/09/1969,Hannover 96,TSV 1860 München,3,1,5
13/09/1969,VfB Stuttgart,Hertha BSC,1,4,5
26/09/1969,Hertha BSC,1. FC Köln,1,0,6
26/09/1969,MSV Duisburg,Rot-Weiß Oberhausen,2,1,6
27/09/1969,TSV 1860 München,Hamburger SV,0,2,6
27/09/1969,Eintracht Braunschweig,Bayern München,0,4,6
27/09/1969,Werder Bremen,FC Schalke 04,0,1,6
27/09/1969,Alemannia Aachen,Hannover 96,1,1,6
