date,team1,team2,winner
"May 14, 2017",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 14, 2017",Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant
"May 13, 2017",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
"May 13, 2017",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 12, 2017",Delhi Capitals,Rising Pune Supergiant,Delhi Capitals
"May 11, 2017",Mumbai Indians,Punjab Kings,Punjab Kings
"May 10, 2017",Gujarat Lions,Delhi Capitals,Delhi Capitals
"May 09, 2017",Punjab Kings,Kolkata Knight Riders,Punjab Kings
"May 08, 2017",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
"May 07, 2017",Punjab Kings,Gujarat Lions,Gujarat Lions
"May 07, 2017",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
"May 06, 2017",Delhi Capitals,Mumbai Indians,Mumbai Indians
"May 06, 2017",Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant
"May 05, 2017",Royal Challengers Bangalore,Punjab Kings,Punjab Kings
"May 04, 2017",Delhi Capitals,Gujarat Lions,Delhi Capitals
"May 03, 2017",Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant
"May 02, 2017",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
"May 01, 2017",Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant
"May 01, 2017",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
"Apr 30, 2017",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
"Apr 30, 2017",Punjab Kings,Delhi Capitals,Punjab Kings
"Apr 29, 2017",Gujarat Lions,Mumbai Indians,Mumbai Indians
"Apr 29, 2017",Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant
"Apr 28, 2017",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 28, 2017",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
"Apr 27, 2017",Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions
"Apr 26, 2017",Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 24, 2017",Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
"Apr 23, 2017",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
"Apr 23, 2017",Gujarat Lions,Punjab Kings,Punjab Kings
"Apr 22, 2017",Mumbai Indians,Delhi Capitals,Mumbai Indians
"Apr 22, 2017",Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant
"Apr 21, 2017",Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
"Apr 20, 2017",Punjab Kings,Mumbai Indians,Mumbai Indians
"Apr 19, 2017",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
"Apr 18, 2017",Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 17, 2017",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
"Apr 17, 2017",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 16, 2017",Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant
"Apr 16, 2017",Mumbai Indians,Gujarat Lions,Mumbai Indians
"Apr 15, 2017",Delhi Capitals,Punjab Kings,Delhi Capitals
"Apr 15, 2017",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
"Apr 14, 2017",Gujarat Lions,Rising Pune Supergiant,Gujarat Lions
"Apr 14, 2017",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
"Apr 13, 2017",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
"Apr 12, 2017",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
"Apr 11, 2017",Rising Pune Supergiant,Delhi Capitals,Delhi Capitals
"Apr 10, 2017",Punjab Kings,Royal Challengers Bangalore,Punjab Kings
"Apr 09, 2017",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
"Apr 09, 2017",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
"Apr 08, 2017",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
"Apr 08, 2017",Punjab Kings,Rising Pune Supergiant,Punjab Kings
"Apr 07, 2017",Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 06, 2017",Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant
"Apr 05, 2017",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
