date,team1,team2,winner
"May 17, 2015",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
"May 16, 2015",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
"May 16, 2015",Punjab Kings,Chennai Super Kings,Chennai Super Kings
"May 15, 2015",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 14, 2015",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
"May 13, 2015",Punjab Kings,Royal Challengers Bangalore,Punjab Kings
"May 12, 2015",Delhi Capitals,Chennai Super Kings,Delhi Capitals
"May 11, 2015",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
"May 10, 2015",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
"May 10, 2015",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 09, 2015",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 09, 2015",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
"May 08, 2015",Chennai Super Kings,Mumbai Indians,Mumbai Indians
"May 07, 2015",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
"May 07, 2015",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 06, 2015",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore
"May 05, 2015",Mumbai Indians,Delhi Capitals,Mumbai Indians
"May 04, 2015",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
"May 04, 2015",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
"May 03, 2015",Rajasthan Royals,Delhi Capitals,Rajasthan Royals
"May 03, 2015",Punjab Kings,Mumbai Indians,Mumbai Indians
"May 02, 2015",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
"May 02, 2015",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
"May 01, 2015",Mumbai Indians,Rajasthan Royals,Mumbai Indians
"May 01, 2015",Delhi Capitals,Punjab Kings,Delhi Capitals
"Apr 30, 2015",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
"Apr 28, 2015",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
"Apr 27, 2015",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 26, 2015",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 25, 2015",Chennai Super Kings,Punjab Kings,Chennai Super Kings
"Apr 25, 2015",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
"Apr 24, 2015",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 23, 2015",Delhi Capitals,Mumbai Indians,Delhi Capitals
"Apr 22, 2015",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
"Apr 22, 2015",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
"Apr 21, 2015",Rajasthan Royals,Punjab Kings,Punjab Kings
"Apr 20, 2015",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 19, 2015",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
"Apr 19, 2015",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
"Apr 18, 2015",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 18, 2015",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
"Apr 17, 2015",Mumbai Indians,Chennai Super Kings,Chennai Super Kings
"Apr 16, 2015",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
"Apr 15, 2015",Punjab Kings,Delhi Capitals,Delhi Capitals
"Apr 14, 2015",Rajasthan Royals,Mumbai Indians,Rajasthan Royals
"Apr 13, 2015",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 12, 2015",Mumbai Indians,Punjab Kings,Punjab Kings
"Apr 12, 2015",Delhi Capitals,Rajasthan Royals,Rajasthan Royals
"Apr 11, 2015",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 11, 2015",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
"Apr 10, 2015",Punjab Kings,Rajasthan Royals,Rajasthan Royals
"Apr 09, 2015",Chennai Super Kings,Delhi Capitals,Chennai Super Kings
"Apr 08, 2015",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
