date,team1,team2,winner
"Nov 03, 2020",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
"Nov 02, 2020",Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
"Nov 01, 2020",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
"Nov 01, 2020",Chennai Super Kings,Punjab Kings,Chennai Super Kings
"Oct 31, 2020",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
"Oct 31, 2020",Delhi Capitals,Mumbai Indians,Mumbai Indians
"Oct 30, 2020",Punjab Kings,Rajasthan Royals,Rajasthan Royals
"Oct 29, 2020",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
"Oct 28, 2020",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
"Oct 27, 2020",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
"Oct 26, 2020",Kolkata Knight Riders,Punjab Kings,Punjab Kings
"Oct 25, 2020",Rajasthan Royals,Mumbai Indians,Rajasthan Royals
"Oct 25, 2020",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
"Oct 24, 2020",Punjab Kings,Sunrisers Hyderabad,Punjab Kings
"Oct 24, 2020",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
"Oct 23, 2020",Chennai Super Kings,Mumbai Indians,Mumbai Indians
"Oct 22, 2020",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
"Oct 21, 2020",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
"Oct 20, 2020",Punjab Kings,Delhi Capitals,Punjab Kings
"Oct 19, 2020",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
"Oct 18, 2020",Mumbai Indians,Punjab Kings,Punjab Kings
"Oct 18, 2020",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
"Oct 17, 2020",Delhi Capitals,Chennai Super Kings,Delhi Capitals
"Oct 17, 2020",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Oct 16, 2020",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
"Oct 15, 2020",Royal Challengers Bangalore,Punjab Kings,Punjab Kings
"Oct 14, 2020",Delhi Capitals,Rajasthan Royals,Delhi Capitals
"Oct 13, 2020",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
"Oct 12, 2020",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
"Oct 11, 2020",Mumbai Indians,Delhi Capitals,Mumbai Indians
"Oct 11, 2020",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
"Oct 10, 2020",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
"Oct 10, 2020",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
"Oct 09, 2020",Rajasthan Royals,Delhi Capitals,Delhi Capitals
"Oct 08, 2020",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
"Oct 07, 2020",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
"Oct 06, 2020",Mumbai Indians,Rajasthan Royals,Mumbai Indians
"Oct 05, 2020",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
"Oct 04, 2020",Punjab Kings,Chennai Super Kings,Chennai Super Kings
"Oct 04, 2020",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
"Oct 03, 2020",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
"Oct 03, 2020",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
"Oct 02, 2020",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
"Oct 01, 2020",Punjab Kings,Mumbai Indians,Mumbai Indians
"Sep 30, 2020",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
"Sep 29, 2020",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
"Sep 28, 2020",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
"Sep 27, 2020",Rajasthan Royals,Punjab Kings,Rajasthan Royals
"Sep 26, 2020",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
"Sep 25, 2020",Chennai Super Kings,Delhi Capitals,Delhi Capitals
"Sep 24, 2020",Punjab Kings,Royal Challengers Bangalore,Punjab Kings
"Sep 23, 2020",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
"Sep 22, 2020",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
"Sep 21, 2020",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
"Sep 20, 2020",Delhi Capitals,Punjab Kings,Delhi Capitals
"Sep 19, 2020",Mumbai Indians,Chennai Super Kings,Chennai Super Kings
