date,team1,team2,winner
"May 22, 2011",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
"May 22, 2011",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
"May 21, 2011",Punjab Kings,Deccan Chargers,Deccan Chargers
"May 20, 2011",Mumbai Indians,Rajasthan Royals,Rajasthan Royals
"May 19, 2011",Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders
"May 18, 2011",Chennai Super Kings,Kerala,Chennai Super Kings
"May 17, 2011",Punjab Kings,Royal Challengers Bangalore,Punjab Kings
"May 16, 2011",Pune Warriors India,Deccan Chargers,Deccan Chargers
"May 15, 2011",Kerala,Rajasthan Royals,Kerala
"May 15, 2011",Punjab Kings,Delhi Capitals,Punjab Kings
"May 14, 2011",Mumbai Indians,Deccan Chargers,Deccan Chargers
"May 14, 2011",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
"May 13, 2011",Kerala,Punjab Kings,Punjab Kings
"May 12, 2011",Chennai Super Kings,Delhi Capitals,Chennai Super Kings
"May 11, 2011",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 10, 2011",Punjab Kings,Mumbai Indians,Punjab Kings
"May 10, 2011",Deccan Chargers,Pune Warriors India,Pune Warriors India
"May 09, 2011",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
"May 08, 2011",Punjab Kings,Pune Warriors India,Pune Warriors India
"May 08, 2011",Royal Challengers Bangalore,Kerala,Royal Challengers Bangalore
"May 07, 2011",Mumbai Indians,Delhi Capitals,Mumbai Indians
"May 07, 2011",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
"May 06, 2011",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore
"May 05, 2011",Deccan Chargers,Delhi Capitals,Delhi Capitals
"May 05, 2011",Kerala,Kolkata Knight Riders,Kerala
"May 04, 2011",Pune Warriors India,Mumbai Indians,Mumbai Indians
"May 04, 2011",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
"May 03, 2011",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
"May 02, 2011",Delhi Capitals,Kerala,Kerala
"May 02, 2011",Mumbai Indians,Punjab Kings,Mumbai Indians
"May 01, 2011",Chennai Super Kings,Deccan Chargers,Chennai Super Kings
"May 01, 2011",Rajasthan Royals,Pune Warriors India,Rajasthan Royals
"Apr 30, 2011",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
"Apr 30, 2011",Kerala,Delhi Capitals,Delhi Capitals
"Apr 29, 2011",Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore
"Apr 29, 2011",Rajasthan Royals,Mumbai Indians,Rajasthan Royals
"Apr 28, 2011",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 27, 2011",Kerala,Deccan Chargers,Deccan Chargers
"Apr 27, 2011",Pune Warriors India,Chennai Super Kings,Chennai Super Kings
"Apr 26, 2011",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 25, 2011",Chennai Super Kings,Pune Warriors India,Chennai Super Kings
"Apr 24, 2011",Rajasthan Royals,Kerala,Rajasthan Royals
"Apr 24, 2011",Deccan Chargers,Mumbai Indians,Mumbai Indians
"Apr 23, 2011",Delhi Capitals,Punjab Kings,Delhi Capitals
"Apr 22, 2011",Mumbai Indians,Chennai Super Kings,Mumbai Indians
"Apr 22, 2011",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 21, 2011",Punjab Kings,Rajasthan Royals,Punjab Kings
"Apr 20, 2011",Kolkata Knight Riders,Kerala,Kerala
"Apr 20, 2011",Mumbai Indians,Pune Warriors India,Mumbai Indians
"Apr 19, 2011",Delhi Capitals,Deccan Chargers,Deccan Chargers
"Apr 18, 2011",Kerala,Chennai Super Kings,Kerala
"Apr 17, 2011",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
"Apr 17, 2011",Pune Warriors India,Delhi Capitals,Delhi Capitals
"Apr 16, 2011",Deccan Chargers,Punjab Kings,Punjab Kings
"Apr 16, 2011",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
"Apr 15, 2011",Mumbai Indians,Kerala,Kerala
"Apr 15, 2011",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 14, 2011",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
"Apr 13, 2011",Pune Warriors India,Kerala,Pune Warriors India
"Apr 13, 2011",Punjab Kings,Chennai Super Kings,Punjab Kings
"Apr 12, 2011",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
"Apr 12, 2011",Rajasthan Royals,Delhi Capitals,Rajasthan Royals
"Apr 11, 2011",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
"Apr 10, 2011",Pune Warriors India,Punjab Kings,Pune Warriors India
"Apr 10, 2011",Delhi Capitals,Mumbai Indians,Mumbai Indians
"Apr 09, 2011",Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 09, 2011",Deccan Chargers,Rajasthan Royals,Rajasthan Royals
"Apr 08, 2011",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
