date,team1,team2,winner
"May 20, 2012",Rajasthan Royals,Mumbai Indians,Mumbai Indians
"May 20, 2012",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
"May 19, 2012",Kolkata Knight Riders,Pune Warriors India,Kolkata Knight Riders
"May 19, 2012",Punjab Kings,Delhi Capitals,Delhi Capitals
"May 18, 2012",Deccan Chargers,Rajasthan Royals,Deccan Chargers
"May 17, 2012",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 17, 2012",Punjab Kings,Chennai Super Kings,Punjab Kings
"May 16, 2012",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
"May 15, 2012",Delhi Capitals,Punjab Kings,Delhi Capitals
"May 14, 2012",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
"May 14, 2012",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
"May 13, 2012",Punjab Kings,Deccan Chargers,Punjab Kings
"May 13, 2012",Rajasthan Royals,Pune Warriors India,Rajasthan Royals
"May 12, 2012",Chennai Super Kings,Delhi Capitals,Chennai Super Kings
"May 12, 2012",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
"May 11, 2012",Pune Warriors India,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 10, 2012",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
"May 10, 2012",Deccan Chargers,Delhi Capitals,Delhi Capitals
"May 09, 2012",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 08, 2012",Deccan Chargers,Punjab Kings,Punjab Kings
"May 08, 2012",Pune Warriors India,Rajasthan Royals,Rajasthan Royals
"May 07, 2012",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
"May 06, 2012",Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
"May 06, 2012",Mumbai Indians,Chennai Super Kings,Mumbai Indians
"May 05, 2012",Punjab Kings,Rajasthan Royals,Rajasthan Royals
"May 05, 2012",Kolkata Knight Riders,Pune Warriors India,Kolkata Knight Riders
"May 04, 2012",Chennai Super Kings,Deccan Chargers,Chennai Super Kings
"May 03, 2012",Pune Warriors India,Mumbai Indians,Mumbai Indians
"May 02, 2012",Royal Challengers Bangalore,Punjab Kings,Punjab Kings
"May 01, 2012",Rajasthan Royals,Delhi Capitals,Delhi Capitals
"May 01, 2012",Deccan Chargers,Pune Warriors India,Deccan Chargers
"Apr 30, 2012",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 29, 2012",Mumbai Indians,Deccan Chargers,Mumbai Indians
"Apr 29, 2012",Delhi Capitals,Rajasthan Royals,Delhi Capitals
"Apr 28, 2012",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
"Apr 28, 2012",Chennai Super Kings,Punjab Kings,Punjab Kings
"Apr 27, 2012",Delhi Capitals,Mumbai Indians,Delhi Capitals
"Apr 26, 2012",Pune Warriors India,Deccan Chargers,Deccan Chargers
"Apr 25, 2012",Punjab Kings,Mumbai Indians,Mumbai Indians
"Apr 24, 2012",Pune Warriors India,Delhi Capitals,Delhi Capitals
"Apr 23, 2012",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 22, 2012",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 22, 2012",Mumbai Indians,Punjab Kings,Punjab Kings
"Apr 21, 2012",Delhi Capitals,Pune Warriors India,Pune Warriors India
"Apr 21, 2012",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
"Apr 20, 2012",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 19, 2012",Chennai Super Kings,Pune Warriors India,Chennai Super Kings
"Apr 19, 2012",Delhi Capitals,Deccan Chargers,Delhi Capitals
"Apr 18, 2012",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 17, 2012",Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore
"Apr 17, 2012",Rajasthan Royals,Deccan Chargers,Rajasthan Royals
"Apr 16, 2012",Mumbai Indians,Delhi Capitals,Delhi Capitals
"Apr 15, 2012",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
"Apr 15, 2012",Kolkata Knight Riders,Punjab Kings,Punjab Kings
"Apr 14, 2012",Pune Warriors India,Chennai Super Kings,Pune Warriors India
"Apr 13, 2012",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
"Apr 12, 2012",Punjab Kings,Pune Warriors India,Punjab Kings
"Apr 12, 2012",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
"Apr 11, 2012",Mumbai Indians,Rajasthan Royals,Mumbai Indians
"Apr 10, 2012",Delhi Capitals,Chennai Super Kings,Delhi Capitals
"Apr 10, 2012",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 09, 2012",Deccan Chargers,Mumbai Indians,Mumbai Indians
"Apr 08, 2012",Pune Warriors India,Punjab Kings,Pune Warriors India
"Apr 08, 2012",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
"Apr 07, 2012",Deccan Chargers,Chennai Super Kings,Chennai Super Kings
"Apr 07, 2012",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
"Apr 06, 2012",Rajasthan Royals,Punjab Kings,Rajasthan Royals
"Apr 06, 2012",Mumbai Indians,Pune Warriors India,Pune Warriors India
"Apr 05, 2012",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
"Apr 04, 2012",Chennai Super Kings,Mumbai Indians,Mumbai Indians
