date,team1,team2,winner
"May 19, 2013",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
"May 19, 2013",Pune Warriors India,Delhi Capitals,Pune Warriors India
"May 18, 2013",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
"May 18, 2013",Punjab Kings,Mumbai Indians,Punjab Kings
"May 17, 2013",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
"May 16, 2013",Punjab Kings,Delhi Capitals,Punjab Kings
"May 15, 2013",Mumbai Indians,Rajasthan Royals,Mumbai Indians
"May 15, 2013",Kolkata Knight Riders,Pune Warriors India,Pune Warriors India
"May 14, 2013",Chennai Super Kings,Delhi Capitals,Chennai Super Kings
"May 14, 2013",Royal Challengers Bangalore,Punjab Kings,Punjab Kings
"May 13, 2013",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
"May 12, 2013",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
"May 12, 2013",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
"May 11, 2013",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 11, 2013",Pune Warriors India,Mumbai Indians,Mumbai Indians
"May 10, 2013",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 09, 2013",Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders
"May 09, 2013",Punjab Kings,Rajasthan Royals,Rajasthan Royals
"May 08, 2013",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
"May 07, 2013",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
"May 07, 2013",Rajasthan Royals,Delhi Capitals,Rajasthan Royals
"May 06, 2013",Punjab Kings,Royal Challengers Bangalore,Punjab Kings
"May 05, 2013",Rajasthan Royals,Pune Warriors India,Rajasthan Royals
"May 05, 2013",Mumbai Indians,Chennai Super Kings,Mumbai Indians
"May 04, 2013",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
"May 03, 2013",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
"May 02, 2013",Pune Warriors India,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 02, 2013",Chennai Super Kings,Punjab Kings,Chennai Super Kings
"May 01, 2013",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
"May 01, 2013",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
"Apr 30, 2013",Pune Warriors India,Chennai Super Kings,Chennai Super Kings
"Apr 29, 2013",Mumbai Indians,Punjab Kings,Mumbai Indians
"Apr 29, 2013",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
"Apr 28, 2013",Delhi Capitals,Pune Warriors India,Delhi Capitals
"Apr 28, 2013",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
"Apr 27, 2013",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
"Apr 27, 2013",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
"Apr 26, 2013",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
"Apr 25, 2013",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
"Apr 24, 2013",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
"Apr 23, 2013",Delhi Capitals,Punjab Kings,Punjab Kings
"Apr 23, 2013",Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore
"Apr 22, 2013",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
"Apr 21, 2013",Punjab Kings,Pune Warriors India,Punjab Kings
"Apr 21, 2013",Delhi Capitals,Mumbai Indians,Delhi Capitals
"Apr 20, 2013",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
