date,team1,team2,winner
"May 20, 2018",Chennai Super Kings,Punjab Kings,Chennai Super Kings
"May 20, 2018",Delhi Capitals,Mumbai Indians,Delhi Capitals
"May 19, 2018",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
"May 19, 2018",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
"May 18, 2018",Delhi Capitals,Chennai Super Kings,Delhi Capitals
"May 17, 2018",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
"May 16, 2018",Mumbai Indians,Punjab Kings,Mumbai Indians
"May 15, 2018",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
"May 14, 2018",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 13, 2018",Mumbai Indians,Rajasthan Royals,Rajasthan Royals
"May 13, 2018",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
"May 12, 2018",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 12, 2018",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
"May 11, 2018",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
"May 10, 2018",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 09, 2018",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
"May 08, 2018",Rajasthan Royals,Punjab Kings,Rajasthan Royals
"May 07, 2018",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
"May 06, 2018",Punjab Kings,Rajasthan Royals,Punjab Kings
"May 06, 2018",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
"May 05, 2018",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
"May 05, 2018",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
"May 04, 2018",Punjab Kings,Mumbai Indians,Mumbai Indians
"May 03, 2018",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
"May 02, 2018",Delhi Capitals,Rajasthan Royals,Delhi Capitals
"May 01, 2018",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
"Apr 30, 2018",Chennai Super Kings,Delhi Capitals,Chennai Super Kings
"Apr 29, 2018",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 29, 2018",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 28, 2018",Chennai Super Kings,Mumbai Indians,Mumbai Indians
"Apr 27, 2018",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
"Apr 26, 2018",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
"Apr 25, 2018",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
"Apr 24, 2018",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 23, 2018",Punjab Kings,Delhi Capitals,Punjab Kings
"Apr 22, 2018",Rajasthan Royals,Mumbai Indians,Rajasthan Royals
"Apr 22, 2018",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
"Apr 21, 2018",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 21, 2018",Kolkata Knight Riders,Punjab Kings,Punjab Kings
"Apr 20, 2018",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
"Apr 19, 2018",Punjab Kings,Sunrisers Hyderabad,Punjab Kings
"Apr 18, 2018",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 17, 2018",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
"Apr 16, 2018",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
"Apr 15, 2018",Punjab Kings,Chennai Super Kings,Punjab Kings
"Apr 15, 2018",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
"Apr 14, 2018",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 14, 2018",Mumbai Indians,Delhi Capitals,Delhi Capitals
"Apr 13, 2018",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore
"Apr 12, 2018",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
"Apr 11, 2018",Rajasthan Royals,Delhi Capitals,Rajasthan Royals
"Apr 10, 2018",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
"Apr 09, 2018",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
"Apr 08, 2018",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
"Apr 08, 2018",Delhi Capitals,Punjab Kings,Punjab Kings
"Apr 07, 2018",Mumbai Indians,Chennai Super Kings,Chennai Super Kings
