date,team1,team2,winner
"May 22, 2016",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 22, 2016",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
"May 21, 2016",Gujarat Lions,Mumbai Indians,Gujarat Lions
"May 21, 2016",Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant
"May 20, 2016",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
"May 19, 2016",Gujarat Lions,Kolkata Knight Riders,Gujarat Lions
"May 18, 2016",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore
"May 17, 2016",Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant
"May 16, 2016",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 15, 2016",Mumbai Indians,Delhi Capitals,Mumbai Indians
"May 15, 2016",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 14, 2016",Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders
"May 14, 2016",Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore
"May 13, 2016",Mumbai Indians,Punjab Kings,Punjab Kings
"May 12, 2016",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
"May 11, 2016",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
"May 10, 2016",Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 09, 2016",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 08, 2016",Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
"May 08, 2016",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 07, 2016",Punjab Kings,Delhi Capitals,Punjab Kings
"May 07, 2016",Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore
"May 06, 2016",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
"May 05, 2016",Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant
"May 04, 2016",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
"May 03, 2016",Gujarat Lions,Delhi Capitals,Delhi Capitals
"May 02, 2016",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
"May 01, 2016",Rising Pune Supergiant,Mumbai Indians,Mumbai Indians
"May 01, 2016",Gujarat Lions,Punjab Kings,Punjab Kings
"Apr 30, 2016",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
"Apr 30, 2016",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
"Apr 29, 2016",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions
"Apr 28, 2016",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
"Apr 27, 2016",Delhi Capitals,Gujarat Lions,Gujarat Lions
"Apr 26, 2016",Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant
"Apr 25, 2016",Punjab Kings,Mumbai Indians,Mumbai Indians
"Apr 24, 2016",Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 24, 2016",Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions
"Apr 23, 2016",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
"Apr 23, 2016",Delhi Capitals,Mumbai Indians,Delhi Capitals
"Apr 22, 2016",Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 21, 2016",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 20, 2016",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
"Apr 19, 2016",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 18, 2016",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
"Apr 17, 2016",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
"Apr 17, 2016",Punjab Kings,Rising Pune Supergiant,Punjab Kings
"Apr 16, 2016",Mumbai Indians,Gujarat Lions,Gujarat Lions
"Apr 16, 2016",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 15, 2016",Delhi Capitals,Punjab Kings,Delhi Capitals
"Apr 14, 2016",Gujarat Lions,Rising Pune Supergiant,Gujarat Lions
"Apr 13, 2016",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
"Apr 12, 2016",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
"Apr 11, 2016",Punjab Kings,Gujarat Lions,Gujarat Lions
"Apr 10, 2016",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
"Apr 09, 2016",Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
