date,team1,team2,winner
"May 22, 2022",Sunrisers Hyderabad,Punjab Kings,Punjab Kings
"May 21, 2022",Mumbai Indians,Delhi Capitals,Mumbai Indians
"May 20, 2022",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
"May 19, 2022",Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore
"May 18, 2022",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants
"May 17, 2022",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 16, 2022",Punjab Kings,Delhi Capitals,Delhi Capitals
"May 15, 2022",Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals
"May 15, 2022",Chennai Super Kings,Gujarat Titans,Gujarat Titans
"May 14, 2022",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
"May 13, 2022",Royal Challengers Bangalore,Punjab Kings,Punjab Kings
"May 12, 2022",Chennai Super Kings,Mumbai Indians,Mumbai Indians
"May 11, 2022",Rajasthan Royals,Delhi Capitals,Delhi Capitals
"May 10, 2022",Lucknow Super Giants,Gujarat Titans,Gujarat Titans
"May 09, 2022",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
"May 08, 2022",Chennai Super Kings,Delhi Capitals,Chennai Super Kings
"May 08, 2022",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 07, 2022",Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants
"May 07, 2022",Punjab Kings,Rajasthan Royals,Rajasthan Royals
"May 06, 2022",Gujarat Titans,Mumbai Indians,Mumbai Indians
"May 05, 2022",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
"May 04, 2022",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
"May 03, 2022",Gujarat Titans,Punjab Kings,Punjab Kings
"May 02, 2022",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
"May 01, 2022",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
"May 01, 2022",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants
"Apr 30, 2022",Rajasthan Royals,Mumbai Indians,Mumbai Indians
"Apr 30, 2022",Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans
"Apr 29, 2022",Punjab Kings,Lucknow Super Giants,Lucknow Super Giants
"Apr 28, 2022",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
"Apr 27, 2022",Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans
"Apr 26, 2022",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
"Apr 25, 2022",Punjab Kings,Chennai Super Kings,Punjab Kings
"Apr 24, 2022",Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
"Apr 23, 2022",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 23, 2022",Kolkata Knight Riders,Gujarat Titans,Gujarat Titans
"Apr 22, 2022",Delhi Capitals,Rajasthan Royals,Rajasthan Royals
"Apr 21, 2022",Mumbai Indians,Chennai Super Kings,Chennai Super Kings
"Apr 20, 2022",Delhi Capitals,Punjab Kings,Delhi Capitals
"Apr 19, 2022",Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 18, 2022",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
"Apr 17, 2022",Gujarat Titans,Chennai Super Kings,Gujarat Titans
"Apr 17, 2022",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 16, 2022",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 16, 2022",Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants
"Apr 15, 2022",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
"Apr 14, 2022",Rajasthan Royals,Gujarat Titans,Gujarat Titans
"Apr 13, 2022",Mumbai Indians,Punjab Kings,Punjab Kings
"Apr 12, 2022",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
"Apr 11, 2022",Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad
"Apr 10, 2022",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals
"Apr 10, 2022",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
"Apr 09, 2022",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
"Apr 09, 2022",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 08, 2022",Punjab Kings,Gujarat Titans,Gujarat Titans
"Apr 07, 2022",Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants
"Apr 06, 2022",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
"Apr 05, 2022",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 04, 2022",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
"Apr 03, 2022",Chennai Super Kings,Punjab Kings,Punjab Kings
"Apr 02, 2022",Gujarat Titans,Delhi Capitals,Gujarat Titans
"Apr 02, 2022",Mumbai Indians,Rajasthan Royals,Rajasthan Royals
"Apr 01, 2022",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
"Mar 31, 2022",Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants
"Mar 30, 2022",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
"Mar 29, 2022",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
"Mar 28, 2022",Gujarat Titans,Lucknow Super Giants,Gujarat Titans
"Mar 27, 2022",Punjab Kings,Royal Challengers Bangalore,Punjab Kings
"Mar 27, 2022",Delhi Capitals,Mumbai Indians,Delhi Capitals
"Mar 26, 2022",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
