date,team1,team2,winner
"May 05, 2019",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
"May 05, 2019",Punjab Kings,Chennai Super Kings,Punjab Kings
"May 04, 2019",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
"May 04, 2019",Delhi Capitals,Rajasthan Royals,Delhi Capitals
"May 03, 2019",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
"May 02, 2019",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
"May 01, 2019",Chennai Super Kings,Delhi Capitals,Chennai Super Kings
"Apr 29, 2019",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
"Apr 28, 2019",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
"Apr 28, 2019",Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
"Apr 27, 2019",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
"Apr 26, 2019",Chennai Super Kings,Mumbai Indians,Mumbai Indians
"Apr 25, 2019",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
"Apr 24, 2019",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore
"Apr 23, 2019",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
"Apr 22, 2019",Rajasthan Royals,Delhi Capitals,Delhi Capitals
"Apr 21, 2019",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
"Apr 21, 2019",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
"Apr 20, 2019",Delhi Capitals,Punjab Kings,Delhi Capitals
"Apr 20, 2019",Rajasthan Royals,Mumbai Indians,Rajasthan Royals
"Apr 19, 2019",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 18, 2019",Delhi Capitals,Mumbai Indians,Mumbai Indians
"Apr 17, 2019",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
"Apr 16, 2019",Punjab Kings,Rajasthan Royals,Punjab Kings
"Apr 15, 2019",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
"Apr 14, 2019",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
"Apr 14, 2019",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
"Apr 13, 2019",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 13, 2019",Mumbai Indians,Rajasthan Royals,Rajasthan Royals
"Apr 12, 2019",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
"Apr 11, 2019",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
"Apr 10, 2019",Mumbai Indians,Punjab Kings,Mumbai Indians
"Apr 09, 2019",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
"Apr 08, 2019",Punjab Kings,Sunrisers Hyderabad,Punjab Kings
"Apr 07, 2019",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 07, 2019",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
"Apr 06, 2019",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
"Apr 06, 2019",Chennai Super Kings,Punjab Kings,Chennai Super Kings
"Apr 05, 2019",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 04, 2019",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 03, 2019",Mumbai Indians,Chennai Super Kings,Mumbai Indians
"Apr 02, 2019",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
"Apr 01, 2019",Punjab Kings,Delhi Capitals,Punjab Kings
"Mar 31, 2019",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
"Mar 31, 2019",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
"Mar 30, 2019",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
"Mar 30, 2019",Punjab Kings,Mumbai Indians,Punjab Kings
"Mar 29, 2019",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
"Mar 28, 2019",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
"Mar 27, 2019",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders
"Mar 26, 2019",Delhi Capitals,Chennai Super Kings,Chennai Super Kings
"Mar 25, 2019",Rajasthan Royals,Punjab Kings,Punjab Kings
"Mar 24, 2019",Mumbai Indians,Delhi Capitals,Delhi Capitals
"Mar 24, 2019",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
"Mar 23, 2019",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
